scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,1691.941987,1.661062,1691.941987,1.661062,80,0
pure_ocs_ksp,100.000000,1145.847400,1.124934,1145.847400,1.124934,80,0
eps_ecmp,100.000000,1014.037429,0.995530,1014.037429,0.995530,80,0
ocs_eps_large_small,100.000000,1059.541098,1.040203,1059.541098,1.040203,80,0
pure_ocs_ksp_greedy,100.000000,1066.932313,1.047459,1066.932313,1.047459,80,0
ocs_eps_preset_greedy,100.000000,1068.545164,1.049043,1068.545164,1.049043,80,0
ocs_eps_preset_dynamic_greedy,100.000000,1018.590742,1.000000,1018.590742,1.000000,80,0
pure_ocs_3hop_preset,100.000000,1159.272740,1.138114,1159.272740,1.138114,80,0
pure_ocs_pruned,100.000000,1159.272740,1.138114,1159.272740,1.138114,80,0
ocs_eps_pruned,100.000000,977.310434,0.959473,977.310434,0.959473,80,0
