model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,64,58,0.892857,"[2,3,4,5,6,8,10,11,12,14,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,33,34,35,36,38,39,41,42,43,45,46,48,49,50,52,54,55,56,57,58,59,60,62,65,66,68,70,71,74,76,77,78,79]","[87,503,151,223,351,231,463,551]|[575,159,423,199,375,311,367,319]|[630,343,631,439,55,567,422,23]|[335,94,271,167,615,391,623,639]|[119,143,447,398,399,255,215,455]|[214,103,535,527,407,279,471,287]|[487,95,207,31,135,239,47,599]|[71,175,191,38,479,247,39,295]"
L2,L,64,8,64,58,0.892857,"[0,2,4,5,6,8,11,12,13,14,16,18,19,20,21,22,23,24,27,28,29,30,31,32,33,34,35,36,39,40,42,44,45,46,47,51,53,54,55,57,58,60,61,62,63,64,66,67,68,69,70,71,72,74,75,76,78,79]","[150,278,462,183,263,374,238,174]|[222,559,519,342,383,495,286,446]|[486,22,230,246,415,111,93,534]|[566,7,70,46,294,69,326,54]|[583,158,470,198,190,182,102,359]|[134,327,543,118,629,431,614,166]|[318,550,270,511,438,574,502,638]|[366,117,430,254,598,133,37,607]"
L3,L,64,9,64,58,0.890909,"[2,3,5,7,9,10,11,13,14,15,16,17,18,19,21,22,23,24,25,27,28,29,30,31,32,33,34,35,37,38,39,41,42,48,49,50,51,55,56,57,58,59,60,61,62,63,64,66,67,68,69,70,71,73,74,75,76,79]","[390,542,445,262,110,613,20,221]|[494,606,206,597,565,573,237,285]|[142,414,173,549,397,540,341,92]|[127,501,189,245,86,30,469,116]|[510,460,181,310,229,132,478,21]|[461,157,303,197,277,405,334,149]|[126,541,637,518,79,45,406,591]|[558,317,454,253,533,63,269,485]"
L4,L,64,9,64,58,0.890909,"[0,1,2,3,4,5,7,8,9,11,12,14,15,16,17,18,19,20,21,22,24,25,27,28,30,31,32,34,35,36,37,38,39,40,44,45,47,49,50,51,52,53,54,55,58,59,61,62,65,66,68,69,70,71,73,74,77,78]","[260,622,165,309,572,172,396,275]|[62,244,228,308,6,532,141,477]|[628,130,220,15,148,293,205,78]|[548,44,382,91,252,29,316,19]|[365,564,180,261,358,404,437,115]|[596,444,36,526,325,302,284,101]|[500,627,68,125,196,468,590,276]|[493,131,307,429,557,421,413,156]"
M1,M,40,7,40,37,0.909091,"[0,1,5,9,10,11,12,16,18,19,20,21,22,24,25,28,30,33,34,38,39,40,41,42,45,47,48,50,51,54,57,60,62,68,72,73,74]","[14,90,100,129,243]|[147,403,340,436,499]|[315,324,412,589,164]|[332,5,268,274,43]|[155,171,204,389,195]|[85,227,546,459,333]|[4,595,547,179,484]|[77,582,364,381,306]"
M2,M,40,7,40,37,0.909091,"[1,3,4,5,6,10,11,16,17,18,20,21,23,25,26,27,28,29,31,35,38,41,43,51,53,54,57,58,62,64,65,67,70,71,76,78,79]","[525,626,563,411,612]|[13,305,435,538,163]|[350,219,570,283,213]|[226,53,458,170,236]|[28,203,89,330,251]|[146,571,517,331,188]|[140,539,498,428,42]|[128,35,84,467,636]"
M3,M,40,7,40,37,0.909091,"[0,1,4,5,7,9,11,13,19,20,23,27,32,33,34,35,37,39,41,42,43,45,47,53,54,57,58,60,65,67,68,69,72,73,74,75,78]","[218,259,41,109,187]|[588,427,61,273,300]|[594,434,545,339,556]|[363,88,162,3,154]|[267,34,625,524,483]|[380,299,379,349,537]|[581,301,12,466,329]|[314,282,457,76,605]"
S1,S,32,6,32,29,0.884615,"[0,1,4,6,15,18,20,23,28,29,32,33,36,37,42,47,51,56,57,58,59,66,67,68,70,71,75,76,78]","[124,378,465,145]|[33,531,292,52]|[453,298,610,410]|[2,185,603,186]|[225,562,456,266]|[544,11,611,569]|[536,476,258,604]|[235,338,161,624]"
S2,S,32,6,32,29,0.884615,"[1,2,4,5,6,10,12,14,18,19,20,24,25,30,33,38,40,42,44,45,52,53,54,56,62,69,70,74,75]","[452,194,362,242]|[83,114,265,304]|[602,554,160,32]|[18,99,426,40]|[497,153,561,201]|[433,51,555,144]|[451,420,357,202]|[10,593,323,337]"
S3,S,32,6,32,29,0.884615,"[2,3,7,13,17,19,24,25,27,31,33,35,36,39,40,44,48,55,56,60,61,65,71,72,73,75,76,77,79]","[620,139,17,492]|[59,193,482,108]|[450,609,580,281]|[601,635,568,217]|[313,443,523,587]|[264,355,388,60]|[356,250,621,27]|[152,200,322,291]"
