scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,99.000000,3941.783562,1.777277,3941.783562,1.777277,80,0
pure_ocs_ksp,99.000000,2336.657229,1.053556,2336.657229,1.053556,80,0
eps_ecmp,99.000000,2202.855335,0.993227,2202.855335,0.993227,80,0
ocs_eps_large_small,99.000000,2017.181962,0.909510,2017.181962,0.909510,80,0
pure_ocs_ksp_greedy,99.000000,2429.904450,1.095599,2429.904450,1.095599,80,0
ocs_eps_preset_greedy,99.000000,1986.476351,0.895665,1986.476351,0.895665,80,0
ocs_eps_preset_dynamic_greedy,99.000000,2217.877541,1.000000,2217.877541,1.000000,80,0
pure_ocs_3hop_preset,99.000000,2389.030072,1.077170,2389.030072,1.077170,80,0
pure_ocs_pruned,99.000000,2389.030072,1.077170,2389.030072,1.077170,80,0
ocs_eps_pruned,99.000000,2324.972137,1.048287,2324.972137,1.048287,80,0
