gid,start_time_s,start_ns,model_id,pp_idx,num_flows,num_src_hosts,num_dst_hosts
9,0.014390870,14390870,S3,1,256,4,4
4,0.015396358,15396358,M1,1,320,5,5
14,0.017510360,17510360,M1,2,320,5,5
19,0.018786214,18786214,S3,2,256,4,4
29,0.019266690,19266690,S3,3,256,4,4
39,0.020034317,20034317,S3,4,256,4,4
24,0.020608703,20608703,M1,3,320,5,5
49,0.022703517,22703517,S3,5,256,4,4
59,0.023041110,23041110,S3,6,256,4,4
69,0.023305145,23305145,S3,7,256,4,4
79,0.023307739,23307739,S3,8,256,4,4
34,0.025273206,25273206,M1,4,320,5,5
5,0.027063215,27063215,M2,1,320,5,5
44,0.030177312,30177312,M1,5,320,5,5
54,0.030525515,30525515,M1,6,320,5,5
64,0.031215503,31215503,M1,7,320,5,5
15,0.031487461,31487461,M2,2,320,5,5
25,0.034804727,34804727,M2,3,320,5,5
74,0.035169193,35169193,M1,8,320,5,5
35,0.035363951,35363951,M2,4,320,5,5
45,0.039526597,39526597,M2,5,320,5,5
55,0.040408379,40408379,M2,6,320,5,5
65,0.042525856,42525856,M2,7,320,5,5
75,0.045286781,45286781,M2,8,320,5,5
6,0.050076615,50076615,M3,1,320,5,5
16,0.053507429,53507429,M3,2,320,5,5
26,0.056770863,56770863,M3,3,320,5,5
2,0.058596137,58596137,L3,1,512,8,8
12,0.060646049,60646049,L3,2,512,8,8
36,0.061731073,61731073,M3,4,320,5,5
22,0.061740332,61740332,L3,3,512,8,8
0,0.063220250,63220250,L1,1,512,8,8
10,0.064890806,64890806,L1,2,512,8,8
32,0.065820612,65820612,L3,4,512,8,8
20,0.066111831,66111831,L1,3,512,8,8
46,0.066728183,66728183,M3,5,320,5,5
56,0.069310480,69310480,M3,6,320,5,5
66,0.069786475,69786475,M3,7,320,5,5
42,0.070123462,70123462,L3,5,512,8,8
30,0.070675191,70675191,L1,4,512,8,8
52,0.070961960,70961960,L3,6,512,8,8
62,0.070999495,70999495,L3,7,512,8,8
72,0.072680145,72680145,L3,8,512,8,8
76,0.073425692,73425692,M3,8,320,5,5
40,0.075294563,75294563,L1,5,512,8,8
1,0.076466723,76466723,L2,1,512,8,8
50,0.079511177,79511177,L1,6,512,8,8
3,0.079751084,79751084,L4,1,512,8,8
11,0.080279673,80279673,L2,2,512,8,8
21,0.082682711,82682711,L2,3,512,8,8
8,0.083212008,83212008,S2,1,256,4,4
13,0.083946953,83946953,L4,2,512,8,8
60,0.084402200,84402200,L1,7,512,8,8
23,0.084638598,84638598,L4,3,512,8,8
31,0.084964972,84964972,L2,4,512,8,8
41,0.086166104,86166104,L2,5,512,8,8
18,0.087318161,87318161,S2,2,256,4,4
70,0.088127157,88127157,L1,8,512,8,8
33,0.088510278,88510278,L4,4,512,8,8
43,0.089088799,89088799,L4,5,512,8,8
51,0.089390200,89390200,L2,6,512,8,8
28,0.089401491,89401491,S2,3,256,4,4
61,0.090836800,90836800,L2,7,512,8,8
38,0.091009220,91009220,S2,4,256,4,4
53,0.091039112,91039112,L4,6,512,8,8
71,0.092125843,92125843,L2,8,512,8,8
48,0.094753324,94753324,S2,5,256,4,4
63,0.096032159,96032159,L4,7,512,8,8
73,0.096995113,96995113,L4,8,512,8,8
7,0.097666408,97666408,S1,1,256,4,4
58,0.098760271,98760271,S2,6,256,4,4
17,0.099258040,99258040,S1,2,256,4,4
68,0.101216558,101216558,S2,7,256,4,4
27,0.101564084,101564084,S1,3,256,4,4
37,0.103687969,103687969,S1,4,256,4,4
47,0.103945065,103945065,S1,5,256,4,4
78,0.105681713,105681713,S2,8,256,4,4
57,0.107306387,107306387,S1,6,256,4,4
67,0.109073075,109073075,S1,7,256,4,4
77,0.113010395,113010395,S1,8,256,4,4
