scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,1963.440561,1.956974,1963.440561,1.956974,160,0
pure_ocs_ksp,100.000000,1139.627728,1.135874,1139.627728,1.135874,160,0
eps_ecmp,100.000000,899.001411,0.896041,899.001411,0.896041,160,0
ocs_eps_large_small,100.000000,1001.705994,0.998407,1001.705994,0.998407,160,0
pure_ocs_ksp_greedy,100.000000,1061.053258,1.057559,1061.053258,1.057559,160,0
ocs_eps_preset_greedy,100.000000,1019.563408,1.016206,1019.563408,1.016206,160,0
ocs_eps_preset_dynamic_greedy,100.000000,1003.304284,1.000000,1003.304284,1.000000,160,0
pure_ocs_3hop_preset,100.000000,994.422812,0.991148,994.422812,0.991148,160,0
pure_ocs_pruned,100.000000,994.422812,0.991148,994.422812,0.991148,160,0
ocs_eps_pruned,100.000000,963.005162,0.959834,963.005162,0.959834,160,0
