scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,95.000000,3150.661793,1.687960,3150.661793,1.687960,160,0
pure_ocs_ksp,95.000000,2053.612308,1.100218,2053.612308,1.100218,160,0
eps_ecmp,95.000000,1870.553513,1.002145,1870.553513,1.002145,160,0
ocs_eps_large_small,95.000000,1733.148262,0.928530,1733.148262,0.928530,160,0
pure_ocs_ksp_greedy,95.000000,1897.940283,1.016817,1897.940283,1.016817,160,0
ocs_eps_preset_greedy,95.000000,1853.171368,0.992832,1853.171368,0.992832,160,0
ocs_eps_preset_dynamic_greedy,95.000000,1866.550246,1.000000,1866.550246,1.000000,160,0
pure_ocs_3hop_preset,95.000000,1753.322982,0.939339,1753.322982,0.939339,160,0
pure_ocs_pruned,95.000000,1753.322982,0.939339,1753.322982,0.939339,160,0
ocs_eps_pruned,95.000000,1707.749312,0.914923,1707.749312,0.914923,160,0
