gid,start_time_s,start_ns,model_id,pp_idx,num_flows,num_src_hosts,num_dst_hosts
3,0.008038325,8038325,L4,1,512,8,8
8,0.008567841,8567841,S2,1,256,4,4
18,0.009454019,9454019,S2,2,256,4,4
13,0.011078971,11078971,L4,2,512,8,8
1,0.012265198,12265198,L2,1,512,8,8
28,0.012844489,12844489,S2,3,256,4,4
0,0.013271260,13271260,L1,1,512,8,8
23,0.013404042,13404042,L4,3,512,8,8
10,0.014513292,14513292,L1,2,512,8,8
11,0.014913926,14913926,L2,2,512,8,8
33,0.015406298,15406298,L4,4,512,8,8
5,0.015567719,15567719,M2,1,320,5,5
20,0.015737274,15737274,L1,3,512,8,8
30,0.016543545,16543545,L1,4,512,8,8
38,0.017074527,17074527,S2,4,256,4,4
48,0.017275795,17275795,S2,5,256,4,4
21,0.017596766,17596766,L2,3,512,8,8
43,0.018065728,18065728,L4,5,512,8,8
4,0.018540366,18540366,M1,1,320,5,5
53,0.019001923,19001923,L4,6,512,8,8
15,0.019321912,19321912,M2,2,320,5,5
58,0.019523959,19523959,S2,6,256,4,4
31,0.019769582,19769582,L2,4,512,8,8
41,0.020428356,20428356,L2,5,512,8,8
14,0.020884162,20884162,M1,2,320,5,5
51,0.021056675,21056675,L2,6,512,8,8
40,0.021243640,21243640,L1,5,512,8,8
24,0.021648548,21648548,M1,3,320,5,5
7,0.023046311,23046311,S1,1,256,4,4
25,0.023290088,23290088,M2,3,320,5,5
2,0.023830138,23830138,L3,1,512,8,8
63,0.023944942,23944942,L4,7,512,8,8
68,0.023986397,23986397,S2,7,256,4,4
35,0.024349862,24349862,M2,4,320,5,5
17,0.024642094,24642094,S1,2,256,4,4
12,0.024648023,24648023,L3,2,512,8,8
9,0.024795193,24795193,S3,1,256,4,4
6,0.024834212,24834212,M3,1,320,5,5
50,0.025683584,25683584,L1,6,512,8,8
61,0.025817924,25817924,L2,7,512,8,8
16,0.026238694,26238694,M3,2,320,5,5
34,0.026251877,26251877,M1,4,320,5,5
26,0.026549010,26549010,M3,3,320,5,5
22,0.027420105,27420105,L3,3,512,8,8
19,0.027452262,27452262,S3,2,256,4,4
78,0.027734490,27734490,S2,8,256,4,4
44,0.027958813,27958813,M1,5,320,5,5
73,0.028036482,28036482,L4,8,512,8,8
54,0.028209346,28209346,M1,6,320,5,5
71,0.028228078,28228078,L2,8,512,8,8
27,0.028272994,28272994,S1,3,256,4,4
32,0.028458692,28458692,L3,4,512,8,8
36,0.028840320,28840320,M3,4,320,5,5
45,0.028968778,28968778,M2,5,320,5,5
46,0.029485470,29485470,M3,5,320,5,5
60,0.029570377,29570377,L1,7,512,8,8
42,0.029724615,29724615,L3,5,512,8,8
52,0.029874887,29874887,L3,6,512,8,8
64,0.029921364,29921364,M1,7,320,5,5
56,0.030247104,30247104,M3,6,320,5,5
62,0.030469654,30469654,L3,7,512,8,8
37,0.030578492,30578492,S1,4,256,4,4
29,0.030752241,30752241,S3,3,256,4,4
55,0.031158726,31158726,M2,6,320,5,5
70,0.032158685,32158685,L1,8,512,8,8
39,0.032264642,32264642,S3,4,256,4,4
66,0.033408518,33408518,M3,7,320,5,5
47,0.033878248,33878248,S1,5,256,4,4
74,0.033893650,33893650,M1,8,320,5,5
65,0.034353794,34353794,M2,7,320,5,5
75,0.034365338,34365338,M2,8,320,5,5
72,0.035053896,35053896,L3,8,512,8,8
76,0.035373155,35373155,M3,8,320,5,5
57,0.036876725,36876725,S1,6,256,4,4
49,0.037002320,37002320,S3,5,256,4,4
59,0.038833997,38833997,S3,6,256,4,4
67,0.039240645,39240645,S1,7,256,4,4
69,0.042526551,42526551,S3,7,256,4,4
77,0.043990950,43990950,S1,8,256,4,4
79,0.044542252,44542252,S3,8,256,4,4
