scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,1537.707577,1.965233,1537.707577,1.965233,80,0
pure_ocs_ksp,100.000000,900.674681,1.151087,900.674681,1.151087,80,0
eps_ecmp,100.000000,751.594260,0.960559,751.594260,0.960559,80,0
ocs_eps_large_small,100.000000,911.419314,1.164819,911.419314,1.164819,80,0
pure_ocs_ksp_greedy,100.000000,805.233931,1.029112,805.233931,1.029112,80,0
ocs_eps_preset_greedy,100.000000,812.682762,1.038631,812.682762,1.038631,80,0
ocs_eps_preset_dynamic_greedy,100.000000,782.455467,1.000000,782.455467,1.000000,80,0
pure_ocs_3hop_preset,100.000000,773.530226,0.988593,773.530226,0.988593,80,0
pure_ocs_pruned,100.000000,773.530226,0.988593,773.530226,0.988593,80,0
ocs_eps_pruned,100.000000,810.414145,1.035732,810.414145,1.035732,80,0
