scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,2544.992389,1.785055,2544.992389,1.785055,80,0
pure_ocs_ksp,100.000000,1888.381707,1.324509,1888.381707,1.324509,80,0
eps_ecmp,100.000000,1505.857727,1.056207,1505.857727,1.056207,80,0
ocs_eps_large_small,100.000000,1779.235630,1.247954,1779.235630,1.247954,80,0
pure_ocs_ksp_greedy,100.000000,1315.927777,0.922990,1315.927777,0.922990,80,0
ocs_eps_preset_greedy,100.000000,1386.727608,0.972649,1386.727608,0.972649,80,0
ocs_eps_preset_dynamic_greedy,100.000000,1425.722397,1.000000,1425.722397,1.000000,80,0
pure_ocs_3hop_preset,100.000000,1270.109847,0.890854,1270.109847,0.890854,80,0
pure_ocs_pruned,100.000000,1270.109847,0.890854,1270.109847,0.890854,80,0
ocs_eps_pruned,100.000000,1393.717602,0.977552,1393.717602,0.977552,80,0
