scheduler,bytes,fct_ms,num_flows_in_bin
eps_ecmp,100.000000,0.007543,56
eps_ecmp,1000.000000,0.006993,24
eps_ecmp,20000.000000,0.116918,72
eps_ecmp,100000.000000,0.763673,144
eps_ecmp,200000.000000,1.475475,208
eps_ecmp,300000.000000,2.332414,224
eps_ecmp,400000.000000,3.068358,296
eps_ecmp,800000.000000,44.714209,904
eps_ecmp,1000000.000000,94.876810,416
eps_ecmp,2000000.000000,96.957277,1560
eps_ecmp,3000000.000000,101.748363,1152
eps_ecmp,10000000.000000,123.573121,1664
eps_ecmp,20000000.000000,151.729058,1072
eps_ecmp,30000000.000000,134.392783,536
eps_ecmp,100000000.000000,305.653007,344
ocs_eps_global_ksp,100.000000,0.016084,56
ocs_eps_global_ksp,1000.000000,0.015874,24
ocs_eps_global_ksp,20000.000000,0.184859,72
ocs_eps_global_ksp,100000.000000,1.027526,144
ocs_eps_global_ksp,200000.000000,2.272901,208
ocs_eps_global_ksp,300000.000000,2.971963,224
ocs_eps_global_ksp,400000.000000,28.331941,296
ocs_eps_global_ksp,800000.000000,87.200343,904
ocs_eps_global_ksp,1000000.000000,99.164814,416
ocs_eps_global_ksp,2000000.000000,100.911270,1560
ocs_eps_global_ksp,3000000.000000,108.627794,1152
ocs_eps_global_ksp,10000000.000000,228.365147,1664
ocs_eps_global_ksp,20000000.000000,276.887092,1072
ocs_eps_global_ksp,30000000.000000,298.537290,536
ocs_eps_global_ksp,100000000.000000,480.998511,344
ocs_eps_large_small,100.000000,0.009140,56
ocs_eps_large_small,1000.000000,0.026613,24
ocs_eps_large_small,20000.000000,0.285393,72
ocs_eps_large_small,100000.000000,0.964098,144
ocs_eps_large_small,200000.000000,1.991058,208
ocs_eps_large_small,300000.000000,3.218342,224
ocs_eps_large_small,400000.000000,17.260873,296
ocs_eps_large_small,800000.000000,89.535166,904
ocs_eps_large_small,1000000.000000,99.684547,416
ocs_eps_large_small,2000000.000000,98.093024,1560
ocs_eps_large_small,3000000.000000,104.548065,1152
ocs_eps_large_small,10000000.000000,159.205870,1664
ocs_eps_large_small,20000000.000000,317.222425,1072
ocs_eps_large_small,30000000.000000,400.261691,536
ocs_eps_large_small,100000000.000000,768.327757,344
ocs_eps_preset_dynamic_greedy,100.000000,0.010796,56
ocs_eps_preset_dynamic_greedy,1000.000000,0.009420,24
ocs_eps_preset_dynamic_greedy,20000.000000,0.133900,72
ocs_eps_preset_dynamic_greedy,100000.000000,0.830627,144
ocs_eps_preset_dynamic_greedy,200000.000000,1.948882,208
ocs_eps_preset_dynamic_greedy,300000.000000,2.503994,224
ocs_eps_preset_dynamic_greedy,400000.000000,2.791969,296
ocs_eps_preset_dynamic_greedy,800000.000000,47.826843,904
ocs_eps_preset_dynamic_greedy,1000000.000000,95.899531,416
ocs_eps_preset_dynamic_greedy,2000000.000000,97.134376,1560
ocs_eps_preset_dynamic_greedy,3000000.000000,105.558317,1152
ocs_eps_preset_dynamic_greedy,10000000.000000,178.778275,1664
ocs_eps_preset_dynamic_greedy,20000000.000000,273.171386,1072
