scheduler,avg_solve_time_ms,solve_time_ms,num_solve_calls,topo_file,traffic_in,traffic_out,log_file
ocs_eps_global_ksp,0.000000,0.000000,80,/home/xuheng/hyacinth/experiments/topology/n80_k7_c8_eps1.txt,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/native_traffic/infer_cdf_datamining_80racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/transformed_traffic/traffic_routed.ocs_eps_global_ksp.txt,ocs_eps_global_ksp.log
pure_ocs_ksp,0.000000,0.000000,80,/home/xuheng/hyacinth/experiments/topology/n80_k8_c8_eps0.txt,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/native_traffic/infer_cdf_datamining_80racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/transformed_traffic/traffic_routed.pure_ocs_ksp.txt,pure_ocs_ksp.log
eps_ecmp,0.000000,0.000000,80,/home/xuheng/hyacinth/experiments/topology/n80_k0_c8_eps8.txt,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/native_traffic/infer_cdf_datamining_80racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/transformed_traffic/traffic_routed.eps_ecmp.txt,eps_ecmp.log
ocs_eps_large_small,0.000000,0.000000,80,/home/xuheng/hyacinth/experiments/topology/n80_k7_c8_eps1.txt,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/native_traffic/infer_cdf_datamining_80racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/transformed_traffic/traffic_routed.ocs_eps_large_small.txt,ocs_eps_large_small.log
pure_ocs_ksp_greedy,0.090363,7.229020,80,/home/xuheng/hyacinth/experiments/topology/n80_k8_c8_eps0.txt,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/native_traffic/infer_cdf_datamining_80racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/transformed_traffic/traffic_routed.pure_ocs_ksp_greedy.txt,pure_ocs_ksp_greedy.log
ocs_eps_preset_greedy,0.109732,8.778530,80,/home/xuheng/hyacinth/experiments/topology/n80_k7_c8_eps1.txt,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/native_traffic/infer_cdf_datamining_80racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/transformed_traffic/traffic_routed.ocs_eps_preset_greedy.txt,ocs_eps_preset_greedy.log
ocs_eps_preset_dynamic_greedy,0.208803,16.704200,80,/home/xuheng/hyacinth/experiments/topology/n80_k7_c8_eps1.txt,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/native_traffic/infer_cdf_datamining_80racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/transformed_traffic/traffic_routed.ocs_eps_preset_dynamic_greedy.txt,ocs_eps_preset_dynamic_greedy.log
pure_ocs_3hop_preset,0.440434,35.234700,80,/home/xuheng/hyacinth/experiments/topology/n80_k8_c8_eps0.txt,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/native_traffic/infer_cdf_datamining_80racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/transformed_traffic/traffic_routed.pure_ocs_3hop_preset.txt,pure_ocs_3hop_preset.log
pure_ocs_pruned,0.423306,33.864500,80,/home/xuheng/hyacinth/experiments/topology/n80_k8_c8_eps0.txt,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/native_traffic/infer_cdf_datamining_80racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/transformed_traffic/traffic_routed.pure_ocs_pruned.txt,pure_ocs_pruned.log
ocs_eps_pruned,0.351394,28.111500,80,/home/xuheng/hyacinth/experiments/topology/n80_k7_c8_eps1.txt,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/native_traffic/infer_cdf_datamining_80racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs/workload/batch_20260422_125703_workload/run_1_20260422_145003_cdf_datamining/transformed_traffic/traffic_routed.ocs_eps_pruned.txt,ocs_eps_pruned.log
