scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,99.000000,3449.664634,1.462989,3449.664634,1.462989,80,0
pure_ocs_ksp,99.000000,3010.281817,1.276648,3010.281817,1.276648,80,0
eps_ecmp,99.000000,2772.622688,1.175858,2772.622688,1.175858,80,0
ocs_eps_large_small,99.000000,2139.827057,0.907492,2139.827057,0.907492,80,0
pure_ocs_ksp_greedy,99.000000,2138.645648,0.906991,2138.645648,0.906991,80,0
ocs_eps_preset_greedy,99.000000,2341.125750,0.992862,2341.125750,0.992862,80,0
ocs_eps_preset_dynamic_greedy,99.000000,2357.957190,1.000000,2357.957190,1.000000,80,0
pure_ocs_3hop_preset,99.000000,2321.109633,0.984373,2321.109633,0.984373,80,0
pure_ocs_pruned,99.000000,2321.109633,0.984373,2321.109633,0.984373,80,0
ocs_eps_pruned,99.000000,2412.044881,1.022938,2412.044881,1.022938,80,0
