scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,3290.661296,1.433318,3290.661296,1.433318,80,0
pure_ocs_ksp,100.000000,2373.756019,1.033940,2373.756019,1.033940,80,0
eps_ecmp,100.000000,2082.356974,0.907015,2082.356974,0.907015,80,0
ocs_eps_large_small,100.000000,1636.152181,0.712661,1636.152181,0.712661,80,0
pure_ocs_ksp_greedy,100.000000,1584.919653,0.690345,1584.919653,0.690345,80,0
ocs_eps_preset_greedy,100.000000,2096.172799,0.913033,2096.172799,0.913033,80,0
ocs_eps_preset_dynamic_greedy,100.000000,2295.835439,1.000000,2295.835439,1.000000,80,0
pure_ocs_3hop_preset,100.000000,2225.352986,0.969300,2225.352986,0.969300,80,0
pure_ocs_pruned,100.000000,2225.352986,0.969300,2225.352986,0.969300,80,0
ocs_eps_pruned,100.000000,1954.334751,0.851252,1954.334751,0.851252,80,0
