scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,1599.289754,1.579849,1599.289754,1.579849,80,0
pure_ocs_ksp,100.000000,1030.893308,1.018362,1030.893308,1.018362,80,0
eps_ecmp,100.000000,918.925615,0.907755,918.925615,0.907755,80,0
ocs_eps_large_small,100.000000,982.228223,0.970289,982.228223,0.970289,80,0
pure_ocs_ksp_greedy,100.000000,1038.375807,1.025754,1038.375807,1.025754,80,0
ocs_eps_preset_greedy,100.000000,985.580418,0.973600,985.580418,0.973600,80,0
ocs_eps_preset_dynamic_greedy,100.000000,1012.305270,1.000000,1012.305270,1.000000,80,0
pure_ocs_3hop_preset,100.000000,913.406653,0.902304,913.406653,0.902304,80,0
pure_ocs_pruned,100.000000,913.406653,0.902304,913.406653,0.902304,80,0
ocs_eps_pruned,100.000000,943.897411,0.932424,943.897411,0.932424,80,0
