seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.836
42,pure_ocs_ksp,1.204
42,eps_ecmp,0.958
42,ocs_eps_large_small,1.029
42,pure_ocs_ksp_greedy,1.060
42,ocs_eps_preset_greedy,1.035
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_3hop_preset,1.035
42,pure_ocs_pruned,1.035
42,ocs_eps_pruned,0.997
43,ocs_eps_global_ksp,1.940
43,pure_ocs_ksp,1.118
43,eps_ecmp,1.093
43,ocs_eps_large_small,1.092
43,pure_ocs_ksp_greedy,1.113
43,ocs_eps_preset_greedy,1.038
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_3hop_preset,1.090
43,pure_ocs_pruned,1.090
43,ocs_eps_pruned,1.050
44,ocs_eps_global_ksp,1.811
44,pure_ocs_ksp,1.284
44,eps_ecmp,0.945
44,ocs_eps_large_small,1.122
44,pure_ocs_ksp_greedy,1.086
44,ocs_eps_preset_greedy,1.080
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_3hop_preset,1.059
44,pure_ocs_pruned,1.059
44,ocs_eps_pruned,1.054
45,ocs_eps_global_ksp,2.094
45,pure_ocs_ksp,1.171
45,eps_ecmp,0.934
45,ocs_eps_large_small,1.174
45,pure_ocs_ksp_greedy,1.127
45,ocs_eps_preset_greedy,1.078
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_3hop_preset,1.042
45,pure_ocs_pruned,1.042
45,ocs_eps_pruned,1.053
46,ocs_eps_global_ksp,1.580
46,pure_ocs_ksp,1.018
46,eps_ecmp,0.908
46,ocs_eps_large_small,0.970
46,pure_ocs_ksp_greedy,1.026
46,ocs_eps_preset_greedy,0.974
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_3hop_preset,0.902
46,pure_ocs_pruned,0.902
46,ocs_eps_pruned,0.932
47,ocs_eps_global_ksp,1.904
47,pure_ocs_ksp,1.185
47,eps_ecmp,0.999
47,ocs_eps_large_small,1.122
47,pure_ocs_ksp_greedy,1.175
47,ocs_eps_preset_greedy,1.099
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_3hop_preset,1.079
47,pure_ocs_pruned,1.079
47,ocs_eps_pruned,1.098
48,ocs_eps_global_ksp,1.704
48,pure_ocs_ksp,1.255
48,eps_ecmp,1.041
48,ocs_eps_large_small,1.075
48,pure_ocs_ksp_greedy,1.176
48,ocs_eps_preset_greedy,1.097
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_3hop_preset,1.066
48,pure_ocs_pruned,1.066
48,ocs_eps_pruned,0.976
49,ocs_eps_global_ksp,1.917
49,pure_ocs_ksp,1.109
49,eps_ecmp,1.009
49,ocs_eps_large_small,1.104
49,pure_ocs_ksp_greedy,1.150
49,ocs_eps_preset_greedy,1.105
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_3hop_preset,1.040
49,pure_ocs_pruned,1.040
49,ocs_eps_pruned,1.016
50,ocs_eps_global_ksp,2.053
50,pure_ocs_ksp,1.373
50,eps_ecmp,0.893
50,ocs_eps_large_small,1.149
50,pure_ocs_ksp_greedy,1.230
50,ocs_eps_preset_greedy,1.208
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_3hop_preset,1.075
50,pure_ocs_pruned,1.075
50,ocs_eps_pruned,1.119
51,ocs_eps_global_ksp,1.767
51,pure_ocs_ksp,1.146
51,eps_ecmp,0.959
51,ocs_eps_large_small,1.025
51,pure_ocs_ksp_greedy,1.069
51,ocs_eps_preset_greedy,1.037
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_3hop_preset,1.029
51,pure_ocs_pruned,1.029
51,ocs_eps_pruned,0.964
