model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,64,58,0.892857,"[0,1,2,3,6,7,8,9,10,11,13,14,15,16,17,18,21,23,24,25,26,27,29,31,33,36,37,38,40,41,42,43,45,46,48,49,50,53,55,56,57,58,59,60,62,63,64,65,66,67,68,69,70,71,76,77,78,79]","[455,407,623,255,487,559,302,398]|[191,631,55,327,343,79,143,95]|[207,527,431,479,391,215,15,367]|[639,511,503,223,351,271,87,71]|[399,119,575,239,447,111,199,23]|[463,566,519,135,63,543,375,127]|[7,551,535,615,31,295,303,471]|[175,270,335,478,94,567,151,311]"
L2,L,64,8,64,58,0.892857,"[0,1,4,6,7,8,9,11,12,13,14,15,16,18,19,21,22,23,24,25,27,29,32,33,34,36,37,38,40,41,45,46,47,48,49,50,53,54,55,56,57,58,59,60,61,63,65,66,69,70,71,72,73,74,76,77,78,79]","[198,462,638,134,446,14,54,238]|[591,383,526,630,190,278,206,326]|[397,574,470,174,126,6,103,301]|[599,390,150,486,558,622,583,534]|[389,374,430,294,454,598,159,70]|[309,495,279,334,183,477,269,565]|[39,590,62,366,268,222,263,310]|[78,510,110,118,439,614,406,93]"
L3,L,64,8,64,58,0.892857,"[0,2,4,5,6,8,9,10,11,12,13,15,16,17,19,20,21,22,23,24,27,28,29,30,31,32,33,34,35,36,40,41,43,44,45,46,47,49,50,51,52,54,55,57,58,59,61,63,65,66,67,69,70,73,74,76,77,78]","[21,533,525,396,38,86,188,69]|[247,494,445,292,92,277,182,287]|[589,53,556,509,125,613,476,221]|[158,267,254,22,415,293,325,564]|[133,423,563,197,438,350,382,166]|[461,167,373,542,142,5,333,237]|[173,629,109,469,597,557,365,102]|[621,47,77,359,231,189,405,262]"
L4,L,64,9,64,58,0.890909,"[0,2,3,4,5,7,8,9,11,12,13,15,16,17,19,22,23,25,26,27,28,33,34,36,37,38,40,42,43,44,46,47,48,50,51,52,53,54,55,57,60,61,62,63,64,65,67,68,69,70,71,72,73,74,75,76,78,79]","[181,518,141,61,300,214,91,508]|[157,562,582,596,358,444,4,132]|[388,205,381,588,180,404,554,108]|[541,502,342,230,68,372,555,291]|[637,124,628,437,76,220,46,607]|[20,524,276,414,493,612,460,606]|[429,550,324,187,266,101,501,349]|[485,573,523,30,37,308,422,507]"
M1,M,40,6,40,37,0.911765,"[3,4,6,7,11,14,15,16,17,19,22,23,25,26,27,30,31,33,34,35,37,41,43,45,47,49,50,54,55,56,63,68,69,72,76,77,78]","[553,246,131,204,139]|[265,348,123,286,620]|[213,299,29,581,253]|[90,627,60,364,117]|[178,275,51,436,219]|[453,156,611,36,506]|[179,443,395,549,380]|[140,403,186,332,52]"
M2,M,40,7,40,37,0.909091,"[5,7,9,10,11,12,14,17,21,22,24,29,30,34,36,37,42,47,48,49,50,53,55,57,61,62,64,65,66,67,70,71,72,74,75,77,79]","[290,636,619,540,499]|[580,517,387,532,75]|[572,59,402,236,274]|[539,100,89,459,85]|[428,298,394,45,492]|[116,500,522,379,635]|[442,177,196,138,172]|[595,561,341,605,245]"
M3,M,40,7,40,37,0.909091,"[1,2,4,5,13,15,17,20,21,22,23,24,28,30,32,37,39,42,44,46,49,50,54,55,56,58,59,60,62,63,66,71,73,76,77,78,79]","[107,340,452,571,634]|[176,122,626,185,531]|[44,435,13,475,19]|[244,468,229,261,393]|[319,587,195,483,371]|[165,618,474,484,297]|[497,610,171,357,498]|[401,35,441,137,505]"
S1,S,32,6,32,29,0.884615,"[1,7,9,11,12,14,18,19,23,25,28,29,30,35,37,39,50,51,59,60,64,65,67,68,70,71,72,74,77]","[285,579,594,570]|[538,482,228,617]|[413,88,114,234]|[203,12,148,235]|[516,243,115,473]|[548,400,99,58]|[560,74,521,296]|[155,149,184,318]"
S2,S,32,6,32,29,0.884615,"[0,2,4,5,7,10,17,19,24,26,29,30,31,32,33,34,40,41,43,44,45,51,54,59,60,61,63,65,72]","[242,578,520,252]|[434,347,412,323]|[154,2,84,212]|[264,153,251,34]|[3,273,356,472]|[504,43,136,57]|[491,194,260,331]|[363,233,18,481]"
S3,S,32,6,32,29,0.884615,"[1,2,3,8,9,14,15,19,21,26,28,30,35,40,42,43,44,48,49,52,55,60,62,64,67,68,69,75,76]","[28,537,440,322]|[121,169,152,227]|[346,547,17,241]|[480,11,392,604]|[421,355,113,211]|[496,73,27,515]|[609,67,226,552]|[170,284,386,339]"
