scheduler,bytes,fct_ms,num_flows_in_bin
eps_ecmp,100.000000,0.007406,112
eps_ecmp,1000.000000,0.006770,64
eps_ecmp,10000.000000,0.061074,96
eps_ecmp,20000.000000,0.121139,248
eps_ecmp,30000.000000,0.159616,80
eps_ecmp,100000.000000,0.607414,448
eps_ecmp,200000.000000,1.293985,496
eps_ecmp,300000.000000,2.160073,784
eps_ecmp,400000.000000,3.163488,968
eps_ecmp,800000.000000,45.094879,3232
eps_ecmp,1000000.000000,49.223145,1856
eps_ecmp,2000000.000000,54.852848,5360
eps_ecmp,3000000.000000,84.559093,3248
eps_ecmp,10000000.000000,113.630146,6232
eps_ecmp,20000000.000000,130.572139,4008
eps_ecmp,30000000.000000,135.727046,1832
eps_ecmp,100000000.000000,171.762115,1144
ocs_eps_global_ksp,100.000000,0.009261,112
ocs_eps_global_ksp,1000.000000,0.013067,64
ocs_eps_global_ksp,10000.000000,0.095752,96
ocs_eps_global_ksp,20000.000000,0.148407,248
ocs_eps_global_ksp,30000.000000,0.286137,80
ocs_eps_global_ksp,100000.000000,0.831854,448
ocs_eps_global_ksp,200000.000000,1.597790,496
ocs_eps_global_ksp,300000.000000,2.268519,784
ocs_eps_global_ksp,400000.000000,2.995324,968
ocs_eps_global_ksp,800000.000000,43.821708,3232
ocs_eps_global_ksp,1000000.000000,47.973626,1856
ocs_eps_global_ksp,2000000.000000,62.369417,5360
ocs_eps_global_ksp,3000000.000000,85.689564,3248
ocs_eps_global_ksp,10000000.000000,138.279893,6232
ocs_eps_global_ksp,20000000.000000,190.652364,4008
ocs_eps_global_ksp,30000000.000000,231.760833,1832
ocs_eps_global_ksp,100000000.000000,343.020776,1144
ocs_eps_large_small,100.000000,0.009357,112
ocs_eps_large_small,1000.000000,0.011002,64
ocs_eps_large_small,10000.000000,0.091259,96
ocs_eps_large_small,20000.000000,0.168941,248
ocs_eps_large_small,30000.000000,0.215112,80
ocs_eps_large_small,100000.000000,0.875887,448
ocs_eps_large_small,200000.000000,1.633190,496
ocs_eps_large_small,300000.000000,2.301565,784
ocs_eps_large_small,400000.000000,3.000642,968
ocs_eps_large_small,800000.000000,41.304158,3232
ocs_eps_large_small,1000000.000000,41.575393,1856
ocs_eps_large_small,2000000.000000,57.515299,5360
ocs_eps_large_small,3000000.000000,78.914666,3248
ocs_eps_large_small,10000000.000000,107.601796,6232
ocs_eps_large_small,20000000.000000,135.444946,4008
ocs_eps_large_small,30000000.000000,141.204084,1832
ocs_eps_large_small,100000000.000000,247.389065,1144
ocs_eps_preset_dynamic_greedy,100.000000,0.008663,112
ocs_eps_preset_dynamic_greedy,1000.000000,0.008256,64
ocs_eps_preset_dynamic_greedy,10000.000000,0.082681,96
ocs_eps_preset_dynamic_greedy,20000.000000,0.128436,248
ocs_eps_preset_dynamic_greedy,30000.000000,0.173124,80
ocs_eps_preset_dynamic_greedy,100000.000000,0.699494,448
ocs_eps_preset_dynamic_greedy,200000.000000,1.356546,496
ocs_eps_preset_dynamic_greedy,300000.000000,2.084084,784
ocs_eps_preset_dynamic_greedy,400000.000000,2.701385,968
ocs_eps_preset_dynamic_greedy,800000.000000,38.337809,3232
ocs_eps_preset_dynamic_greedy,1000000.000000,39.727370,1856
ocs_eps_preset_dynamic_greedy,2000000.000000,51.180311,5360
ocs_eps_preset_dynamic_greedy,3000000.000000,60.259197,3248
ocs_eps_preset_dynamic_greedy,10000000.000000,109.530476,6232
ocs_eps_preset_dynamic_greedy,20000000.000000,137.246894,4008
ocs_eps_preset_dynamic_greedy,30000000.000000,135.969605,1832
ocs_eps_preset_dynamic_greedy,100000000.000000,198.932883,1144
ocs_eps_preset_greedy,100.000000,0.009084,112
ocs_eps_preset_greedy,1000.000000,0.008830,64
ocs_eps_preset_greedy,10000.000000,0.085786,96
ocs_eps_preset_greedy,20000.000000,0.133375,248
ocs_eps_preset_greedy,30000.000000,0.199848,80
ocs_eps_preset_greedy,100000.000000,0.710302,448
ocs_eps_preset_greedy,200000.000000,1.400796,496
ocs_eps_preset_greedy,300000.000000,2.193589,784
ocs_eps_preset_greedy,400000.000000,2.750408,968
ocs_eps_preset_greedy,800000.000000,36.918739,3232
ocs_eps_preset_greedy,1000000.000000,41.515814,1856
ocs_eps_preset_greedy,2000000.000000,49.194658,5360
ocs_eps_preset_greedy,3000000.000000,60.666435,3248
ocs_eps_preset_greedy,10000000.000000,108.531622,6232
ocs_eps_preset_greedy,20000000.000000,133.400670,4008
ocs_eps_preset_greedy,30000000.000000,150.423579,1832
ocs_eps_preset_greedy,100000000.000000,199.432621,1144
ocs_eps_pruned,100.000000,0.008752,112
ocs_eps_pruned,1000.000000,0.008175,64
ocs_eps_pruned,10000.000000,0.084409,96
ocs_eps_pruned,20000.000000,0.128940,248
ocs_eps_pruned,30000.000000,0.178399,80
ocs_eps_pruned,100000.000000,0.688403,448
ocs_eps_pruned,200000.000000,1.427906,496
ocs_eps_pruned,300000.000000,2.183327,784
ocs_eps_pruned,400000.000000,2.704195,968
ocs_eps_pruned,800000.000000,38.943803,3232
ocs_eps_pruned,1000000.000000,43.293907,1856
ocs_eps_pruned,2000000.000000,50.575741,5360
ocs_eps_pruned,3000000.000000,57.187049,3248
ocs_eps_pruned,10000000.000000,107.316992,6232
ocs_eps_pruned,20000000.000000,131.211522,4008
ocs_eps_pruned,30000000.000000,145.237017,1832
ocs_eps_pruned,100000000.000000,189.220495,1144
pure_ocs_3hop_preset,100.000000,0.008896,112
pure_ocs_3hop_preset,1000.000000,0.007923,64
pure_ocs_3hop_preset,10000.000000,0.078690,96
pure_ocs_3hop_preset,20000.000000,0.121296,248
pure_ocs_3hop_preset,30000.000000,0.184879,80
pure_ocs_3hop_preset,100000.000000,0.633058,448
pure_ocs_3hop_preset,200000.000000,1.394994,496
pure_ocs_3hop_preset,300000.000000,2.110247,784
pure_ocs_3hop_preset,400000.000000,2.795157,968
pure_ocs_3hop_preset,800000.000000,38.651523,3232
pure_ocs_3hop_preset,1000000.000000,42.075367,1856
pure_ocs_3hop_preset,2000000.000000,51.043645,5360
pure_ocs_3hop_preset,3000000.000000,57.773779,3248
pure_ocs_3hop_preset,10000000.000000,116.965798,6232
pure_ocs_3hop_preset,20000000.000000,137.089935,4008
pure_ocs_3hop_preset,30000000.000000,152.000293,1832
pure_ocs_3hop_preset,100000000.000000,221.133552,1144
pure_ocs_ksp,100.000000,0.010551,112
pure_ocs_ksp,1000.000000,0.008651,64
pure_ocs_ksp,10000.000000,0.080619,96
pure_ocs_ksp,20000.000000,0.118542,248
pure_ocs_ksp,30000.000000,0.185362,80
pure_ocs_ksp,100000.000000,0.692894,448
pure_ocs_ksp,200000.000000,1.360666,496
pure_ocs_ksp,300000.000000,2.111477,784
pure_ocs_ksp,400000.000000,2.714186,968
pure_ocs_ksp,800000.000000,39.202650,3232
pure_ocs_ksp,1000000.000000,40.504404,1856
pure_ocs_ksp,2000000.000000,51.488490,5360
pure_ocs_ksp,3000000.000000,62.938826,3248
pure_ocs_ksp,10000000.000000,117.117172,6232
pure_ocs_ksp,20000000.000000,147.837642,4008
pure_ocs_ksp,30000000.000000,165.824816,1832
pure_ocs_ksp,100000000.000000,283.625569,1144
pure_ocs_ksp_greedy,100.000000,0.008768,112
pure_ocs_ksp_greedy,1000.000000,0.008120,64
pure_ocs_ksp_greedy,10000.000000,0.080443,96
pure_ocs_ksp_greedy,20000.000000,0.129111,248
pure_ocs_ksp_greedy,30000.000000,0.198798,80
pure_ocs_ksp_greedy,100000.000000,0.674319,448
pure_ocs_ksp_greedy,200000.000000,1.517192,496
pure_ocs_ksp_greedy,300000.000000,2.106828,784
pure_ocs_ksp_greedy,400000.000000,2.779254,968
pure_ocs_ksp_greedy,800000.000000,37.769319,3232
pure_ocs_ksp_greedy,1000000.000000,39.120983,1856
pure_ocs_ksp_greedy,2000000.000000,51.103473,5360
pure_ocs_ksp_greedy,3000000.000000,58.385739,3248
pure_ocs_ksp_greedy,10000000.000000,109.407227,6232
pure_ocs_ksp_greedy,20000000.000000,142.093879,4008
pure_ocs_ksp_greedy,30000000.000000,154.690425,1832
pure_ocs_ksp_greedy,100000000.000000,233.713818,1144
pure_ocs_pruned,100.000000,0.008896,112
pure_ocs_pruned,1000.000000,0.007923,64
pure_ocs_pruned,10000.000000,0.078690,96
pure_ocs_pruned,20000.000000,0.121296,248
pure_ocs_pruned,30000.000000,0.184879,80
pure_ocs_pruned,100000.000000,0.633058,448
pure_ocs_pruned,200000.000000,1.394994,496
pure_ocs_pruned,300000.000000,2.110247,784
pure_ocs_pruned,400000.000000,2.795157,968
pure_ocs_pruned,800000.000000,38.651523,3232
pure_ocs_pruned,1000000.000000,42.075367,1856
pure_ocs_pruned,2000000.000000,51.043645,5360
pure_ocs_pruned,3000000.000000,57.773779,3248
pure_ocs_pruned,10000000.000000,116.965798,6232
pure_ocs_pruned,20000000.000000,137.089935,4008
pure_ocs_pruned,30000000.000000,152.000293,1832
pure_ocs_pruned,100000000.000000,221.133552,1144
