seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.539
42,pure_ocs_ksp,1.006
42,eps_ecmp,0.980
42,ocs_eps_large_small,0.892
42,pure_ocs_ksp_greedy,0.954
42,ocs_eps_preset_greedy,0.866
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_3hop_preset,0.967
42,pure_ocs_pruned,0.967
42,ocs_eps_pruned,0.966
43,ocs_eps_global_ksp,1.168
43,pure_ocs_ksp,0.864
43,eps_ecmp,0.988
43,ocs_eps_large_small,1.093
43,pure_ocs_ksp_greedy,0.981
43,ocs_eps_preset_greedy,0.961
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_3hop_preset,0.826
43,pure_ocs_pruned,0.826
43,ocs_eps_pruned,0.819
44,ocs_eps_global_ksp,1.815
44,pure_ocs_ksp,1.060
44,eps_ecmp,1.063
44,ocs_eps_large_small,0.822
44,pure_ocs_ksp_greedy,0.969
44,ocs_eps_preset_greedy,0.957
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_3hop_preset,1.072
44,pure_ocs_pruned,1.072
44,ocs_eps_pruned,1.019
45,ocs_eps_global_ksp,1.447
45,pure_ocs_ksp,0.994
45,eps_ecmp,1.202
45,ocs_eps_large_small,0.919
45,pure_ocs_ksp_greedy,1.192
45,ocs_eps_preset_greedy,0.985
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_3hop_preset,1.113
45,pure_ocs_pruned,1.113
45,ocs_eps_pruned,1.006
46,ocs_eps_global_ksp,1.911
46,pure_ocs_ksp,1.213
46,eps_ecmp,1.242
46,ocs_eps_large_small,1.187
46,pure_ocs_ksp_greedy,1.054
46,ocs_eps_preset_greedy,1.198
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_3hop_preset,1.097
46,pure_ocs_pruned,1.097
46,ocs_eps_pruned,1.056
47,ocs_eps_global_ksp,1.778
47,pure_ocs_ksp,0.996
47,eps_ecmp,1.059
47,ocs_eps_large_small,1.049
47,pure_ocs_ksp_greedy,1.013
47,ocs_eps_preset_greedy,1.094
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_3hop_preset,0.998
47,pure_ocs_pruned,0.998
47,ocs_eps_pruned,1.016
48,ocs_eps_global_ksp,1.868
48,pure_ocs_ksp,1.034
48,eps_ecmp,1.047
48,ocs_eps_large_small,1.043
48,pure_ocs_ksp_greedy,0.997
48,ocs_eps_preset_greedy,1.028
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_3hop_preset,0.972
48,pure_ocs_pruned,0.972
48,ocs_eps_pruned,1.007
49,ocs_eps_global_ksp,1.566
49,pure_ocs_ksp,0.989
49,eps_ecmp,1.348
49,ocs_eps_large_small,1.002
49,pure_ocs_ksp_greedy,0.964
49,ocs_eps_preset_greedy,0.941
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_3hop_preset,1.021
49,pure_ocs_pruned,1.021
49,ocs_eps_pruned,0.958
50,ocs_eps_global_ksp,1.778
50,pure_ocs_ksp,1.149
50,eps_ecmp,0.966
50,ocs_eps_large_small,0.954
50,pure_ocs_ksp_greedy,0.908
50,ocs_eps_preset_greedy,1.082
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_3hop_preset,1.125
50,pure_ocs_pruned,1.125
50,ocs_eps_pruned,1.018
51,ocs_eps_global_ksp,1.662
51,pure_ocs_ksp,0.966
51,eps_ecmp,1.060
51,ocs_eps_large_small,1.024
51,pure_ocs_ksp_greedy,0.971
51,ocs_eps_preset_greedy,0.814
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_3hop_preset,0.851
51,pure_ocs_pruned,0.851
51,ocs_eps_pruned,0.954
