seed,scheduler,avg_relative_fct_vs_dynamic
42,ocs_eps_global_ksp,1.191
42,pure_ocs_ksp,1.017
42,eps_ecmp,0.952
42,ocs_eps_large_small,1.011
42,pure_ocs_ksp_greedy,0.992
42,ocs_eps_preset_greedy,0.991
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_3hop_preset,1.003
42,pure_ocs_pruned,1.003
42,ocs_eps_pruned,0.987
43,ocs_eps_global_ksp,1.212
43,pure_ocs_ksp,1.017
43,eps_ecmp,0.994
43,ocs_eps_large_small,1.046
43,pure_ocs_ksp_greedy,1.018
43,ocs_eps_preset_greedy,1.008
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_3hop_preset,1.010
43,pure_ocs_pruned,1.010
43,ocs_eps_pruned,0.993
44,ocs_eps_global_ksp,1.191
44,pure_ocs_ksp,0.999
44,eps_ecmp,0.979
44,ocs_eps_large_small,0.960
44,pure_ocs_ksp_greedy,0.992
44,ocs_eps_preset_greedy,0.994
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_3hop_preset,0.990
44,pure_ocs_pruned,0.990
44,ocs_eps_pruned,0.980
45,ocs_eps_global_ksp,1.255
45,pure_ocs_ksp,1.035
45,eps_ecmp,0.990
45,ocs_eps_large_small,0.981
45,pure_ocs_ksp_greedy,1.006
45,ocs_eps_preset_greedy,1.006
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_3hop_preset,1.005
45,pure_ocs_pruned,1.005
45,ocs_eps_pruned,0.997
46,ocs_eps_global_ksp,1.309
46,pure_ocs_ksp,1.003
46,eps_ecmp,0.990
46,ocs_eps_large_small,1.064
46,pure_ocs_ksp_greedy,0.991
46,ocs_eps_preset_greedy,1.018
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_3hop_preset,0.997
46,pure_ocs_pruned,0.997
46,ocs_eps_pruned,0.983
47,ocs_eps_global_ksp,1.184
47,pure_ocs_ksp,1.016
47,eps_ecmp,0.982
47,ocs_eps_large_small,1.013
47,pure_ocs_ksp_greedy,1.012
47,ocs_eps_preset_greedy,1.008
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_3hop_preset,0.974
47,pure_ocs_pruned,0.974
47,ocs_eps_pruned,0.987
48,ocs_eps_global_ksp,1.228
48,pure_ocs_ksp,1.072
48,eps_ecmp,0.970
48,ocs_eps_large_small,0.984
48,pure_ocs_ksp_greedy,1.029
48,ocs_eps_preset_greedy,1.028
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_3hop_preset,1.015
48,pure_ocs_pruned,1.015
48,ocs_eps_pruned,0.995
49,ocs_eps_global_ksp,1.201
49,pure_ocs_ksp,1.041
49,eps_ecmp,0.994
49,ocs_eps_large_small,0.982
49,pure_ocs_ksp_greedy,0.995
49,ocs_eps_preset_greedy,1.005
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_3hop_preset,0.987
49,pure_ocs_pruned,0.987
49,ocs_eps_pruned,0.987
50,ocs_eps_global_ksp,1.152
50,pure_ocs_ksp,1.014
50,eps_ecmp,0.998
50,ocs_eps_large_small,1.008
50,pure_ocs_ksp_greedy,0.996
50,ocs_eps_preset_greedy,1.003
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_3hop_preset,0.993
50,pure_ocs_pruned,0.993
50,ocs_eps_pruned,1.029
51,ocs_eps_global_ksp,1.309
51,pure_ocs_ksp,1.066
51,eps_ecmp,1.003
51,ocs_eps_large_small,1.150
51,pure_ocs_ksp_greedy,1.031
51,ocs_eps_preset_greedy,1.030
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_3hop_preset,1.015
51,pure_ocs_pruned,1.015
51,ocs_eps_pruned,1.008
