case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
frag0p1,ocs_eps_global_ksp,10,1.861,0.148
frag0p1,pure_ocs_ksp,10,1.186,0.095
frag0p1,eps_ecmp,10,0.974,0.059
frag0p1,ocs_eps_large_small,10,1.086,0.059
frag0p1,pure_ocs_ksp_greedy,10,1.121,0.060
frag0p1,ocs_eps_preset_greedy,10,1.075,0.059
frag0p1,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p1,pure_ocs_3hop_preset,10,1.042,0.050
frag0p1,pure_ocs_pruned,10,1.042,0.050
frag0p1,ocs_eps_pruned,10,1.026,0.056
frag0p3,ocs_eps_global_ksp,10,1.916,0.150
frag0p3,pure_ocs_ksp,10,1.182,0.086
frag0p3,eps_ecmp,10,1.019,0.053
frag0p3,ocs_eps_large_small,10,1.111,0.064
frag0p3,pure_ocs_ksp_greedy,10,1.103,0.091
frag0p3,ocs_eps_preset_greedy,10,1.061,0.052
frag0p3,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p3,pure_ocs_3hop_preset,10,1.059,0.049
frag0p3,pure_ocs_pruned,10,1.059,0.049
frag0p3,ocs_eps_pruned,10,1.029,0.054
frag0p5,ocs_eps_global_ksp,10,1.941,0.199
frag0p5,pure_ocs_ksp,10,1.171,0.045
frag0p5,eps_ecmp,10,1.005,0.057
frag0p5,ocs_eps_large_small,10,1.097,0.059
frag0p5,pure_ocs_ksp_greedy,10,1.087,0.053
frag0p5,ocs_eps_preset_greedy,10,1.049,0.039
frag0p5,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p5,pure_ocs_3hop_preset,10,1.023,0.043
frag0p5,pure_ocs_pruned,10,1.023,0.043
frag0p5,ocs_eps_pruned,10,1.001,0.051
frag0p7,ocs_eps_global_ksp,10,1.827,0.138
frag0p7,pure_ocs_ksp,10,1.116,0.045
frag0p7,eps_ecmp,10,0.998,0.035
frag0p7,ocs_eps_large_small,10,1.076,0.042
frag0p7,pure_ocs_ksp_greedy,10,1.045,0.043
frag0p7,ocs_eps_preset_greedy,10,1.011,0.038
frag0p7,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p7,pure_ocs_3hop_preset,10,1.014,0.063
frag0p7,pure_ocs_pruned,10,1.014,0.063
frag0p7,ocs_eps_pruned,10,1.000,0.032
frag0p9,ocs_eps_global_ksp,10,1.808,0.121
frag0p9,pure_ocs_ksp,10,1.115,0.043
frag0p9,eps_ecmp,10,0.984,0.035
frag0p9,ocs_eps_large_small,10,1.050,0.059
frag0p9,pure_ocs_ksp_greedy,10,1.023,0.027
frag0p9,ocs_eps_preset_greedy,10,1.025,0.073
frag0p9,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p9,pure_ocs_3hop_preset,10,1.000,0.045
frag0p9,pure_ocs_pruned,10,1.000,0.045
frag0p9,ocs_eps_pruned,10,0.992,0.031
