case_base,scheduler,seed_count,mean_avg_solve_time_ms,std_avg_solve_time_ms
frag0p1,ocs_eps_global_ksp,10,0.000,0.000
frag0p1,pure_ocs_ksp,10,0.000,0.000
frag0p1,eps_ecmp,10,0.000,0.000
frag0p1,ocs_eps_large_small,10,0.000,0.000
frag0p1,pure_ocs_ksp_greedy,10,0.105,0.010
frag0p1,ocs_eps_preset_greedy,10,0.115,0.013
frag0p1,ocs_eps_preset_dynamic_greedy,10,0.228,0.033
frag0p1,pure_ocs_3hop_preset,10,0.548,0.141
frag0p1,pure_ocs_pruned,10,0.553,0.106
frag0p1,ocs_eps_pruned,10,0.649,0.127
frag0p3,ocs_eps_global_ksp,10,0.000,0.000
frag0p3,pure_ocs_ksp,10,0.000,0.000
frag0p3,eps_ecmp,10,0.000,0.000
frag0p3,ocs_eps_large_small,10,0.000,0.000
frag0p3,pure_ocs_ksp_greedy,10,0.113,0.012
frag0p3,ocs_eps_preset_greedy,10,0.126,0.012
frag0p3,ocs_eps_preset_dynamic_greedy,10,0.264,0.038
frag0p3,pure_ocs_3hop_preset,10,0.595,0.156
frag0p3,pure_ocs_pruned,10,0.650,0.116
frag0p3,ocs_eps_pruned,10,0.706,0.160
frag0p5,ocs_eps_global_ksp,10,0.000,0.000
frag0p5,pure_ocs_ksp,10,0.000,0.000
frag0p5,eps_ecmp,10,0.000,0.000
frag0p5,ocs_eps_large_small,10,0.000,0.000
frag0p5,pure_ocs_ksp_greedy,10,0.108,0.011
frag0p5,ocs_eps_preset_greedy,10,0.113,0.002
frag0p5,ocs_eps_preset_dynamic_greedy,10,0.204,0.003
frag0p5,pure_ocs_3hop_preset,10,0.535,0.134
frag0p5,pure_ocs_pruned,10,0.556,0.133
frag0p5,ocs_eps_pruned,10,0.574,0.081
frag0p7,ocs_eps_global_ksp,10,0.000,0.000
frag0p7,pure_ocs_ksp,10,0.000,0.000
frag0p7,eps_ecmp,10,0.000,0.000
frag0p7,ocs_eps_large_small,10,0.000,0.000
frag0p7,pure_ocs_ksp_greedy,10,0.112,0.011
frag0p7,ocs_eps_preset_greedy,10,0.115,0.003
frag0p7,ocs_eps_preset_dynamic_greedy,10,0.210,0.003
frag0p7,pure_ocs_3hop_preset,10,0.457,0.008
frag0p7,pure_ocs_pruned,10,0.620,0.154
frag0p7,ocs_eps_pruned,10,0.524,0.129
frag0p9,ocs_eps_global_ksp,10,0.000,0.000
frag0p9,pure_ocs_ksp,10,0.000,0.000
frag0p9,eps_ecmp,10,0.000,0.000
frag0p9,ocs_eps_large_small,10,0.000,0.000
frag0p9,pure_ocs_ksp_greedy,10,0.087,0.005
frag0p9,ocs_eps_preset_greedy,10,0.095,0.002
frag0p9,ocs_eps_preset_dynamic_greedy,10,0.178,0.002
frag0p9,pure_ocs_3hop_preset,10,0.397,0.008
frag0p9,pure_ocs_pruned,10,0.416,0.013
frag0p9,ocs_eps_pruned,10,0.371,0.004
