scheduler,bytes,fct_ms,num_flows_in_bin
eps_ecmp,100.000000,0.005777,176
eps_ecmp,1000.000000,0.006188,176
eps_ecmp,10000.000000,0.048680,104
eps_ecmp,20000.000000,0.120925,384
eps_ecmp,30000.000000,0.171165,56
eps_ecmp,100000.000000,0.630192,704
eps_ecmp,200000.000000,1.607301,840
eps_ecmp,300000.000000,2.286047,1032
eps_ecmp,400000.000000,3.070747,1392
eps_ecmp,800000.000000,72.571841,4184
eps_ecmp,1000000.000000,82.956577,2328
eps_ecmp,2000000.000000,95.850921,6920
eps_ecmp,3000000.000000,103.728374,5104
eps_ecmp,10000000.000000,149.171729,7944
eps_ecmp,20000000.000000,173.712671,5424
eps_ecmp,30000000.000000,186.410350,2728
eps_ecmp,100000000.000000,244.966968,1464
ocs_eps_global_ksp,100.000000,0.009613,176
ocs_eps_global_ksp,1000.000000,0.008578,176
ocs_eps_global_ksp,10000.000000,0.089970,104
ocs_eps_global_ksp,20000.000000,0.161052,384
ocs_eps_global_ksp,30000.000000,0.292297,56
ocs_eps_global_ksp,100000.000000,0.885432,704
ocs_eps_global_ksp,200000.000000,1.667584,840
ocs_eps_global_ksp,300000.000000,2.374521,1032
ocs_eps_global_ksp,400000.000000,3.760606,1392
ocs_eps_global_ksp,800000.000000,64.678475,4184
ocs_eps_global_ksp,1000000.000000,75.316422,2328
ocs_eps_global_ksp,2000000.000000,94.308999,6920
ocs_eps_global_ksp,3000000.000000,103.309729,5104
ocs_eps_global_ksp,10000000.000000,198.443593,7944
ocs_eps_global_ksp,20000000.000000,258.421836,5424
ocs_eps_global_ksp,30000000.000000,289.149451,2728
ocs_eps_global_ksp,100000000.000000,503.831684,1464
ocs_eps_large_small,100.000000,0.010062,176
ocs_eps_large_small,1000.000000,0.008622,176
ocs_eps_large_small,10000.000000,0.086039,104
ocs_eps_large_small,20000.000000,0.189009,384
ocs_eps_large_small,30000.000000,0.198811,56
ocs_eps_large_small,100000.000000,0.833449,704
ocs_eps_large_small,200000.000000,1.665934,840
