scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,95.000000,4274.495086,2.148397,4274.495086,2.148397,80,0
pure_ocs_ksp,95.000000,1980.833682,0.995584,1980.833682,0.995584,80,0
eps_ecmp,95.000000,2426.619278,1.219639,2426.619278,1.219639,80,0
ocs_eps_large_small,95.000000,1825.556321,0.917540,1825.556321,0.917540,80,0
pure_ocs_ksp_greedy,95.000000,1926.741871,0.968397,1926.741871,0.968397,80,0
ocs_eps_preset_greedy,95.000000,1736.976759,0.873019,1736.976759,0.873019,80,0
ocs_eps_preset_dynamic_greedy,95.000000,1989.620368,1.000000,1989.620368,1.000000,80,0
pure_ocs_3hop_preset,95.000000,1814.071288,0.911768,1814.071288,0.911768,80,0
pure_ocs_pruned,95.000000,1814.071288,0.911768,1814.071288,0.911768,80,0
ocs_eps_pruned,95.000000,1756.945736,0.883056,1756.945736,0.883056,80,0
