model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,64,36,0.500000,"[4,5,8,10,11,17,19,20,21,22,23,24,25,28,31,32,34,35,36,38,45,47,49,51,52,53,56,57,58,59,63,64,65,67,70,71]","[462,175,471,231,71,207,279,455]|[518,165,294,46,398,383,382,463]|[574,206,527,367,519,293,423,95]|[166,191,87,479,38,311,542,510]|[399,254,381,142,174,47,143,295]|[567,543,431,183,262,45,253,509]|[255,198,287,199,286,575,278,263]|[415,511,158,566,422,159,167,39]"
L2,L,64,8,64,36,0.500000,"[1,7,9,15,16,20,26,28,31,34,35,38,40,41,42,43,44,45,47,48,50,51,53,57,58,59,60,61,62,63,65,68,72,73,74,78]","[357,494,326,525,133,79,526,359]|[583,630,493,470,468,341,14,351]|[230,335,163,390,495,429,127,252]|[366,380,508,342,631,164,251,389]|[15,77,590,310,469,414,61,407]|[430,327,503,591,461,62,78,134]|[478,285,126,215,599,502,551,135]|[391,486,63,277,358,477,487,343]"
L3,L,64,8,64,36,0.500000,"[0,2,4,6,9,10,11,12,15,17,19,21,23,24,28,32,33,37,38,39,47,48,49,51,52,53,54,55,58,63,65,67,68,69,72,73]","[549,53,550,507,271,7,582,197]|[269,102,446,317,559,439,23,270]|[93,410,309,54,589,55,196,229]|[157,76,397,437,300,94,173,396]|[84,190,387,171,86,103,524,22]|[141,421,302,411,85,428,409,172]|[388,438,412,268,318,37,301,379]|[319,303,413,125,467,261,447,541]"
L4,L,64,8,64,36,0.500000,"[8,10,14,15,16,17,18,20,22,25,26,27,28,31,33,34,36,42,44,45,48,49,50,51,56,57,58,59,62,64,68,69,70,75,77,78]","[547,205,565,70,465,162,340,626]|[475,517,563,454,459,548,214,204]|[139,476,182,365,606,276,249,150]|[406,124,607,628,629,395,140,394]|[627,622,501,213,292,408,83,564]|[248,386,266,119,516,131,267,132]|[250,228,558,356,500,223,466,339]|[620,181,151,118,460,623,605,621]"
L5,L,64,8,64,36,0.500000,"[0,2,3,4,7,8,9,10,11,14,15,20,21,23,29,34,35,36,38,39,41,42,44,46,49,50,56,57,58,60,63,64,68,70,76,77]","[6,188,21,393,619,334,274,239]|[333,123,170,60,546,69,515,75]|[160,375,238,615,19,452,82,332]|[506,308,31,67,291,453,562,373]|[355,20,405,284,484,117,338,275]|[374,68,30,464,354,91,485,5]|[458,36,18,331,613,561,28,29]|[81,316,189,161,92,614,514,122]"
L6,L,64,9,64,36,0.490909,"[2,3,4,5,6,9,10,15,18,21,22,24,33,34,35,36,37,41,42,43,45,48,49,50,53,54,55,56,57,62,63,66,70,75,77,78]","[535,148,435,349,193,625,534,51]|[533,443,618,290,532,194,337,385]|[364,169,299,336,427,283,497,273]|[362,195,192,180,74,149,330,27]|[445,121,35,499,179,44,505,363]|[450,449,265,444,436,348,451,50]|[456,17,147,350,404,604,120,80]|[52,457,498,403,560,624,392,603]"
L7,L,64,10,64,37,0.500000,"[1,5,7,8,12,19,21,23,25,27,28,29,30,33,34,36,37,40,45,46,47,50,53,54,55,56,59,61,63,65,66,68,69,72,75,76,77]","[448,235,297,473,225,377,203,617]|[247,523,220,490,545,236,602,187]|[504,580,289,402,474,521,581,227]|[530,372,492,442,100,168,370,222]|[237,246,371,520,12,65,11,433]|[101,221,557,522,226,156,544,66]|[325,264,272,43,59,378,298,612]|[434,13,219,426,491,361,556,531]"
L8,L,64,11,61,36,0.500000,"[4,7,8,9,11,12,17,19,22,23,26,27,29,32,39,40,41,43,44,47,48,52,53,54,55,59,60,61,64,67,71,72,74,76,77,79]","[138,328,472,186,210,58,217,178]|[483,314,153,212,99,257,572,258]|[353,425,259,419,137,90,512,33]|[489,98,233,218,513,636,324,578]|[432,611,73,639,637,315,347,638]|[376,32,34,154,89,441,329,440]|[155,346,482,234,260,573,64,420]|[579,540,384,616,598,211,481,610]"
L9,L,64,14,51,32,0.486486,"[2,3,6,7,12,13,16,17,18,22,23,28,29,30,35,36,37,38,40,45,50,53,60,61,66,67,69,71,72,73,74,76]","[307,56,585,224,529,242,424,97]|[16,594,570,129,96,243,401,488]|[48,586,555,177,597,244,587,130]|[588,145,288,553,571,528,538,25]|[577,569,323,280,245,176,595,608]|[539,111,296,609,128,136,306,305]|[49,537,322,26,185,480,57,146]|[596,24,281,184,360,554,282,232]"
L10,L,64,31,31,31,0.000000,"[0,1,5,9,11,13,14,18,19,25,26,27,30,32,38,39,40,43,44,46,50,52,62,67,69,71,72,73,74,75,79]","[312,417,3,568,113,1,321,200]|[201,4,400,418,112,2,584,635]|[368,345,105,152,256,216,592,107]|[552,369,416,110,0,320,115,240]|[114,304,593,42,208,633,106,600]|[241,116,8,634,496,144,344,209]|[10,536,352,632,41,104,202,313]|[601,108,88,9,576,40,72,109]"
