scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,2347.117812,2.124753,2347.117812,2.124753,80,0
pure_ocs_ksp,100.000000,1323.860108,1.198438,1323.860108,1.198438,80,0
eps_ecmp,100.000000,1062.522425,0.961859,1062.522425,0.961859,80,0
ocs_eps_large_small,100.000000,1213.043545,1.098120,1213.043545,1.098120,80,0
pure_ocs_ksp_greedy,100.000000,1106.670281,1.001825,1106.670281,1.001825,80,0
ocs_eps_preset_greedy,100.000000,1082.710702,0.980135,1082.710702,0.980135,80,0
ocs_eps_preset_dynamic_greedy,100.000000,1104.654521,1.000000,1104.654521,1.000000,80,0
pure_ocs_3hop_preset,100.000000,1076.167379,0.974212,1076.167379,0.974212,80,0
pure_ocs_pruned,100.000000,1076.167379,0.974212,1076.167379,0.974212,80,0
ocs_eps_pruned,100.000000,1132.261109,1.024991,1132.261109,1.024991,80,0
