seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.992
42,pure_ocs_ksp,1.190
42,eps_ecmp,0.989
42,ocs_eps_large_small,1.142
42,pure_ocs_ksp_greedy,1.075
42,ocs_eps_preset_greedy,1.006
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_3hop_preset,1.000
42,pure_ocs_pruned,1.000
42,ocs_eps_pruned,1.073
43,ocs_eps_global_ksp,1.912
43,pure_ocs_ksp,1.164
43,eps_ecmp,0.963
43,ocs_eps_large_small,1.075
43,pure_ocs_ksp_greedy,1.032
43,ocs_eps_preset_greedy,1.045
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_3hop_preset,1.000
43,pure_ocs_pruned,1.000
43,ocs_eps_pruned,1.021
44,ocs_eps_global_ksp,2.065
44,pure_ocs_ksp,1.232
44,eps_ecmp,0.989
44,ocs_eps_large_small,1.141
44,pure_ocs_ksp_greedy,1.087
44,ocs_eps_preset_greedy,1.015
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_3hop_preset,1.117
44,pure_ocs_pruned,1.117
44,ocs_eps_pruned,0.937
45,ocs_eps_global_ksp,2.210
45,pure_ocs_ksp,1.254
45,eps_ecmp,1.016
45,ocs_eps_large_small,1.138
45,pure_ocs_ksp_greedy,1.087
45,ocs_eps_preset_greedy,1.014
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_3hop_preset,1.083
45,pure_ocs_pruned,1.083
45,ocs_eps_pruned,0.971
46,ocs_eps_global_ksp,2.160
46,pure_ocs_ksp,1.250
46,eps_ecmp,0.946
46,ocs_eps_large_small,1.109
46,pure_ocs_ksp_greedy,1.099
46,ocs_eps_preset_greedy,1.041
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_3hop_preset,1.094
46,pure_ocs_pruned,1.094
46,ocs_eps_pruned,1.036
47,ocs_eps_global_ksp,2.191
47,pure_ocs_ksp,1.190
47,eps_ecmp,0.910
47,ocs_eps_large_small,1.144
47,pure_ocs_ksp_greedy,1.066
47,ocs_eps_preset_greedy,1.131
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_3hop_preset,1.038
47,pure_ocs_pruned,1.038
47,ocs_eps_pruned,0.998
48,ocs_eps_global_ksp,1.998
48,pure_ocs_ksp,1.194
48,eps_ecmp,1.062
48,ocs_eps_large_small,1.066
48,pure_ocs_ksp_greedy,1.081
48,ocs_eps_preset_greedy,1.003
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_3hop_preset,1.014
48,pure_ocs_pruned,1.014
48,ocs_eps_pruned,1.002
49,ocs_eps_global_ksp,2.451
49,pure_ocs_ksp,1.325
49,eps_ecmp,1.027
49,ocs_eps_large_small,1.174
49,pure_ocs_ksp_greedy,1.230
49,ocs_eps_preset_greedy,1.044
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_3hop_preset,1.066
49,pure_ocs_pruned,1.066
49,ocs_eps_pruned,1.036
50,ocs_eps_global_ksp,2.368
50,pure_ocs_ksp,1.155
50,eps_ecmp,0.985
50,ocs_eps_large_small,1.134
50,pure_ocs_ksp_greedy,1.080
50,ocs_eps_preset_greedy,0.986
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_3hop_preset,1.004
50,pure_ocs_pruned,1.004
50,ocs_eps_pruned,0.987
51,ocs_eps_global_ksp,2.125
51,pure_ocs_ksp,1.198
51,eps_ecmp,0.962
51,ocs_eps_large_small,1.098
51,pure_ocs_ksp_greedy,1.002
51,ocs_eps_preset_greedy,0.980
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_3hop_preset,0.974
51,pure_ocs_pruned,0.974
51,ocs_eps_pruned,1.025
