seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.847
42,pure_ocs_ksp,1.051
42,eps_ecmp,1.037
42,ocs_eps_large_small,1.129
42,pure_ocs_ksp_greedy,0.983
42,ocs_eps_preset_greedy,1.024
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_3hop_preset,0.945
42,pure_ocs_pruned,0.945
42,ocs_eps_pruned,1.036
43,ocs_eps_global_ksp,1.877
43,pure_ocs_ksp,1.106
43,eps_ecmp,1.112
43,ocs_eps_large_small,1.044
43,pure_ocs_ksp_greedy,0.944
43,ocs_eps_preset_greedy,1.151
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_3hop_preset,0.969
43,pure_ocs_pruned,0.969
43,ocs_eps_pruned,1.074
44,ocs_eps_global_ksp,1.814
44,pure_ocs_ksp,1.052
44,eps_ecmp,1.182
44,ocs_eps_large_small,1.028
44,pure_ocs_ksp_greedy,1.052
44,ocs_eps_preset_greedy,0.953
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_3hop_preset,1.101
44,pure_ocs_pruned,1.101
44,ocs_eps_pruned,1.011
45,ocs_eps_global_ksp,2.148
45,pure_ocs_ksp,0.996
45,eps_ecmp,1.220
45,ocs_eps_large_small,0.918
45,pure_ocs_ksp_greedy,0.968
45,ocs_eps_preset_greedy,0.873
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_3hop_preset,0.912
45,pure_ocs_pruned,0.912
45,ocs_eps_pruned,0.883
46,ocs_eps_global_ksp,2.051
46,pure_ocs_ksp,1.021
46,eps_ecmp,1.014
46,ocs_eps_large_small,0.861
46,pure_ocs_ksp_greedy,0.973
46,ocs_eps_preset_greedy,0.890
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_3hop_preset,0.932
46,pure_ocs_pruned,0.932
46,ocs_eps_pruned,0.927
47,ocs_eps_global_ksp,1.882
47,pure_ocs_ksp,1.028
47,eps_ecmp,1.280
47,ocs_eps_large_small,1.099
47,pure_ocs_ksp_greedy,1.020
47,ocs_eps_preset_greedy,1.231
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_3hop_preset,1.012
47,pure_ocs_pruned,1.012
47,ocs_eps_pruned,0.995
48,ocs_eps_global_ksp,2.126
48,pure_ocs_ksp,1.154
48,eps_ecmp,1.175
48,ocs_eps_large_small,1.093
48,pure_ocs_ksp_greedy,1.080
48,ocs_eps_preset_greedy,1.016
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_3hop_preset,1.088
48,pure_ocs_pruned,1.088
48,ocs_eps_pruned,1.050
49,ocs_eps_global_ksp,1.923
49,pure_ocs_ksp,1.145
49,eps_ecmp,1.185
49,ocs_eps_large_small,1.042
49,pure_ocs_ksp_greedy,1.152
49,ocs_eps_preset_greedy,1.051
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_3hop_preset,0.989
49,pure_ocs_pruned,0.989
49,ocs_eps_pruned,1.000
50,ocs_eps_global_ksp,2.157
50,pure_ocs_ksp,1.027
50,eps_ecmp,1.144
50,ocs_eps_large_small,1.040
50,pure_ocs_ksp_greedy,1.008
50,ocs_eps_preset_greedy,1.010
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_3hop_preset,1.034
50,pure_ocs_pruned,1.034
50,ocs_eps_pruned,1.046
51,ocs_eps_global_ksp,1.969
51,pure_ocs_ksp,0.983
51,eps_ecmp,1.132
51,ocs_eps_large_small,1.072
51,pure_ocs_ksp_greedy,0.873
51,ocs_eps_preset_greedy,0.986
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_3hop_preset,0.910
51,pure_ocs_pruned,0.910
51,ocs_eps_pruned,1.103
