scheduler,bytes,fct_ms,num_flows_in_bin
eps_ecmp,100.000000,0.007364,112
eps_ecmp,1000.000000,0.007742,136
eps_ecmp,10000.000000,0.053547,96
eps_ecmp,20000.000000,0.128278,352
eps_ecmp,30000.000000,0.172260,96
eps_ecmp,100000.000000,0.644290,568
eps_ecmp,200000.000000,1.395592,944
eps_ecmp,300000.000000,2.228394,936
eps_ecmp,400000.000000,2.982972,1200
eps_ecmp,800000.000000,43.462783,3720
eps_ecmp,1000000.000000,51.250359,2344
eps_ecmp,2000000.000000,66.978059,7600
eps_ecmp,3000000.000000,87.540851,4792
eps_ecmp,10000000.000000,113.509438,8400
eps_ecmp,20000000.000000,128.393879,5632
eps_ecmp,30000000.000000,134.484102,2496
eps_ecmp,100000000.000000,190.460551,1536
ocs_eps_global_ksp,100.000000,0.011922,112
ocs_eps_global_ksp,1000.000000,0.015537,136
ocs_eps_global_ksp,10000.000000,0.078899,96
ocs_eps_global_ksp,20000.000000,0.191490,352
ocs_eps_global_ksp,30000.000000,0.274513,96
ocs_eps_global_ksp,100000.000000,0.824609,568
ocs_eps_global_ksp,200000.000000,1.714889,944
ocs_eps_global_ksp,300000.000000,2.457867,936
ocs_eps_global_ksp,400000.000000,4.219202,1200
ocs_eps_global_ksp,800000.000000,41.648663,3720
ocs_eps_global_ksp,1000000.000000,48.999302,2344
ocs_eps_global_ksp,2000000.000000,69.711820,7600
ocs_eps_global_ksp,3000000.000000,92.802382,4792
ocs_eps_global_ksp,10000000.000000,159.079825,8400
ocs_eps_global_ksp,20000000.000000,231.439357,5632
ocs_eps_global_ksp,30000000.000000,283.497055,2496
ocs_eps_global_ksp,100000000.000000,427.494584,1536
ocs_eps_large_small,100.000000,0.014202,112
ocs_eps_large_small,1000.000000,0.010388,136
ocs_eps_large_small,10000.000000,0.100809,96
ocs_eps_large_small,20000.000000,0.233860,352
ocs_eps_large_small,30000.000000,0.262244,96
ocs_eps_large_small,100000.000000,0.992146,568
ocs_eps_large_small,200000.000000,1.743767,944
ocs_eps_large_small,300000.000000,2.828412,936
ocs_eps_large_small,400000.000000,34.184876,1200
ocs_eps_large_small,800000.000000,53.039677,3720
ocs_eps_large_small,1000000.000000,57.599252,2344
ocs_eps_large_small,2000000.000000,70.080881,7600
ocs_eps_large_small,3000000.000000,90.922674,4792
ocs_eps_large_small,10000000.000000,120.734923,8400
ocs_eps_large_small,20000000.000000,143.639331,5632
ocs_eps_large_small,30000000.000000,175.109240,2496
ocs_eps_large_small,100000000.000000,277.885231,1536
ocs_eps_preset_dynamic_greedy,100.000000,0.010433,112
ocs_eps_preset_dynamic_greedy,1000.000000,0.011358,136
ocs_eps_preset_dynamic_greedy,10000.000000,0.077731,96
ocs_eps_preset_dynamic_greedy,20000.000000,0.135557,352
ocs_eps_preset_dynamic_greedy,30000.000000,0.208120,96
ocs_eps_preset_dynamic_greedy,100000.000000,0.715573,568
ocs_eps_preset_dynamic_greedy,200000.000000,1.457661,944
ocs_eps_preset_dynamic_greedy,300000.000000,2.266032,936
ocs_eps_preset_dynamic_greedy,400000.000000,2.876625,1200
ocs_eps_preset_dynamic_greedy,800000.000000,33.956523,3720
ocs_eps_preset_dynamic_greedy,1000000.000000,41.597810,2344
ocs_eps_preset_dynamic_greedy,2000000.000000,57.270645,7600
ocs_eps_preset_dynamic_greedy,3000000.000000,69.782072,4792
ocs_eps_preset_dynamic_greedy,10000000.000000,119.049770,8400
ocs_eps_preset_dynamic_greedy,20000000.000000,142.519701,5632
ocs_eps_preset_dynamic_greedy,30000000.000000,181.238380,2496
ocs_eps_preset_dynamic_greedy,100000000.000000,254.190812,1536
ocs_eps_preset_greedy,100.000000,0.011281,112
ocs_eps_preset_greedy,1000.000000,0.011435,136
ocs_eps_preset_greedy,10000.000000,0.078984,96
ocs_eps_preset_greedy,20000.000000,0.146416,352
ocs_eps_preset_greedy,30000.000000,0.226586,96
ocs_eps_preset_greedy,100000.000000,0.746495,568
ocs_eps_preset_greedy,200000.000000,1.520925,944
ocs_eps_preset_greedy,300000.000000,2.230312,936
ocs_eps_preset_greedy,400000.000000,2.978353,1200
ocs_eps_preset_greedy,800000.000000,34.890709,3720
ocs_eps_preset_greedy,1000000.000000,40.607850,2344
ocs_eps_preset_greedy,2000000.000000,56.915424,7600
ocs_eps_preset_greedy,3000000.000000,68.899280,4792
ocs_eps_preset_greedy,10000000.000000,120.456620,8400
ocs_eps_preset_greedy,20000000.000000,154.055663,5632
ocs_eps_preset_greedy,30000000.000000,185.820118,2496
ocs_eps_preset_greedy,100000000.000000,257.001517,1536
ocs_eps_pruned,100.000000,0.009900,112
ocs_eps_pruned,1000.000000,0.010527,136
ocs_eps_pruned,10000.000000,0.077535,96
ocs_eps_pruned,20000.000000,0.139684,352
ocs_eps_pruned,30000.000000,0.178299,96
ocs_eps_pruned,100000.000000,0.744234,568
ocs_eps_pruned,200000.000000,1.498578,944
ocs_eps_pruned,300000.000000,2.262007,936
ocs_eps_pruned,400000.000000,2.964511,1200
ocs_eps_pruned,800000.000000,33.497889,3720
ocs_eps_pruned,1000000.000000,39.405074,2344
