model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
S1,S,32,4,32,18,0.500000,"[2,15,16,17,20,21,22,24,29,33,56,57,58,60,61,64,72,76]","[182,615,271,199]|[183,614,134,140]|[127,461,239,486]|[22,495,471,23]|[142,455,454,175]|[126,174,487,463]|[494,583,519,167]|[135,462,143,141]"
S2,S,32,4,32,18,0.500000,"[6,15,22,29,30,32,33,34,44,47,49,52,53,68,69,70,73,74]","[422,238,430,382]|[125,279,551,599]|[270,421,181,559]|[591,383,55,431]|[567,380,381,397]|[398,558,399,423]|[247,550,359,237]|[262,246,124,263]"
S3,S,32,4,32,18,0.500000,"[8,10,11,13,16,28,40,41,53,54,58,59,61,64,66,75,77,78]","[230,439,607,335]|[606,517,478,87]|[327,492,535,428]|[437,326,479,623]|[493,631,629,534]|[71,133,231,111]|[95,518,630,470]|[622,429,94,438]"
S4,S,32,4,32,18,0.500000,"[0,1,4,16,27,29,31,41,43,47,49,60,65,67,68,69,74,79]","[396,395,548,223]|[39,527,557,13]|[15,639,542,6]|[556,7,236,549]|[254,543,638,235]|[598,485,379,14]|[334,38,351,526]|[222,255,132,484]"
S5,S,32,4,32,18,0.500000,"[2,4,5,6,11,14,15,26,28,36,39,40,41,45,51,66,68,78]","[37,319,325,21]|[47,366,228,93]|[123,36,333,229]|[215,628,627,546]|[119,213,626,295]|[332,294,547,367]|[533,214,54,415]|[532,324,118,331]"
S6,S,32,4,32,18,0.500000,"[1,5,11,14,28,31,32,39,42,46,50,52,55,59,62,66,69,75]","[446,318,46,260]|[227,476,604,343]|[407,92,418,530]|[116,375,342,419]|[447,406,12,317]|[251,477,252,555]|[261,117,253,531]|[503,420,605,445]"
S7,S,32,4,32,18,0.500000,"[5,12,21,35,39,40,44,50,53,54,60,61,62,63,66,72,74,76]","[436,315,581,596]|[597,172,427,595]|[501,502,612,491]|[613,405,316,323]|[482,173,357,287]|[611,45,582,483]|[358,511,490,510]|[322,529,103,404]"
S8,S,32,4,32,18,0.500000,"[1,16,23,24,25,37,39,49,50,51,53,55,61,68,72,73,75,79]","[589,313,191,443]|[394,197,579,189]|[637,413,190,198]|[303,636,489,207]|[314,602,545,11]|[580,444,196,426]|[131,403,414,393]|[301,302,590,603]"
S9,S,32,4,32,18,0.500000,"[3,5,8,10,13,15,17,18,30,31,36,39,55,58,66,69,77,78]","[442,31,28,244]|[70,621,243,85]|[312,43,249,528]|[292,121,44,110]|[245,151,624,625]|[469,139,291,441]|[554,30,250,138]|[86,29,293,122]"
S10,S,32,4,32,18,0.500000,"[2,4,5,8,11,14,30,34,40,47,50,55,59,60,67,70,73,74]","[114,67,20,113]|[585,566,90,586]|[587,481,89,402]|[541,377,321,320]|[42,378,68,69]|[91,440,277,34]|[278,594,588,19]|[475,35,242,115]"
