seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.957
42,pure_ocs_ksp,1.136
42,eps_ecmp,0.896
42,ocs_eps_large_small,0.998
42,pure_ocs_ksp_greedy,1.058
42,ocs_eps_preset_greedy,1.016
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_3hop_preset,0.991
42,pure_ocs_pruned,0.991
42,ocs_eps_pruned,0.960
43,ocs_eps_global_ksp,2.189
43,pure_ocs_ksp,1.193
43,eps_ecmp,0.887
43,ocs_eps_large_small,1.118
43,pure_ocs_ksp_greedy,1.144
43,ocs_eps_preset_greedy,1.073
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_3hop_preset,1.020
43,pure_ocs_pruned,1.020
43,ocs_eps_pruned,0.981
44,ocs_eps_global_ksp,2.275
44,pure_ocs_ksp,1.326
44,eps_ecmp,0.969
44,ocs_eps_large_small,1.174
44,pure_ocs_ksp_greedy,1.168
44,ocs_eps_preset_greedy,1.163
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_3hop_preset,1.134
44,pure_ocs_pruned,1.134
44,ocs_eps_pruned,1.153
45,ocs_eps_global_ksp,1.990
45,pure_ocs_ksp,1.210
45,eps_ecmp,0.903
45,ocs_eps_large_small,1.156
45,pure_ocs_ksp_greedy,1.142
45,ocs_eps_preset_greedy,1.022
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_3hop_preset,1.031
45,pure_ocs_pruned,1.031
45,ocs_eps_pruned,1.006
46,ocs_eps_global_ksp,1.787
46,pure_ocs_ksp,1.110
46,eps_ecmp,0.917
46,ocs_eps_large_small,1.052
46,pure_ocs_ksp_greedy,1.028
46,ocs_eps_preset_greedy,1.015
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_3hop_preset,0.986
46,pure_ocs_pruned,0.986
46,ocs_eps_pruned,1.011
47,ocs_eps_global_ksp,2.157
47,pure_ocs_ksp,1.187
47,eps_ecmp,0.900
47,ocs_eps_large_small,1.177
47,pure_ocs_ksp_greedy,1.134
47,ocs_eps_preset_greedy,0.985
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_3hop_preset,1.042
47,pure_ocs_pruned,1.042
47,ocs_eps_pruned,0.997
48,ocs_eps_global_ksp,2.276
48,pure_ocs_ksp,1.156
48,eps_ecmp,0.947
48,ocs_eps_large_small,1.213
48,pure_ocs_ksp_greedy,1.179
48,ocs_eps_preset_greedy,1.071
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_3hop_preset,1.041
48,pure_ocs_pruned,1.041
48,ocs_eps_pruned,1.025
49,ocs_eps_global_ksp,1.962
49,pure_ocs_ksp,1.181
49,eps_ecmp,0.919
49,ocs_eps_large_small,1.166
49,pure_ocs_ksp_greedy,1.084
49,ocs_eps_preset_greedy,1.055
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_3hop_preset,1.018
49,pure_ocs_pruned,1.018
49,ocs_eps_pruned,0.954
50,ocs_eps_global_ksp,2.058
50,pure_ocs_ksp,1.223
50,eps_ecmp,0.816
50,ocs_eps_large_small,1.109
50,pure_ocs_ksp_greedy,1.125
50,ocs_eps_preset_greedy,1.044
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_3hop_preset,1.067
50,pure_ocs_pruned,1.067
50,ocs_eps_pruned,1.001
51,ocs_eps_global_ksp,2.100
51,pure_ocs_ksp,1.233
51,eps_ecmp,0.970
51,ocs_eps_large_small,1.123
51,pure_ocs_ksp_greedy,1.131
51,ocs_eps_preset_greedy,1.033
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_3hop_preset,1.052
51,pure_ocs_pruned,1.052
51,ocs_eps_pruned,0.994
