scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,1742.880122,1.781906,1742.880122,1.781906,80,0
pure_ocs_ksp,100.000000,1075.881115,1.099972,1075.881115,1.099972,80,0
eps_ecmp,100.000000,927.096230,0.947855,927.096230,0.947855,80,0
ocs_eps_large_small,100.000000,1020.555409,1.043407,1020.555409,1.043407,80,0
pure_ocs_ksp_greedy,100.000000,1034.025937,1.057179,1034.025937,1.057179,80,0
ocs_eps_preset_greedy,100.000000,1011.915390,1.034574,1011.915390,1.034574,80,0
ocs_eps_preset_dynamic_greedy,100.000000,978.098913,1.000000,978.098913,1.000000,80,0
pure_ocs_3hop_preset,100.000000,952.872790,0.974209,952.872790,0.974209,80,0
pure_ocs_pruned,100.000000,952.872790,0.974209,952.872790,0.974209,80,0
ocs_eps_pruned,100.000000,882.526227,0.902287,882.526227,0.902287,80,0
