scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,99.000000,3142.050217,1.406318,3142.050217,1.406318,80,0
pure_ocs_ksp,99.000000,2131.080099,0.953828,2131.080099,0.953828,80,0
eps_ecmp,99.000000,2308.946663,1.033438,2308.946663,1.033438,80,0
ocs_eps_large_small,99.000000,2397.365794,1.073012,2397.365794,1.073012,80,0
pure_ocs_ksp_greedy,99.000000,2284.167379,1.022347,2284.167379,1.022347,80,0
ocs_eps_preset_greedy,99.000000,2213.936434,0.990913,2213.936434,0.990913,80,0
ocs_eps_preset_dynamic_greedy,99.000000,2234.239129,1.000000,2234.239129,1.000000,80,0
pure_ocs_3hop_preset,99.000000,2274.136131,1.017857,2274.136131,1.017857,80,0
pure_ocs_pruned,99.000000,2274.136131,1.017857,2274.136131,1.017857,80,0
ocs_eps_pruned,99.000000,2138.315470,0.957067,2138.315470,0.957067,80,0
