case_base,seed,scheduler,avg_relative_cct_vs_dynamic
mix10L,42,ocs_eps_global_ksp,2.108
mix10L,42,pure_ocs_ksp,0.983
mix10L,42,eps_ecmp,1.037
mix10L,42,ocs_eps_large_small,1.033
mix10L,42,pure_ocs_ksp_greedy,1.079
mix10L,42,ocs_eps_preset_greedy,1.059
mix10L,42,ocs_eps_preset_dynamic_greedy,1.000
mix10L,42,pure_ocs_3hop_preset,0.890
mix10L,42,pure_ocs_pruned,0.890
mix10L,42,ocs_eps_pruned,1.171
mix10L,43,ocs_eps_global_ksp,2.076
mix10L,43,pure_ocs_ksp,1.355
mix10L,43,eps_ecmp,1.356
mix10L,43,ocs_eps_large_small,1.349
mix10L,43,pure_ocs_ksp_greedy,1.020
mix10L,43,ocs_eps_preset_greedy,1.333
mix10L,43,ocs_eps_preset_dynamic_greedy,1.000
mix10L,43,pure_ocs_3hop_preset,0.983
mix10L,43,pure_ocs_pruned,0.983
mix10L,43,ocs_eps_pruned,1.137
mix10L,44,ocs_eps_global_ksp,1.256
mix10L,44,pure_ocs_ksp,1.206
mix10L,44,eps_ecmp,1.041
mix10L,44,ocs_eps_large_small,0.727
mix10L,44,pure_ocs_ksp_greedy,0.835
mix10L,44,ocs_eps_preset_greedy,0.918
mix10L,44,ocs_eps_preset_dynamic_greedy,1.000
mix10L,44,pure_ocs_3hop_preset,0.846
mix10L,44,pure_ocs_pruned,0.846
mix10L,44,ocs_eps_pruned,0.786
mix10L,45,ocs_eps_global_ksp,2.076
mix10L,45,pure_ocs_ksp,1.059
mix10L,45,eps_ecmp,1.182
mix10L,45,ocs_eps_large_small,1.001
mix10L,45,pure_ocs_ksp_greedy,0.962
mix10L,45,ocs_eps_preset_greedy,1.054
mix10L,45,ocs_eps_preset_dynamic_greedy,1.000
mix10L,45,pure_ocs_3hop_preset,0.899
mix10L,45,pure_ocs_pruned,0.899
mix10L,45,ocs_eps_pruned,1.044
mix10L,46,ocs_eps_global_ksp,2.201
mix10L,46,pure_ocs_ksp,1.034
mix10L,46,eps_ecmp,1.137
mix10L,46,ocs_eps_large_small,1.011
mix10L,46,pure_ocs_ksp_greedy,1.217
mix10L,46,ocs_eps_preset_greedy,0.986
mix10L,46,ocs_eps_preset_dynamic_greedy,1.000
mix10L,46,pure_ocs_3hop_preset,1.115
mix10L,46,pure_ocs_pruned,1.115
mix10L,46,ocs_eps_pruned,1.246
mix10L,47,ocs_eps_global_ksp,1.679
mix10L,47,pure_ocs_ksp,0.940
mix10L,47,eps_ecmp,1.121
mix10L,47,ocs_eps_large_small,1.087
mix10L,47,pure_ocs_ksp_greedy,1.127
mix10L,47,ocs_eps_preset_greedy,1.177
mix10L,47,ocs_eps_preset_dynamic_greedy,1.000
mix10L,47,pure_ocs_3hop_preset,1.165
mix10L,47,pure_ocs_pruned,1.165
mix10L,47,ocs_eps_pruned,0.997
mix10L,48,ocs_eps_global_ksp,2.212
mix10L,48,pure_ocs_ksp,1.147
mix10L,48,eps_ecmp,1.318
mix10L,48,ocs_eps_large_small,1.108
mix10L,48,pure_ocs_ksp_greedy,1.337
mix10L,48,ocs_eps_preset_greedy,1.064
mix10L,48,ocs_eps_preset_dynamic_greedy,1.000
mix10L,48,pure_ocs_3hop_preset,1.210
mix10L,48,pure_ocs_pruned,1.210
mix10L,48,ocs_eps_pruned,1.052
mix10L,49,ocs_eps_global_ksp,1.998
mix10L,49,pure_ocs_ksp,1.151
mix10L,49,eps_ecmp,1.179
mix10L,49,ocs_eps_large_small,1.060
mix10L,49,pure_ocs_ksp_greedy,1.574
mix10L,49,ocs_eps_preset_greedy,1.206
mix10L,49,ocs_eps_preset_dynamic_greedy,1.000
mix10L,49,pure_ocs_3hop_preset,1.386
mix10L,49,pure_ocs_pruned,1.386
mix10L,49,ocs_eps_pruned,0.943
mix10L,50,ocs_eps_global_ksp,1.893
mix10L,50,pure_ocs_ksp,1.184
mix10L,50,eps_ecmp,1.062
mix10L,50,ocs_eps_large_small,1.065
mix10L,50,pure_ocs_ksp_greedy,1.017
mix10L,50,ocs_eps_preset_greedy,0.836
mix10L,50,ocs_eps_preset_dynamic_greedy,1.000
mix10L,50,pure_ocs_3hop_preset,1.003
mix10L,50,pure_ocs_pruned,1.003
mix10L,50,ocs_eps_pruned,0.885
mix10L,51,ocs_eps_global_ksp,1.863
mix10L,51,pure_ocs_ksp,1.080
mix10L,51,eps_ecmp,0.982
mix10L,51,ocs_eps_large_small,1.085
mix10L,51,pure_ocs_ksp_greedy,0.865
mix10L,51,ocs_eps_preset_greedy,0.996
mix10L,51,ocs_eps_preset_dynamic_greedy,1.000
mix10L,51,pure_ocs_3hop_preset,0.872
mix10L,51,pure_ocs_pruned,0.872
mix10L,51,ocs_eps_pruned,1.216
mix20S,42,ocs_eps_global_ksp,2.234
mix20S,42,pure_ocs_ksp,1.175
mix20S,42,eps_ecmp,1.022
mix20S,42,ocs_eps_large_small,1.042
mix20S,42,pure_ocs_ksp_greedy,1.140
mix20S,42,ocs_eps_preset_greedy,1.051
mix20S,42,ocs_eps_preset_dynamic_greedy,1.000
mix20S,42,pure_ocs_3hop_preset,1.028
mix20S,42,pure_ocs_pruned,1.028
mix20S,42,ocs_eps_pruned,1.077
mix20S,43,ocs_eps_global_ksp,1.489
mix20S,43,pure_ocs_ksp,0.921
mix20S,43,eps_ecmp,1.142
mix20S,43,ocs_eps_large_small,0.954
mix20S,43,pure_ocs_ksp_greedy,0.974
mix20S,43,ocs_eps_preset_greedy,0.780
mix20S,43,ocs_eps_preset_dynamic_greedy,1.000
mix20S,43,pure_ocs_3hop_preset,0.904
mix20S,43,pure_ocs_pruned,0.904
mix20S,43,ocs_eps_pruned,0.882
mix20S,44,ocs_eps_global_ksp,2.210
mix20S,44,pure_ocs_ksp,1.260
mix20S,44,eps_ecmp,1.272
mix20S,44,ocs_eps_large_small,1.107
mix20S,44,pure_ocs_ksp_greedy,0.998
mix20S,44,ocs_eps_preset_greedy,1.127
mix20S,44,ocs_eps_preset_dynamic_greedy,1.000
mix20S,44,pure_ocs_3hop_preset,1.139
mix20S,44,pure_ocs_pruned,1.139
mix20S,44,ocs_eps_pruned,1.726
mix20S,45,ocs_eps_global_ksp,1.672
mix20S,45,pure_ocs_ksp,1.192
mix20S,45,eps_ecmp,1.078
mix20S,45,ocs_eps_large_small,1.142
mix20S,45,pure_ocs_ksp_greedy,1.049
mix20S,45,ocs_eps_preset_greedy,1.016
mix20S,45,ocs_eps_preset_dynamic_greedy,1.000
mix20S,45,pure_ocs_3hop_preset,0.977
mix20S,45,pure_ocs_pruned,0.977
mix20S,45,ocs_eps_pruned,0.940
mix20S,46,ocs_eps_global_ksp,1.280
mix20S,46,pure_ocs_ksp,0.887
mix20S,46,eps_ecmp,0.872
mix20S,46,ocs_eps_large_small,1.035
mix20S,46,pure_ocs_ksp_greedy,0.887
mix20S,46,ocs_eps_preset_greedy,0.850
mix20S,46,ocs_eps_preset_dynamic_greedy,1.000
mix20S,46,pure_ocs_3hop_preset,0.874
mix20S,46,pure_ocs_pruned,0.874
mix20S,46,ocs_eps_pruned,0.881
mix20S,47,ocs_eps_global_ksp,2.355
mix20S,47,pure_ocs_ksp,1.274
mix20S,47,eps_ecmp,1.198
mix20S,47,ocs_eps_large_small,1.317
mix20S,47,pure_ocs_ksp_greedy,1.199
mix20S,47,ocs_eps_preset_greedy,1.042
mix20S,47,ocs_eps_preset_dynamic_greedy,1.000
mix20S,47,pure_ocs_3hop_preset,1.043
mix20S,47,pure_ocs_pruned,1.043
mix20S,47,ocs_eps_pruned,1.280
mix20S,48,ocs_eps_global_ksp,2.118
mix20S,48,pure_ocs_ksp,1.186
mix20S,48,eps_ecmp,1.359
mix20S,48,ocs_eps_large_small,1.276
mix20S,48,pure_ocs_ksp_greedy,1.334
mix20S,48,ocs_eps_preset_greedy,1.181
mix20S,48,ocs_eps_preset_dynamic_greedy,1.000
mix20S,48,pure_ocs_3hop_preset,1.010
mix20S,48,pure_ocs_pruned,1.010
mix20S,48,ocs_eps_pruned,0.940
mix20S,49,ocs_eps_global_ksp,1.884
mix20S,49,pure_ocs_ksp,1.311
mix20S,49,eps_ecmp,1.077
mix20S,49,ocs_eps_large_small,1.169
mix20S,49,pure_ocs_ksp_greedy,0.908
mix20S,49,ocs_eps_preset_greedy,0.999
mix20S,49,ocs_eps_preset_dynamic_greedy,1.000
mix20S,49,pure_ocs_3hop_preset,1.030
mix20S,49,pure_ocs_pruned,1.030
mix20S,49,ocs_eps_pruned,1.021
mix20S,50,ocs_eps_global_ksp,1.689
mix20S,50,pure_ocs_ksp,1.034
mix20S,50,eps_ecmp,1.031
mix20S,50,ocs_eps_large_small,1.109
mix20S,50,pure_ocs_ksp_greedy,1.062
mix20S,50,ocs_eps_preset_greedy,0.888
mix20S,50,ocs_eps_preset_dynamic_greedy,1.000
mix20S,50,pure_ocs_3hop_preset,0.937
mix20S,50,pure_ocs_pruned,0.937
mix20S,50,ocs_eps_pruned,0.842
mix20S,51,ocs_eps_global_ksp,1.481
mix20S,51,pure_ocs_ksp,0.951
mix20S,51,eps_ecmp,1.089
mix20S,51,ocs_eps_large_small,1.018
mix20S,51,pure_ocs_ksp_greedy,0.958
mix20S,51,ocs_eps_preset_greedy,0.910
mix20S,51,ocs_eps_preset_dynamic_greedy,1.000
mix20S,51,pure_ocs_3hop_preset,0.965
mix20S,51,pure_ocs_pruned,0.965
mix20S,51,ocs_eps_pruned,0.962
mix4L3M3S,42,ocs_eps_global_ksp,1.504
mix4L3M3S,42,pure_ocs_ksp,1.258
mix4L3M3S,42,eps_ecmp,1.033
mix4L3M3S,42,ocs_eps_large_small,1.162
mix4L3M3S,42,pure_ocs_ksp_greedy,1.304
mix4L3M3S,42,ocs_eps_preset_greedy,1.276
mix4L3M3S,42,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,42,pure_ocs_3hop_preset,1.058
mix4L3M3S,42,pure_ocs_pruned,1.058
mix4L3M3S,42,ocs_eps_pruned,1.144
mix4L3M3S,43,ocs_eps_global_ksp,1.560
mix4L3M3S,43,pure_ocs_ksp,1.086
mix4L3M3S,43,eps_ecmp,1.162
mix4L3M3S,43,ocs_eps_large_small,1.033
mix4L3M3S,43,pure_ocs_ksp_greedy,1.102
mix4L3M3S,43,ocs_eps_preset_greedy,0.936
mix4L3M3S,43,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,43,pure_ocs_3hop_preset,1.113
mix4L3M3S,43,pure_ocs_pruned,1.113
mix4L3M3S,43,ocs_eps_pruned,1.147
mix4L3M3S,44,ocs_eps_global_ksp,1.588
mix4L3M3S,44,pure_ocs_ksp,0.897
mix4L3M3S,44,eps_ecmp,0.894
mix4L3M3S,44,ocs_eps_large_small,1.000
mix4L3M3S,44,pure_ocs_ksp_greedy,0.922
mix4L3M3S,44,ocs_eps_preset_greedy,0.839
mix4L3M3S,44,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,44,pure_ocs_3hop_preset,0.810
mix4L3M3S,44,pure_ocs_pruned,0.810
mix4L3M3S,44,ocs_eps_pruned,1.019
mix4L3M3S,45,ocs_eps_global_ksp,1.406
mix4L3M3S,45,pure_ocs_ksp,0.954
mix4L3M3S,45,eps_ecmp,1.033
mix4L3M3S,45,ocs_eps_large_small,1.073
mix4L3M3S,45,pure_ocs_ksp_greedy,1.022
mix4L3M3S,45,ocs_eps_preset_greedy,0.991
mix4L3M3S,45,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,45,pure_ocs_3hop_preset,1.018
mix4L3M3S,45,pure_ocs_pruned,1.018
mix4L3M3S,45,ocs_eps_pruned,0.957
mix4L3M3S,46,ocs_eps_global_ksp,1.555
mix4L3M3S,46,pure_ocs_ksp,1.076
mix4L3M3S,46,eps_ecmp,1.178
mix4L3M3S,46,ocs_eps_large_small,1.081
mix4L3M3S,46,pure_ocs_ksp_greedy,0.887
mix4L3M3S,46,ocs_eps_preset_greedy,1.139
mix4L3M3S,46,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,46,pure_ocs_3hop_preset,1.389
mix4L3M3S,46,pure_ocs_pruned,1.389
mix4L3M3S,46,ocs_eps_pruned,1.106
mix4L3M3S,47,ocs_eps_global_ksp,1.833
mix4L3M3S,47,pure_ocs_ksp,1.139
mix4L3M3S,47,eps_ecmp,1.311
mix4L3M3S,47,ocs_eps_large_small,0.984
mix4L3M3S,47,pure_ocs_ksp_greedy,1.067
mix4L3M3S,47,ocs_eps_preset_greedy,1.078
mix4L3M3S,47,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,47,pure_ocs_3hop_preset,1.105
mix4L3M3S,47,pure_ocs_pruned,1.105
mix4L3M3S,47,ocs_eps_pruned,0.980
mix4L3M3S,48,ocs_eps_global_ksp,1.647
mix4L3M3S,48,pure_ocs_ksp,0.784
mix4L3M3S,48,eps_ecmp,0.953
mix4L3M3S,48,ocs_eps_large_small,0.830
mix4L3M3S,48,pure_ocs_ksp_greedy,0.834
mix4L3M3S,48,ocs_eps_preset_greedy,0.751
mix4L3M3S,48,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,48,pure_ocs_3hop_preset,0.763
mix4L3M3S,48,pure_ocs_pruned,0.763
mix4L3M3S,48,ocs_eps_pruned,0.874
mix4L3M3S,49,ocs_eps_global_ksp,1.208
mix4L3M3S,49,pure_ocs_ksp,1.130
mix4L3M3S,49,eps_ecmp,0.956
mix4L3M3S,49,ocs_eps_large_small,0.919
mix4L3M3S,49,pure_ocs_ksp_greedy,0.988
mix4L3M3S,49,ocs_eps_preset_greedy,1.319
mix4L3M3S,49,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,49,pure_ocs_3hop_preset,1.025
mix4L3M3S,49,pure_ocs_pruned,1.025
mix4L3M3S,49,ocs_eps_pruned,0.900
mix4L3M3S,50,ocs_eps_global_ksp,1.921
mix4L3M3S,50,pure_ocs_ksp,1.078
mix4L3M3S,50,eps_ecmp,1.284
mix4L3M3S,50,ocs_eps_large_small,1.200
mix4L3M3S,50,pure_ocs_ksp_greedy,1.044
mix4L3M3S,50,ocs_eps_preset_greedy,0.965
mix4L3M3S,50,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,50,pure_ocs_3hop_preset,0.980
mix4L3M3S,50,pure_ocs_pruned,0.980
mix4L3M3S,50,ocs_eps_pruned,1.098
mix4L3M3S,51,ocs_eps_global_ksp,1.583
mix4L3M3S,51,pure_ocs_ksp,1.074
mix4L3M3S,51,eps_ecmp,0.855
mix4L3M3S,51,ocs_eps_large_small,0.871
mix4L3M3S,51,pure_ocs_ksp_greedy,0.892
mix4L3M3S,51,ocs_eps_preset_greedy,0.830
mix4L3M3S,51,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,51,pure_ocs_3hop_preset,0.900
mix4L3M3S,51,pure_ocs_pruned,0.900
mix4L3M3S,51,ocs_eps_pruned,0.966
