case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
mix10L,ocs_eps_global_ksp,10,1.936,0.275
mix10L,pure_ocs_ksp,10,1.114,0.115
mix10L,eps_ecmp,10,1.141,0.116
mix10L,ocs_eps_large_small,10,1.053,0.143
mix10L,pure_ocs_ksp_greedy,10,1.103,0.213
mix10L,ocs_eps_preset_greedy,10,1.063,0.138
mix10L,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
mix10L,pure_ocs_3hop_preset,10,1.037,0.168
mix10L,pure_ocs_pruned,10,1.037,0.168
mix10L,ocs_eps_pruned,10,1.048,0.141
mix20S,ocs_eps_global_ksp,10,1.841,0.354
mix20S,pure_ocs_ksp,10,1.119,0.149
mix20S,eps_ecmp,10,1.114,0.130
mix20S,ocs_eps_large_small,10,1.117,0.108
mix20S,pure_ocs_ksp_greedy,10,1.051,0.132
mix20S,ocs_eps_preset_greedy,10,0.984,0.119
mix20S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
mix20S,pure_ocs_3hop_preset,10,0.991,0.073
mix20S,pure_ocs_pruned,10,0.991,0.073
mix20S,ocs_eps_pruned,10,1.055,0.254
mix4L3M3S,ocs_eps_global_ksp,10,1.581,0.190
mix4L3M3S,pure_ocs_ksp,10,1.048,0.128
mix4L3M3S,eps_ecmp,10,1.066,0.152
mix4L3M3S,ocs_eps_large_small,10,1.015,0.114
mix4L3M3S,pure_ocs_ksp_greedy,10,1.006,0.129
mix4L3M3S,ocs_eps_preset_greedy,10,1.012,0.180
mix4L3M3S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
mix4L3M3S,pure_ocs_3hop_preset,10,1.016,0.167
mix4L3M3S,pure_ocs_pruned,10,1.016,0.167
mix4L3M3S,ocs_eps_pruned,10,1.019,0.094
