case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
spread0ms,ocs_eps_global_ksp,10,2.622,0.332
spread0ms,pure_ocs_ksp,10,1.340,0.230
spread0ms,eps_ecmp,10,0.761,0.258
spread0ms,ocs_eps_large_small,10,1.377,0.406
spread0ms,pure_ocs_ksp_greedy,10,1.114,0.195
spread0ms,ocs_eps_preset_greedy,10,1.001,0.175
spread0ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread0ms,pure_ocs_3hop_preset,10,1.114,0.177
spread0ms,pure_ocs_pruned,10,1.114,0.177
spread0ms,ocs_eps_pruned,10,0.944,0.204
spread100ms,ocs_eps_global_ksp,10,1.584,0.325
spread100ms,pure_ocs_ksp,10,1.110,0.288
spread100ms,eps_ecmp,10,1.140,0.237
spread100ms,ocs_eps_large_small,10,1.051,0.251
spread100ms,pure_ocs_ksp_greedy,10,1.037,0.200
spread100ms,ocs_eps_preset_greedy,10,1.044,0.259
spread100ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread100ms,pure_ocs_3hop_preset,10,1.078,0.266
spread100ms,pure_ocs_pruned,10,1.078,0.266
spread100ms,ocs_eps_pruned,10,1.042,0.170
spread25ms,ocs_eps_global_ksp,10,2.618,0.737
spread25ms,pure_ocs_ksp,10,1.246,0.272
spread25ms,eps_ecmp,10,1.046,0.242
spread25ms,ocs_eps_large_small,10,1.261,0.321
spread25ms,pure_ocs_ksp_greedy,10,1.254,0.296
spread25ms,ocs_eps_preset_greedy,10,1.020,0.150
spread25ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread25ms,pure_ocs_3hop_preset,10,1.154,0.213
spread25ms,pure_ocs_pruned,10,1.154,0.213
spread25ms,ocs_eps_pruned,10,1.113,0.248
spread50ms,ocs_eps_global_ksp,10,1.995,0.372
spread50ms,pure_ocs_ksp,10,1.102,0.182
spread50ms,eps_ecmp,10,1.155,0.239
spread50ms,ocs_eps_large_small,10,1.328,0.357
spread50ms,pure_ocs_ksp_greedy,10,0.962,0.094
spread50ms,ocs_eps_preset_greedy,10,0.989,0.165
spread50ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread50ms,pure_ocs_3hop_preset,10,1.030,0.209
spread50ms,pure_ocs_pruned,10,1.030,0.209
spread50ms,ocs_eps_pruned,10,1.009,0.277
spread75ms,ocs_eps_global_ksp,10,1.556,0.445
spread75ms,pure_ocs_ksp,10,1.006,0.259
spread75ms,eps_ecmp,10,0.976,0.276
spread75ms,ocs_eps_large_small,10,1.002,0.423
spread75ms,pure_ocs_ksp_greedy,10,0.935,0.208
spread75ms,ocs_eps_preset_greedy,10,0.869,0.182
spread75ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread75ms,pure_ocs_3hop_preset,10,0.882,0.200
spread75ms,pure_ocs_pruned,10,0.882,0.200
spread75ms,ocs_eps_pruned,10,0.856,0.172
