case_base,seed,scheduler,avg_relative_cct_vs_dynamic
spread0ms,42,ocs_eps_global_ksp,2.755
spread0ms,42,pure_ocs_ksp,1.255
spread0ms,42,eps_ecmp,0.701
spread0ms,42,ocs_eps_large_small,1.248
spread0ms,42,pure_ocs_ksp_greedy,1.268
spread0ms,42,ocs_eps_preset_greedy,0.964
spread0ms,42,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,42,pure_ocs_3hop_preset,1.021
spread0ms,42,pure_ocs_pruned,1.021
spread0ms,42,ocs_eps_pruned,0.890
spread0ms,43,ocs_eps_global_ksp,2.831
spread0ms,43,pure_ocs_ksp,1.386
spread0ms,43,eps_ecmp,0.653
spread0ms,43,ocs_eps_large_small,1.243
spread0ms,43,pure_ocs_ksp_greedy,1.219
spread0ms,43,ocs_eps_preset_greedy,1.076
spread0ms,43,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,43,pure_ocs_3hop_preset,1.251
spread0ms,43,pure_ocs_pruned,1.251
spread0ms,43,ocs_eps_pruned,1.011
spread0ms,44,ocs_eps_global_ksp,2.406
spread0ms,44,pure_ocs_ksp,1.318
spread0ms,44,eps_ecmp,0.832
spread0ms,44,ocs_eps_large_small,1.084
spread0ms,44,pure_ocs_ksp_greedy,1.140
spread0ms,44,ocs_eps_preset_greedy,0.948
spread0ms,44,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,44,pure_ocs_3hop_preset,0.832
spread0ms,44,pure_ocs_pruned,0.832
spread0ms,44,ocs_eps_pruned,0.927
spread0ms,45,ocs_eps_global_ksp,2.615
spread0ms,45,pure_ocs_ksp,1.188
spread0ms,45,eps_ecmp,0.565
spread0ms,45,ocs_eps_large_small,1.327
spread0ms,45,pure_ocs_ksp_greedy,1.026
spread0ms,45,ocs_eps_preset_greedy,1.057
spread0ms,45,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,45,pure_ocs_3hop_preset,1.399
spread0ms,45,pure_ocs_pruned,1.399
spread0ms,45,ocs_eps_pruned,0.745
spread0ms,46,ocs_eps_global_ksp,2.863
spread0ms,46,pure_ocs_ksp,1.599
spread0ms,46,eps_ecmp,0.759
spread0ms,46,ocs_eps_large_small,1.306
spread0ms,46,pure_ocs_ksp_greedy,1.184
spread0ms,46,ocs_eps_preset_greedy,1.069
spread0ms,46,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,46,pure_ocs_3hop_preset,1.262
spread0ms,46,pure_ocs_pruned,1.262
spread0ms,46,ocs_eps_pruned,1.078
spread0ms,47,ocs_eps_global_ksp,3.055
spread0ms,47,pure_ocs_ksp,1.633
spread0ms,47,eps_ecmp,0.660
spread0ms,47,ocs_eps_large_small,1.212
spread0ms,47,pure_ocs_ksp_greedy,1.157
spread0ms,47,ocs_eps_preset_greedy,1.172
spread0ms,47,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,47,pure_ocs_3hop_preset,1.240
spread0ms,47,pure_ocs_pruned,1.240
spread0ms,47,ocs_eps_pruned,0.951
spread0ms,48,ocs_eps_global_ksp,2.925
spread0ms,48,pure_ocs_ksp,1.273
spread0ms,48,eps_ecmp,0.708
spread0ms,48,ocs_eps_large_small,1.461
spread0ms,48,pure_ocs_ksp_greedy,1.204
spread0ms,48,ocs_eps_preset_greedy,1.110
spread0ms,48,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,48,pure_ocs_3hop_preset,1.180
spread0ms,48,pure_ocs_pruned,1.180
spread0ms,48,ocs_eps_pruned,1.024
spread0ms,49,ocs_eps_global_ksp,2.664
spread0ms,49,pure_ocs_ksp,1.569
spread0ms,49,eps_ecmp,0.584
spread0ms,49,ocs_eps_large_small,1.196
spread0ms,49,pure_ocs_ksp_greedy,1.029
spread0ms,49,ocs_eps_preset_greedy,0.862
spread0ms,49,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,49,pure_ocs_3hop_preset,0.933
spread0ms,49,pure_ocs_pruned,0.933
spread0ms,49,ocs_eps_pruned,0.928
spread0ms,50,ocs_eps_global_ksp,2.947
spread0ms,50,pure_ocs_ksp,1.297
spread0ms,50,eps_ecmp,1.210
spread0ms,50,ocs_eps_large_small,1.591
spread0ms,50,pure_ocs_ksp_greedy,1.385
spread0ms,50,ocs_eps_preset_greedy,1.300
spread0ms,50,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,50,pure_ocs_3hop_preset,1.255
spread0ms,50,pure_ocs_pruned,1.255
spread0ms,50,ocs_eps_pruned,1.093
spread0ms,51,ocs_eps_global_ksp,2.072
spread0ms,51,pure_ocs_ksp,1.119
spread0ms,51,eps_ecmp,0.690
spread0ms,51,ocs_eps_large_small,1.203
spread0ms,51,pure_ocs_ksp_greedy,1.009
spread0ms,51,ocs_eps_preset_greedy,1.049
spread0ms,51,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,51,pure_ocs_3hop_preset,1.147
spread0ms,51,pure_ocs_pruned,1.147
spread0ms,51,ocs_eps_pruned,0.934
spread100ms,42,ocs_eps_global_ksp,1.504
spread100ms,42,pure_ocs_ksp,1.258
spread100ms,42,eps_ecmp,1.033
spread100ms,42,ocs_eps_large_small,1.162
spread100ms,42,pure_ocs_ksp_greedy,1.304
spread100ms,42,ocs_eps_preset_greedy,1.276
spread100ms,42,ocs_eps_preset_dynamic_greedy,1.000
spread100ms,42,pure_ocs_3hop_preset,1.058
spread100ms,42,pure_ocs_pruned,1.058
spread100ms,42,ocs_eps_pruned,1.144
spread100ms,43,ocs_eps_global_ksp,1.560
spread100ms,43,pure_ocs_ksp,1.086
spread100ms,43,eps_ecmp,1.162
spread100ms,43,ocs_eps_large_small,1.033
spread100ms,43,pure_ocs_ksp_greedy,1.102
spread100ms,43,ocs_eps_preset_greedy,0.936
spread100ms,43,ocs_eps_preset_dynamic_greedy,1.000
spread100ms,43,pure_ocs_3hop_preset,1.113
