case_base,scheduler,seed_count,mean_avg_solve_time_ms,std_avg_solve_time_ms
spread0ms,ocs_eps_global_ksp,10,0.000,0.000
spread0ms,pure_ocs_ksp,10,0.000,0.000
spread0ms,eps_ecmp,10,0.000,0.000
spread0ms,ocs_eps_large_small,10,0.000,0.000
spread0ms,pure_ocs_ksp_greedy,10,0.119,0.011
spread0ms,ocs_eps_preset_greedy,10,0.135,0.013
spread0ms,ocs_eps_preset_dynamic_greedy,10,0.248,0.038
spread0ms,pure_ocs_3hop_preset,10,0.587,0.141
spread0ms,pure_ocs_pruned,10,0.642,0.114
spread0ms,ocs_eps_pruned,10,0.810,0.038
spread100ms,ocs_eps_global_ksp,10,0.000,0.000
spread100ms,pure_ocs_ksp,10,0.000,0.000
spread100ms,eps_ecmp,10,0.000,0.000
spread100ms,ocs_eps_large_small,10,0.000,0.000
spread100ms,pure_ocs_ksp_greedy,10,0.080,0.004
spread100ms,ocs_eps_preset_greedy,10,0.089,0.001
spread100ms,ocs_eps_preset_dynamic_greedy,10,0.167,0.005
spread100ms,pure_ocs_3hop_preset,10,0.385,0.005
spread100ms,pure_ocs_pruned,10,0.367,0.004
spread100ms,ocs_eps_pruned,10,0.358,0.008
spread25ms,ocs_eps_global_ksp,10,0.000,0.000
spread25ms,pure_ocs_ksp,10,0.000,0.000
spread25ms,eps_ecmp,10,0.000,0.000
spread25ms,ocs_eps_large_small,10,0.000,0.000
spread25ms,pure_ocs_ksp_greedy,10,0.123,0.007
spread25ms,ocs_eps_preset_greedy,10,0.132,0.013
spread25ms,ocs_eps_preset_dynamic_greedy,10,0.238,0.030
spread25ms,pure_ocs_3hop_preset,10,0.579,0.136
spread25ms,pure_ocs_pruned,10,0.645,0.104
spread25ms,ocs_eps_pruned,10,0.751,0.130
spread50ms,ocs_eps_global_ksp,10,0.000,0.000
spread50ms,pure_ocs_ksp,10,0.000,0.000
spread50ms,eps_ecmp,10,0.000,0.000
spread50ms,ocs_eps_large_small,10,0.000,0.000
spread50ms,pure_ocs_ksp_greedy,10,0.106,0.012
spread50ms,ocs_eps_preset_greedy,10,0.109,0.001
spread50ms,ocs_eps_preset_dynamic_greedy,10,0.201,0.004
spread50ms,pure_ocs_3hop_preset,10,0.446,0.006
spread50ms,pure_ocs_pruned,10,0.625,0.138
spread50ms,ocs_eps_pruned,10,0.519,0.106
spread75ms,ocs_eps_global_ksp,10,0.000,0.000
spread75ms,pure_ocs_ksp,10,0.000,0.000
spread75ms,eps_ecmp,10,0.000,0.000
spread75ms,ocs_eps_large_small,10,0.000,0.000
spread75ms,pure_ocs_ksp_greedy,10,0.111,0.013
spread75ms,ocs_eps_preset_greedy,10,0.109,0.001
spread75ms,ocs_eps_preset_dynamic_greedy,10,0.199,0.003
spread75ms,pure_ocs_3hop_preset,10,0.445,0.007
spread75ms,pure_ocs_pruned,10,0.512,0.136
spread75ms,ocs_eps_pruned,10,0.476,0.114
