scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,1588.483250,2.871444,1588.483250,2.871444,80,0
pure_ocs_ksp,100.000000,765.412936,1.383610,765.412936,1.383610,80,0
eps_ecmp,100.000000,318.274876,0.575334,318.274876,0.575334,80,0
ocs_eps_large_small,100.000000,680.056880,1.229314,680.056880,1.229314,80,0
pure_ocs_ksp_greedy,100.000000,665.457030,1.202923,665.457030,1.202923,80,0
ocs_eps_preset_greedy,100.000000,625.248682,1.130240,625.248682,1.130240,80,0
ocs_eps_preset_dynamic_greedy,100.000000,553.200089,1.000000,553.200089,1.000000,80,0
pure_ocs_3hop_preset,100.000000,636.584548,1.150731,636.584548,1.150731,80,0
pure_ocs_pruned,100.000000,636.584548,1.150731,636.584548,1.150731,80,0
ocs_eps_pruned,100.000000,564.980664,1.021295,564.980664,1.021295,80,0
