seed,scheduler,avg_solve_time_ms
42,ocs_eps_global_ksp,0.000
42,pure_ocs_ksp,0.000
42,eps_ecmp,0.000
42,ocs_eps_large_small,0.000
42,pure_ocs_ksp_greedy,0.100
42,ocs_eps_preset_greedy,0.119
42,ocs_eps_preset_dynamic_greedy,0.278
42,pure_ocs_3hop_preset,0.444
42,pure_ocs_pruned,0.705
42,ocs_eps_pruned,0.748
43,ocs_eps_global_ksp,0.000
43,pure_ocs_ksp,0.000
43,eps_ecmp,0.000
43,ocs_eps_large_small,0.000
43,pure_ocs_ksp_greedy,0.125
43,ocs_eps_preset_greedy,0.141
43,ocs_eps_preset_dynamic_greedy,0.219
43,pure_ocs_3hop_preset,0.744
43,pure_ocs_pruned,0.647
43,ocs_eps_pruned,0.787
44,ocs_eps_global_ksp,0.000
44,pure_ocs_ksp,0.000
44,eps_ecmp,0.000
44,ocs_eps_large_small,0.000
44,pure_ocs_ksp_greedy,0.126
44,ocs_eps_preset_greedy,0.121
44,ocs_eps_preset_dynamic_greedy,0.278
44,pure_ocs_3hop_preset,0.715
44,pure_ocs_pruned,0.638
44,ocs_eps_pruned,0.836
45,ocs_eps_global_ksp,0.000
45,pure_ocs_ksp,0.000
45,eps_ecmp,0.000
45,ocs_eps_large_small,0.000
45,pure_ocs_ksp_greedy,0.121
45,ocs_eps_preset_greedy,0.141
45,ocs_eps_preset_dynamic_greedy,0.218
45,pure_ocs_3hop_preset,0.447
45,pure_ocs_pruned,0.425
45,ocs_eps_pruned,0.784
46,ocs_eps_global_ksp,0.000
46,pure_ocs_ksp,0.000
46,eps_ecmp,0.000
46,ocs_eps_large_small,0.000
46,pure_ocs_ksp_greedy,0.096
46,ocs_eps_preset_greedy,0.145
46,ocs_eps_preset_dynamic_greedy,0.212
46,pure_ocs_3hop_preset,0.448
46,pure_ocs_pruned,0.651
46,ocs_eps_pruned,0.807
47,ocs_eps_global_ksp,0.000
47,pure_ocs_ksp,0.000
47,eps_ecmp,0.000
47,ocs_eps_large_small,0.000
47,pure_ocs_ksp_greedy,0.126
47,ocs_eps_preset_greedy,0.147
47,ocs_eps_preset_dynamic_greedy,0.218
47,pure_ocs_3hop_preset,0.441
47,pure_ocs_pruned,0.751
47,ocs_eps_pruned,0.789
48,ocs_eps_global_ksp,0.000
48,pure_ocs_ksp,0.000
48,eps_ecmp,0.000
48,ocs_eps_large_small,0.000
48,pure_ocs_ksp_greedy,0.119
48,ocs_eps_preset_greedy,0.152
48,ocs_eps_preset_dynamic_greedy,0.219
48,pure_ocs_3hop_preset,0.746
48,pure_ocs_pruned,0.663
48,ocs_eps_pruned,0.810
49,ocs_eps_global_ksp,0.000
49,pure_ocs_ksp,0.000
49,eps_ecmp,0.000
49,ocs_eps_large_small,0.000
49,pure_ocs_ksp_greedy,0.125
49,ocs_eps_preset_greedy,0.121
49,ocs_eps_preset_dynamic_greedy,0.221
49,pure_ocs_3hop_preset,0.670
49,pure_ocs_pruned,0.750
49,ocs_eps_pruned,0.799
50,ocs_eps_global_ksp,0.000
50,pure_ocs_ksp,0.000
50,eps_ecmp,0.000
50,ocs_eps_large_small,0.000
50,pure_ocs_ksp_greedy,0.125
50,ocs_eps_preset_greedy,0.118
50,ocs_eps_preset_dynamic_greedy,0.310
50,pure_ocs_3hop_preset,0.756
50,pure_ocs_pruned,0.752
50,ocs_eps_pruned,0.890
51,ocs_eps_global_ksp,0.000
51,pure_ocs_ksp,0.000
51,eps_ecmp,0.000
51,ocs_eps_large_small,0.000
51,pure_ocs_ksp_greedy,0.128
51,ocs_eps_preset_greedy,0.144
51,ocs_eps_preset_dynamic_greedy,0.304
51,pure_ocs_3hop_preset,0.456
51,pure_ocs_pruned,0.434
51,ocs_eps_pruned,0.854
