seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,2.292
42,pure_ocs_ksp,1.105
42,eps_ecmp,0.819
42,ocs_eps_large_small,1.220
42,pure_ocs_ksp_greedy,1.021
42,ocs_eps_preset_greedy,1.048
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_3hop_preset,0.992
42,pure_ocs_pruned,0.992
42,ocs_eps_pruned,0.979
43,ocs_eps_global_ksp,2.531
43,pure_ocs_ksp,1.279
43,eps_ecmp,0.794
43,ocs_eps_large_small,1.285
43,pure_ocs_ksp_greedy,1.201
43,ocs_eps_preset_greedy,1.122
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_3hop_preset,1.129
43,pure_ocs_pruned,1.129
43,ocs_eps_pruned,1.060
44,ocs_eps_global_ksp,2.420
44,pure_ocs_ksp,1.256
44,eps_ecmp,0.676
44,ocs_eps_large_small,1.233
44,pure_ocs_ksp_greedy,1.168
44,ocs_eps_preset_greedy,1.115
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_3hop_preset,1.065
44,pure_ocs_pruned,1.065
44,ocs_eps_pruned,1.008
45,ocs_eps_global_ksp,2.275
45,pure_ocs_ksp,1.218
45,eps_ecmp,0.719
45,ocs_eps_large_small,1.242
45,pure_ocs_ksp_greedy,1.137
45,ocs_eps_preset_greedy,0.996
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_3hop_preset,1.019
45,pure_ocs_pruned,1.019
45,ocs_eps_pruned,1.009
46,ocs_eps_global_ksp,2.642
46,pure_ocs_ksp,1.253
46,eps_ecmp,0.762
46,ocs_eps_large_small,1.216
46,pure_ocs_ksp_greedy,1.204
46,ocs_eps_preset_greedy,1.097
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_3hop_preset,1.162
46,pure_ocs_pruned,1.162
46,ocs_eps_pruned,1.017
47,ocs_eps_global_ksp,2.698
47,pure_ocs_ksp,1.257
47,eps_ecmp,0.742
47,ocs_eps_large_small,1.218
47,pure_ocs_ksp_greedy,1.157
47,ocs_eps_preset_greedy,1.100
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_3hop_preset,1.066
47,pure_ocs_pruned,1.066
47,ocs_eps_pruned,1.066
48,ocs_eps_global_ksp,2.481
48,pure_ocs_ksp,1.281
48,eps_ecmp,0.846
48,ocs_eps_large_small,1.266
48,pure_ocs_ksp_greedy,1.222
48,ocs_eps_preset_greedy,1.144
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_3hop_preset,1.185
48,pure_ocs_pruned,1.185
48,ocs_eps_pruned,1.025
49,ocs_eps_global_ksp,2.349
49,pure_ocs_ksp,1.187
49,eps_ecmp,0.809
49,ocs_eps_large_small,1.058
49,pure_ocs_ksp_greedy,1.111
49,ocs_eps_preset_greedy,1.002
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_3hop_preset,0.959
49,pure_ocs_pruned,0.959
49,ocs_eps_pruned,1.001
50,ocs_eps_global_ksp,2.858
50,pure_ocs_ksp,1.292
50,eps_ecmp,0.715
50,ocs_eps_large_small,1.281
50,pure_ocs_ksp_greedy,1.134
50,ocs_eps_preset_greedy,1.079
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_3hop_preset,1.093
50,pure_ocs_pruned,1.093
50,ocs_eps_pruned,1.062
51,ocs_eps_global_ksp,2.512
51,pure_ocs_ksp,1.237
51,eps_ecmp,0.761
51,ocs_eps_large_small,1.248
51,pure_ocs_ksp_greedy,1.202
51,ocs_eps_preset_greedy,1.122
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_3hop_preset,1.089
51,pure_ocs_pruned,1.089
51,ocs_eps_pruned,1.029
