scheduler,bytes,fct_ms,num_flows_in_bin
eps_ecmp,100.000000,0.004688,144
eps_ecmp,1000.000000,0.005151,48
eps_ecmp,10000.000000,0.059925,56
eps_ecmp,20000.000000,0.121882,288
eps_ecmp,100000.000000,0.677267,376
eps_ecmp,200000.000000,1.454521,592
eps_ecmp,300000.000000,2.342585,816
eps_ecmp,400000.000000,3.098953,960
eps_ecmp,800000.000000,27.498417,2992
eps_ecmp,1000000.000000,29.609298,1584
eps_ecmp,2000000.000000,37.951786,5232
eps_ecmp,3000000.000000,41.512590,3760
eps_ecmp,10000000.000000,64.810278,6432
eps_ecmp,20000000.000000,81.250195,4088
eps_ecmp,30000000.000000,89.778205,1752
eps_ecmp,100000000.000000,137.860429,1080
ocs_eps_global_ksp,100.000000,0.012522,144
ocs_eps_global_ksp,1000.000000,0.009664,48
ocs_eps_global_ksp,10000.000000,0.135568,56
ocs_eps_global_ksp,20000.000000,0.168561,288
ocs_eps_global_ksp,100000.000000,0.907696,376
ocs_eps_global_ksp,200000.000000,1.796828,592
ocs_eps_global_ksp,300000.000000,2.538330,816
ocs_eps_global_ksp,400000.000000,9.855508,960
ocs_eps_global_ksp,800000.000000,27.430945,2992
ocs_eps_global_ksp,1000000.000000,33.000242,1584
ocs_eps_global_ksp,2000000.000000,42.412066,5232
ocs_eps_global_ksp,3000000.000000,53.952006,3760
ocs_eps_global_ksp,10000000.000000,116.579887,6432
ocs_eps_global_ksp,20000000.000000,149.246219,4088
ocs_eps_global_ksp,30000000.000000,186.633375,1752
ocs_eps_global_ksp,100000000.000000,321.648845,1080
ocs_eps_large_small,100.000000,0.009697,144
ocs_eps_large_small,1000.000000,0.015289,48
ocs_eps_large_small,10000.000000,0.115809,56
ocs_eps_large_small,20000.000000,0.218358,288
ocs_eps_large_small,100000.000000,1.094265,376
ocs_eps_large_small,200000.000000,2.651859,592
ocs_eps_large_small,300000.000000,3.519036,816
ocs_eps_large_small,400000.000000,18.630762,960
ocs_eps_large_small,800000.000000,30.057540,2992
ocs_eps_large_small,1000000.000000,37.572292,1584
ocs_eps_large_small,2000000.000000,45.298202,5232
ocs_eps_large_small,3000000.000000,55.230293,3760
ocs_eps_large_small,10000000.000000,87.314850,6432
ocs_eps_large_small,20000000.000000,100.829320,4088
ocs_eps_large_small,30000000.000000,127.139138,1752
ocs_eps_large_small,100000000.000000,211.999733,1080
ocs_eps_preset_dynamic_greedy,100.000000,0.012461,144
ocs_eps_preset_dynamic_greedy,1000.000000,0.007987,48
ocs_eps_preset_dynamic_greedy,10000.000000,0.091692,56
ocs_eps_preset_dynamic_greedy,20000.000000,0.131974,288
ocs_eps_preset_dynamic_greedy,100000.000000,0.694327,376
ocs_eps_preset_dynamic_greedy,200000.000000,1.451290,592
ocs_eps_preset_dynamic_greedy,300000.000000,2.268727,816
ocs_eps_preset_dynamic_greedy,400000.000000,2.840592,960
