seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.644
42,pure_ocs_ksp,1.068
42,eps_ecmp,1.312
42,ocs_eps_large_small,0.973
42,pure_ocs_ksp_greedy,1.058
42,ocs_eps_preset_greedy,0.896
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_3hop_preset,1.035
42,pure_ocs_pruned,1.035
42,ocs_eps_pruned,0.872
43,ocs_eps_global_ksp,1.483
43,pure_ocs_ksp,0.933
43,eps_ecmp,0.846
43,ocs_eps_large_small,0.738
43,pure_ocs_ksp_greedy,1.031
43,ocs_eps_preset_greedy,0.944
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_3hop_preset,0.748
43,pure_ocs_pruned,0.748
43,ocs_eps_pruned,0.885
44,ocs_eps_global_ksp,2.337
44,pure_ocs_ksp,1.517
44,eps_ecmp,1.036
44,ocs_eps_large_small,1.114
44,pure_ocs_ksp_greedy,1.141
44,ocs_eps_preset_greedy,1.032
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_3hop_preset,1.042
44,pure_ocs_pruned,1.042
44,ocs_eps_pruned,1.025
45,ocs_eps_global_ksp,1.508
45,pure_ocs_ksp,0.960
45,eps_ecmp,0.875
45,ocs_eps_large_small,0.948
45,pure_ocs_ksp_greedy,0.939
45,ocs_eps_preset_greedy,0.788
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_3hop_preset,0.987
45,pure_ocs_pruned,0.987
45,ocs_eps_pruned,1.061
46,ocs_eps_global_ksp,1.332
46,pure_ocs_ksp,0.849
46,eps_ecmp,0.852
46,ocs_eps_large_small,0.885
46,pure_ocs_ksp_greedy,0.822
46,ocs_eps_preset_greedy,0.823
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_3hop_preset,0.848
46,pure_ocs_pruned,0.848
46,ocs_eps_pruned,0.783
47,ocs_eps_global_ksp,1.476
47,pure_ocs_ksp,0.802
47,eps_ecmp,1.101
47,ocs_eps_large_small,0.901
47,pure_ocs_ksp_greedy,1.115
47,ocs_eps_preset_greedy,1.023
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_3hop_preset,0.952
47,pure_ocs_pruned,0.952
47,ocs_eps_pruned,0.938
48,ocs_eps_global_ksp,1.742
48,pure_ocs_ksp,1.137
48,eps_ecmp,1.130
48,ocs_eps_large_small,1.413
48,pure_ocs_ksp_greedy,1.221
48,ocs_eps_preset_greedy,0.981
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_3hop_preset,1.056
48,pure_ocs_pruned,1.056
48,ocs_eps_pruned,1.018
49,ocs_eps_global_ksp,1.348
49,pure_ocs_ksp,0.832
49,eps_ecmp,0.776
49,ocs_eps_large_small,0.752
49,pure_ocs_ksp_greedy,0.783
49,ocs_eps_preset_greedy,0.714
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_3hop_preset,0.728
49,pure_ocs_pruned,0.728
49,ocs_eps_pruned,0.753
50,ocs_eps_global_ksp,1.664
50,pure_ocs_ksp,0.954
50,eps_ecmp,1.203
50,ocs_eps_large_small,1.049
50,pure_ocs_ksp_greedy,0.878
50,ocs_eps_preset_greedy,0.857
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_3hop_preset,0.939
50,pure_ocs_pruned,0.939
50,ocs_eps_pruned,0.758
51,ocs_eps_global_ksp,2.141
51,pure_ocs_ksp,1.392
51,eps_ecmp,1.031
51,ocs_eps_large_small,1.158
51,pure_ocs_ksp_greedy,1.008
51,ocs_eps_preset_greedy,0.988
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_3hop_preset,0.953
51,pure_ocs_pruned,0.953
51,ocs_eps_pruned,1.079
