case_tag,seed,model_mix,frag,load,nrack,workload,status,run_dir
n20_mix1L1M1S_seed42,42,1L,1M,1S,0.5,0.5,20,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n20_mix1L1M1S_seed43,43,1L,1M,1S,0.5,0.5,20,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n20_mix1L1M1S_seed44,44,1L,1M,1S,0.5,0.5,20,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n20_mix1L1M1S_seed45,45,1L,1M,1S,0.5,0.5,20,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n20_mix1L1M1S_seed46,46,1L,1M,1S,0.5,0.5,20,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n20_mix1L1M1S_seed47,47,1L,1M,1S,0.5,0.5,20,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n20_mix1L1M1S_seed48,48,1L,1M,1S,0.5,0.5,20,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n20_mix1L1M1S_seed49,49,1L,1M,1S,0.5,0.5,20,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n20_mix1L1M1S_seed50,50,1L,1M,1S,0.5,0.5,20,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n20_mix1L1M1S_seed51,51,1L,1M,1S,0.5,0.5,20,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n40_mix3L2M1S_seed42,42,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n40_mix3L2M1S_seed43,43,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n40_mix3L2M1S_seed44,44,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n40_mix3L2M1S_seed45,45,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n40_mix3L2M1S_seed46,46,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n40_mix3L2M1S_seed47,47,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n40_mix3L2M1S_seed48,48,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n40_mix3L2M1S_seed49,49,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n40_mix3L2M1S_seed50,50,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n40_mix3L2M1S_seed51,51,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n80_mix4L3M3S_seed42,42,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n80_mix4L3M3S_seed43,43,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n80_mix4L3M3S_seed44,44,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n80_mix4L3M3S_seed45,45,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n80_mix4L3M3S_seed46,46,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n80_mix4L3M3S_seed47,47,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n80_mix4L3M3S_seed48,48,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n80_mix4L3M3S_seed49,49,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n80_mix4L3M3S_seed50,50,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
n80_mix4L3M3S_seed51,51,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
