case_tag,seed,model_mix,frag,load,nrack,workload,status,run_dir
"n20_mix1L1M1S_seed_42","42","1L,1M,1S","0.5","0.5","20","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n20_mix1L1M1S/seed_42"
"n20_mix1L1M1S_seed_43","43","1L,1M,1S","0.5","0.5","20","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n20_mix1L1M1S/seed_43"
"n20_mix1L1M1S_seed_44","44","1L,1M,1S","0.5","0.5","20","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n20_mix1L1M1S/seed_44"
"n20_mix1L1M1S_seed_45","45","1L,1M,1S","0.5","0.5","20","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n20_mix1L1M1S/seed_45"
"n20_mix1L1M1S_seed_46","46","1L,1M,1S","0.5","0.5","20","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n20_mix1L1M1S/seed_46"
"n20_mix1L1M1S_seed_47","47","1L,1M,1S","0.5","0.5","20","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n20_mix1L1M1S/seed_47"
"n20_mix1L1M1S_seed_48","48","1L,1M,1S","0.5","0.5","20","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n20_mix1L1M1S/seed_48"
"n20_mix1L1M1S_seed_49","49","1L,1M,1S","0.5","0.5","20","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n20_mix1L1M1S/seed_49"
"n20_mix1L1M1S_seed_50","50","1L,1M,1S","0.5","0.5","20","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n20_mix1L1M1S/seed_50"
"n20_mix1L1M1S_seed_51","51","1L,1M,1S","0.5","0.5","20","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n20_mix1L1M1S/seed_51"
"n40_mix3L2M1S_seed_42","42","3L,2M,1S","0.5","0.5","40","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n40_mix3L2M1S/seed_42"
"n40_mix3L2M1S_seed_43","43","3L,2M,1S","0.5","0.5","40","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n40_mix3L2M1S/seed_43"
"n40_mix3L2M1S_seed_44","44","3L,2M,1S","0.5","0.5","40","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n40_mix3L2M1S/seed_44"
"n40_mix3L2M1S_seed_45","45","3L,2M,1S","0.5","0.5","40","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n40_mix3L2M1S/seed_45"
"n40_mix3L2M1S_seed_46","46","3L,2M,1S","0.5","0.5","40","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n40_mix3L2M1S/seed_46"
"n40_mix3L2M1S_seed_47","47","3L,2M,1S","0.5","0.5","40","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n40_mix3L2M1S/seed_47"
"n40_mix3L2M1S_seed_48","48","3L,2M,1S","0.5","0.5","40","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n40_mix3L2M1S/seed_48"
"n40_mix3L2M1S_seed_49","49","3L,2M,1S","0.5","0.5","40","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n40_mix3L2M1S/seed_49"
"n40_mix3L2M1S_seed_50","50","3L,2M,1S","0.5","0.5","40","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n40_mix3L2M1S/seed_50"
"n40_mix3L2M1S_seed_51","51","3L,2M,1S","0.5","0.5","40","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n40_mix3L2M1S/seed_51"
"n80_mix4L3M3S_seed_42","42","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n80_mix4L3M3S/seed_42"
"n80_mix4L3M3S_seed_43","43","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n80_mix4L3M3S/seed_43"
"n80_mix4L3M3S_seed_44","44","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n80_mix4L3M3S/seed_44"
"n80_mix4L3M3S_seed_45","45","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n80_mix4L3M3S/seed_45"
"n80_mix4L3M3S_seed_46","46","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n80_mix4L3M3S/seed_46"
"n80_mix4L3M3S_seed_47","47","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n80_mix4L3M3S/seed_47"
"n80_mix4L3M3S_seed_48","48","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n80_mix4L3M3S/seed_48"
"n80_mix4L3M3S_seed_49","49","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n80_mix4L3M3S/seed_49"
"n80_mix4L3M3S_seed_50","50","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n80_mix4L3M3S/seed_50"
"n80_mix4L3M3S_seed_51","51","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/topo/batch_20260422_200323_topo/n80_mix4L3M3S/seed_51"
