scheduler,bytes,fct_ms,num_flows_in_bin
eps_ecmp,100.000000,0.009786,72
eps_ecmp,1000.000000,0.009947,56
eps_ecmp,10000.000000,0.081463,24
eps_ecmp,20000.000000,0.133639,72
eps_ecmp,100000.000000,0.793754,72
eps_ecmp,200000.000000,1.535362,200
eps_ecmp,300000.000000,2.187957,184
eps_ecmp,400000.000000,2.988012,232
eps_ecmp,800000.000000,14.973764,944
eps_ecmp,1000000.000000,21.149732,472
eps_ecmp,2000000.000000,37.597710,1584
eps_ecmp,3000000.000000,42.773243,984
eps_ecmp,10000000.000000,91.197214,1712
eps_ecmp,20000000.000000,122.822499,1216
eps_ecmp,30000000.000000,117.215534,528
eps_ecmp,100000000.000000,207.346079,352
ocs_eps_global_ksp,100.000000,0.019076,72
ocs_eps_global_ksp,1000.000000,0.013838,56
ocs_eps_global_ksp,10000.000000,0.111972,24
ocs_eps_global_ksp,20000.000000,0.153284,72
ocs_eps_global_ksp,100000.000000,1.282582,72
ocs_eps_global_ksp,200000.000000,2.327426,200
ocs_eps_global_ksp,300000.000000,3.721685,184
ocs_eps_global_ksp,400000.000000,11.548655,232
ocs_eps_global_ksp,800000.000000,28.491792,944
ocs_eps_global_ksp,1000000.000000,34.004109,472
ocs_eps_global_ksp,2000000.000000,60.272520,1584
ocs_eps_global_ksp,3000000.000000,63.795068,984
ocs_eps_global_ksp,10000000.000000,148.985980,1712
ocs_eps_global_ksp,20000000.000000,223.840830,1216
ocs_eps_global_ksp,30000000.000000,253.350581,528
ocs_eps_global_ksp,100000000.000000,458.723176,352
ocs_eps_large_small,100.000000,0.025934,72
ocs_eps_large_small,1000.000000,0.014786,56
ocs_eps_large_small,10000.000000,0.096050,24
ocs_eps_large_small,20000.000000,0.145571,72
ocs_eps_large_small,100000.000000,1.844883,72
ocs_eps_large_small,200000.000000,2.448710,200
ocs_eps_large_small,300000.000000,11.036357,184
ocs_eps_large_small,400000.000000,3.632239,232
ocs_eps_large_small,800000.000000,24.204048,944
ocs_eps_large_small,1000000.000000,28.184137,472
ocs_eps_large_small,2000000.000000,50.144806,1584
ocs_eps_large_small,3000000.000000,58.032679,984
ocs_eps_large_small,10000000.000000,119.636122,1712
ocs_eps_large_small,20000000.000000,335.038421,1216
ocs_eps_large_small,30000000.000000,364.103023,528
ocs_eps_large_small,100000000.000000,793.985086,352
ocs_eps_preset_dynamic_greedy,100.000000,0.014236,72
ocs_eps_preset_dynamic_greedy,1000.000000,0.013486,56
