scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,2046.259241,1.253325,2046.259241,1.253325,24,0
pure_ocs_ksp,100.000000,1996.960451,1.223129,1996.960451,1.223129,24,0
eps_ecmp,100.000000,1040.701271,0.637425,1040.701271,0.637425,24,0
ocs_eps_large_small,100.000000,3049.374175,1.867728,3049.374175,1.867728,24,0
pure_ocs_ksp_greedy,100.000000,1677.815520,1.027654,1677.815520,1.027654,24,0
ocs_eps_preset_greedy,100.000000,2177.768028,1.333873,2177.768028,1.333873,24,0
ocs_eps_preset_dynamic_greedy,100.000000,1632.665058,1.000000,1632.665058,1.000000,24,0
pure_ocs_3hop_preset,100.000000,1774.912741,1.087126,1774.912741,1.087126,24,0
pure_ocs_pruned,100.000000,1774.912741,1.087126,1774.912741,1.087126,24,0
ocs_eps_pruned,100.000000,1534.403309,0.939815,1534.403309,0.939815,24,0
