seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.264
42,pure_ocs_ksp,1.193
42,eps_ecmp,0.779
42,ocs_eps_large_small,1.431
42,pure_ocs_ksp_greedy,1.082
42,ocs_eps_preset_greedy,1.790
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_3hop_preset,1.106
42,pure_ocs_pruned,1.106
42,ocs_eps_pruned,0.792
43,ocs_eps_global_ksp,1.528
43,pure_ocs_ksp,1.791
43,eps_ecmp,0.696
43,ocs_eps_large_small,2.359
43,pure_ocs_ksp_greedy,1.630
43,ocs_eps_preset_greedy,1.735
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_3hop_preset,1.832
43,pure_ocs_pruned,1.832
43,ocs_eps_pruned,1.252
44,ocs_eps_global_ksp,1.205
44,pure_ocs_ksp,0.873
44,eps_ecmp,0.510
44,ocs_eps_large_small,1.293
44,pure_ocs_ksp_greedy,1.124
44,ocs_eps_preset_greedy,1.086
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_3hop_preset,0.947
44,pure_ocs_pruned,0.947
44,ocs_eps_pruned,0.909
45,ocs_eps_global_ksp,1.028
45,pure_ocs_ksp,1.269
45,eps_ecmp,0.802
45,ocs_eps_large_small,1.561
45,pure_ocs_ksp_greedy,1.146
45,ocs_eps_preset_greedy,1.421
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_3hop_preset,1.309
45,pure_ocs_pruned,1.309
45,ocs_eps_pruned,1.073
46,ocs_eps_global_ksp,1.181
46,pure_ocs_ksp,1.061
46,eps_ecmp,0.616
46,ocs_eps_large_small,1.564
46,pure_ocs_ksp_greedy,1.189
46,ocs_eps_preset_greedy,1.149
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_3hop_preset,1.113
46,pure_ocs_pruned,1.113
46,ocs_eps_pruned,0.983
47,ocs_eps_global_ksp,1.115
47,pure_ocs_ksp,1.485
47,eps_ecmp,1.044
47,ocs_eps_large_small,1.719
47,pure_ocs_ksp_greedy,1.309
47,ocs_eps_preset_greedy,1.296
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_3hop_preset,1.122
47,pure_ocs_pruned,1.122
47,ocs_eps_pruned,1.504
48,ocs_eps_global_ksp,0.972
48,pure_ocs_ksp,1.359
48,eps_ecmp,0.916
48,ocs_eps_large_small,1.956
48,pure_ocs_ksp_greedy,1.382
48,ocs_eps_preset_greedy,1.714
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_3hop_preset,1.084
48,pure_ocs_pruned,1.084
48,ocs_eps_pruned,1.302
49,ocs_eps_global_ksp,1.430
49,pure_ocs_ksp,1.350
49,eps_ecmp,0.745
49,ocs_eps_large_small,1.640
49,pure_ocs_ksp_greedy,1.350
49,ocs_eps_preset_greedy,1.389
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_3hop_preset,1.239
49,pure_ocs_pruned,1.239
49,ocs_eps_pruned,1.398
50,ocs_eps_global_ksp,1.083
50,pure_ocs_ksp,1.294
50,eps_ecmp,0.625
50,ocs_eps_large_small,1.596
50,pure_ocs_ksp_greedy,1.353
50,ocs_eps_preset_greedy,1.341
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_3hop_preset,1.192
50,pure_ocs_pruned,1.192
50,ocs_eps_pruned,0.918
51,ocs_eps_global_ksp,1.299
51,pure_ocs_ksp,1.218
51,eps_ecmp,1.249
51,ocs_eps_large_small,2.292
51,pure_ocs_ksp_greedy,1.200
51,ocs_eps_preset_greedy,1.408
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_3hop_preset,1.294
51,pure_ocs_pruned,1.294
51,ocs_eps_pruned,0.907
