scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,99.000000,3529.394332,1.559709,3529.394332,1.559709,80,0
pure_ocs_ksp,99.000000,2456.381953,1.085523,2456.381953,1.085523,80,0
eps_ecmp,99.000000,2629.360167,1.161966,2629.360167,1.161966,80,0
ocs_eps_large_small,99.000000,2338.356873,1.033366,2338.356873,1.033366,80,0
pure_ocs_ksp_greedy,99.000000,2493.729061,1.102028,2493.729061,1.102028,80,0
ocs_eps_preset_greedy,99.000000,2117.789679,0.935893,2117.789679,0.935893,80,0
ocs_eps_preset_dynamic_greedy,99.000000,2262.854731,1.000000,2262.854731,1.000000,80,0
pure_ocs_3hop_preset,99.000000,2519.069498,1.113226,2519.069498,1.113226,80,0
pure_ocs_pruned,99.000000,2519.069498,1.113226,2519.069498,1.113226,80,0
ocs_eps_pruned,99.000000,2594.667322,1.146635,2594.667322,1.146635,80,0
