case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
n20_mix1L1M1S,ocs_eps_global_ksp,10,1.108,0.092
n20_mix1L1M1S,pure_ocs_ksp,10,1.130,0.125
n20_mix1L1M1S,eps_ecmp,10,0.609,0.044
n20_mix1L1M1S,ocs_eps_large_small,10,1.696,0.198
n20_mix1L1M1S,pure_ocs_ksp_greedy,10,1.053,0.058
n20_mix1L1M1S,ocs_eps_preset_greedy,10,1.307,0.081
n20_mix1L1M1S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n20_mix1L1M1S,pure_ocs_3hop_preset,10,0.972,0.072
n20_mix1L1M1S,pure_ocs_pruned,10,0.972,0.072
n20_mix1L1M1S,ocs_eps_pruned,10,0.883,0.094
n40_mix3L2M1S,ocs_eps_global_ksp,10,1.135,0.039
n40_mix3L2M1S,pure_ocs_ksp,10,1.277,0.096
n40_mix3L2M1S,eps_ecmp,10,0.580,0.055
n40_mix3L2M1S,ocs_eps_large_small,10,1.692,0.110
n40_mix3L2M1S,pure_ocs_ksp_greedy,10,1.174,0.087
n40_mix3L2M1S,ocs_eps_preset_greedy,10,1.478,0.126
n40_mix3L2M1S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n40_mix3L2M1S,pure_ocs_3hop_preset,10,1.146,0.065
n40_mix3L2M1S,pure_ocs_pruned,10,1.146,0.065
n40_mix3L2M1S,ocs_eps_pruned,10,0.919,0.072
n80_mix4L3M3S,ocs_eps_global_ksp,10,1.941,0.199
n80_mix4L3M3S,pure_ocs_ksp,10,1.171,0.045
n80_mix4L3M3S,eps_ecmp,10,1.005,0.057
n80_mix4L3M3S,ocs_eps_large_small,10,1.097,0.059
n80_mix4L3M3S,pure_ocs_ksp_greedy,10,1.086,0.053
n80_mix4L3M3S,ocs_eps_preset_greedy,10,1.049,0.039
n80_mix4L3M3S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n80_mix4L3M3S,pure_ocs_3hop_preset,10,1.023,0.043
n80_mix4L3M3S,pure_ocs_pruned,10,1.023,0.043
n80_mix4L3M3S,ocs_eps_pruned,10,1.001,0.051
