case_base,seed,scheduler,avg_relative_cct_vs_dynamic
n20_mix1L1M1S,42,ocs_eps_global_ksp,1.015
n20_mix1L1M1S,42,pure_ocs_ksp,1.038
n20_mix1L1M1S,42,eps_ecmp,0.632
n20_mix1L1M1S,42,ocs_eps_large_small,1.223
n20_mix1L1M1S,42,pure_ocs_ksp_greedy,1.056
n20_mix1L1M1S,42,ocs_eps_preset_greedy,1.085
n20_mix1L1M1S,42,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,42,pure_ocs_3hop_preset,0.794
n20_mix1L1M1S,42,pure_ocs_pruned,0.794
n20_mix1L1M1S,42,ocs_eps_pruned,0.729
n20_mix1L1M1S,43,ocs_eps_global_ksp,0.931
n20_mix1L1M1S,43,pure_ocs_ksp,0.855
n20_mix1L1M1S,43,eps_ecmp,0.691
n20_mix1L1M1S,43,ocs_eps_large_small,1.635
n20_mix1L1M1S,43,pure_ocs_ksp_greedy,0.888
n20_mix1L1M1S,43,ocs_eps_preset_greedy,1.291
n20_mix1L1M1S,43,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,43,pure_ocs_3hop_preset,0.892
n20_mix1L1M1S,43,pure_ocs_pruned,0.892
n20_mix1L1M1S,43,ocs_eps_pruned,0.846
n20_mix1L1M1S,44,ocs_eps_global_ksp,1.410
n20_mix1L1M1S,44,pure_ocs_ksp,1.437
n20_mix1L1M1S,44,eps_ecmp,0.835
n20_mix1L1M1S,44,ocs_eps_large_small,2.483
n20_mix1L1M1S,44,pure_ocs_ksp_greedy,1.412
n20_mix1L1M1S,44,ocs_eps_preset_greedy,1.677
n20_mix1L1M1S,44,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,44,pure_ocs_3hop_preset,1.494
n20_mix1L1M1S,44,pure_ocs_pruned,1.494
n20_mix1L1M1S,44,ocs_eps_pruned,0.975
n20_mix1L1M1S,45,ocs_eps_global_ksp,1.077
n20_mix1L1M1S,45,pure_ocs_ksp,1.487
n20_mix1L1M1S,45,eps_ecmp,0.755
n20_mix1L1M1S,45,ocs_eps_large_small,2.334
n20_mix1L1M1S,45,pure_ocs_ksp_greedy,1.411
n20_mix1L1M1S,45,ocs_eps_preset_greedy,1.514
n20_mix1L1M1S,45,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,45,pure_ocs_3hop_preset,1.158
n20_mix1L1M1S,45,pure_ocs_pruned,1.158
n20_mix1L1M1S,45,ocs_eps_pruned,1.527
n20_mix1L1M1S,46,ocs_eps_global_ksp,1.412
n20_mix1L1M1S,46,pure_ocs_ksp,0.994
n20_mix1L1M1S,46,eps_ecmp,0.978
n20_mix1L1M1S,46,ocs_eps_large_small,1.515
n20_mix1L1M1S,46,pure_ocs_ksp_greedy,0.969
n20_mix1L1M1S,46,ocs_eps_preset_greedy,1.030
n20_mix1L1M1S,46,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,46,pure_ocs_3hop_preset,0.983
n20_mix1L1M1S,46,pure_ocs_pruned,0.983
n20_mix1L1M1S,46,ocs_eps_pruned,0.961
n20_mix1L1M1S,47,ocs_eps_global_ksp,1.372
n20_mix1L1M1S,47,pure_ocs_ksp,1.456
n20_mix1L1M1S,47,eps_ecmp,0.715
n20_mix1L1M1S,47,ocs_eps_large_small,1.917
n20_mix1L1M1S,47,pure_ocs_ksp_greedy,1.052
n20_mix1L1M1S,47,ocs_eps_preset_greedy,1.500
n20_mix1L1M1S,47,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,47,pure_ocs_3hop_preset,0.946
n20_mix1L1M1S,47,pure_ocs_pruned,0.946
n20_mix1L1M1S,47,ocs_eps_pruned,0.867
n20_mix1L1M1S,48,ocs_eps_global_ksp,1.087
n20_mix1L1M1S,48,pure_ocs_ksp,1.102
n20_mix1L1M1S,48,eps_ecmp,0.562
n20_mix1L1M1S,48,ocs_eps_large_small,1.941
n20_mix1L1M1S,48,pure_ocs_ksp_greedy,1.069
n20_mix1L1M1S,48,ocs_eps_preset_greedy,1.090
n20_mix1L1M1S,48,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,48,pure_ocs_3hop_preset,1.162
n20_mix1L1M1S,48,pure_ocs_pruned,1.162
n20_mix1L1M1S,48,ocs_eps_pruned,0.880
n20_mix1L1M1S,49,ocs_eps_global_ksp,1.484
n20_mix1L1M1S,49,pure_ocs_ksp,1.525
n20_mix1L1M1S,49,eps_ecmp,1.088
n20_mix1L1M1S,49,ocs_eps_large_small,2.104
n20_mix1L1M1S,49,pure_ocs_ksp_greedy,1.095
n20_mix1L1M1S,49,ocs_eps_preset_greedy,1.672
n20_mix1L1M1S,49,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,49,pure_ocs_3hop_preset,1.517
n20_mix1L1M1S,49,pure_ocs_pruned,1.517
n20_mix1L1M1S,49,ocs_eps_pruned,1.163
n20_mix1L1M1S,50,ocs_eps_global_ksp,1.078
n20_mix1L1M1S,50,pure_ocs_ksp,0.812
n20_mix1L1M1S,50,eps_ecmp,0.602
n20_mix1L1M1S,50,ocs_eps_large_small,1.517
n20_mix1L1M1S,50,pure_ocs_ksp_greedy,0.685
n20_mix1L1M1S,50,ocs_eps_preset_greedy,1.100
n20_mix1L1M1S,50,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,50,pure_ocs_3hop_preset,0.633
n20_mix1L1M1S,50,pure_ocs_pruned,0.633
n20_mix1L1M1S,50,ocs_eps_pruned,0.601
n20_mix1L1M1S,51,ocs_eps_global_ksp,0.800
n20_mix1L1M1S,51,pure_ocs_ksp,0.769
n20_mix1L1M1S,51,eps_ecmp,0.686
n20_mix1L1M1S,51,ocs_eps_large_small,1.565
n20_mix1L1M1S,51,pure_ocs_ksp_greedy,1.066
n20_mix1L1M1S,51,ocs_eps_preset_greedy,1.321
n20_mix1L1M1S,51,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,51,pure_ocs_3hop_preset,0.769
n20_mix1L1M1S,51,pure_ocs_pruned,0.769
