case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
n20_mix1L1M1S,ocs_eps_global_ksp,10,1.131,0.186
n20_mix1L1M1S,pure_ocs_ksp,10,1.039,0.291
n20_mix1L1M1S,eps_ecmp,10,0.691,0.129
n20_mix1L1M1S,ocs_eps_large_small,10,1.707,0.418
n20_mix1L1M1S,pure_ocs_ksp_greedy,10,1.063,0.306
n20_mix1L1M1S,ocs_eps_preset_greedy,10,1.250,0.227
n20_mix1L1M1S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n20_mix1L1M1S,pure_ocs_3hop_preset,10,0.968,0.190
n20_mix1L1M1S,pure_ocs_pruned,10,0.968,0.190
n20_mix1L1M1S,ocs_eps_pruned,10,0.844,0.248
n40_mix3L2M1S,ocs_eps_global_ksp,10,1.210,0.166
n40_mix3L2M1S,pure_ocs_ksp,10,1.289,0.232
n40_mix3L2M1S,eps_ecmp,10,0.798,0.209
n40_mix3L2M1S,ocs_eps_large_small,10,1.741,0.335
n40_mix3L2M1S,pure_ocs_ksp_greedy,10,1.277,0.155
n40_mix3L2M1S,ocs_eps_preset_greedy,10,1.433,0.230
n40_mix3L2M1S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n40_mix3L2M1S,pure_ocs_3hop_preset,10,1.224,0.227
n40_mix3L2M1S,pure_ocs_pruned,10,1.224,0.227
n40_mix3L2M1S,ocs_eps_pruned,10,1.104,0.231
n80_mix4L3M3S,ocs_eps_global_ksp,10,1.581,0.190
n80_mix4L3M3S,pure_ocs_ksp,10,1.048,0.128
n80_mix4L3M3S,eps_ecmp,10,1.066,0.152
n80_mix4L3M3S,ocs_eps_large_small,10,1.015,0.114
n80_mix4L3M3S,pure_ocs_ksp_greedy,10,1.006,0.129
n80_mix4L3M3S,ocs_eps_preset_greedy,10,1.012,0.180
n80_mix4L3M3S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n80_mix4L3M3S,pure_ocs_3hop_preset,10,1.016,0.167
n80_mix4L3M3S,pure_ocs_pruned,10,1.016,0.167
n80_mix4L3M3S,ocs_eps_pruned,10,1.019,0.094
