case_base,seed,scheduler,avg_relative_fct_vs_dynamic
n20_mix1L1M1S,42,ocs_eps_global_ksp,1.838
n20_mix1L1M1S,42,pure_ocs_ksp,1.122
n20_mix1L1M1S,42,eps_ecmp,0.819
n20_mix1L1M1S,42,ocs_eps_large_small,1.697
n20_mix1L1M1S,42,pure_ocs_ksp_greedy,1.151
n20_mix1L1M1S,42,ocs_eps_preset_greedy,1.378
n20_mix1L1M1S,42,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,42,pure_ocs_3hop_preset,1.213
n20_mix1L1M1S,42,pure_ocs_pruned,1.213
n20_mix1L1M1S,42,ocs_eps_pruned,0.950
n20_mix1L1M1S,43,ocs_eps_global_ksp,1.047
n20_mix1L1M1S,43,pure_ocs_ksp,1.039
n20_mix1L1M1S,43,eps_ecmp,0.638
n20_mix1L1M1S,43,ocs_eps_large_small,1.556
n20_mix1L1M1S,43,pure_ocs_ksp_greedy,0.949
n20_mix1L1M1S,43,ocs_eps_preset_greedy,1.235
n20_mix1L1M1S,43,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,43,pure_ocs_3hop_preset,0.994
n20_mix1L1M1S,43,pure_ocs_pruned,0.994
n20_mix1L1M1S,43,ocs_eps_pruned,0.883
n20_mix1L1M1S,44,ocs_eps_global_ksp,1.226
n20_mix1L1M1S,44,pure_ocs_ksp,1.120
n20_mix1L1M1S,44,eps_ecmp,0.642
n20_mix1L1M1S,44,ocs_eps_large_small,3.650
n20_mix1L1M1S,44,pure_ocs_ksp_greedy,1.001
n20_mix1L1M1S,44,ocs_eps_preset_greedy,2.309
n20_mix1L1M1S,44,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,44,pure_ocs_3hop_preset,9.662
n20_mix1L1M1S,44,pure_ocs_pruned,9.662
n20_mix1L1M1S,44,ocs_eps_pruned,0.861
n20_mix1L1M1S,45,ocs_eps_global_ksp,1.051
n20_mix1L1M1S,45,pure_ocs_ksp,1.129
n20_mix1L1M1S,45,eps_ecmp,0.585
n20_mix1L1M1S,45,ocs_eps_large_small,1.150
n20_mix1L1M1S,45,pure_ocs_ksp_greedy,1.038
n20_mix1L1M1S,45,ocs_eps_preset_greedy,1.643
n20_mix1L1M1S,45,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,45,pure_ocs_3hop_preset,0.948
n20_mix1L1M1S,45,pure_ocs_pruned,0.948
n20_mix1L1M1S,45,ocs_eps_pruned,0.880
n20_mix1L1M1S,46,ocs_eps_global_ksp,1.366
n20_mix1L1M1S,46,pure_ocs_ksp,1.410
n20_mix1L1M1S,46,eps_ecmp,0.741
n20_mix1L1M1S,46,ocs_eps_large_small,1.456
n20_mix1L1M1S,46,pure_ocs_ksp_greedy,1.327
n20_mix1L1M1S,46,ocs_eps_preset_greedy,1.621
n20_mix1L1M1S,46,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,46,pure_ocs_3hop_preset,0.992
n20_mix1L1M1S,46,pure_ocs_pruned,0.992
n20_mix1L1M1S,46,ocs_eps_pruned,1.002
n20_mix1L1M1S,47,ocs_eps_global_ksp,1.099
n20_mix1L1M1S,47,pure_ocs_ksp,1.840
n20_mix1L1M1S,47,eps_ecmp,0.704
n20_mix1L1M1S,47,ocs_eps_large_small,2.023
n20_mix1L1M1S,47,pure_ocs_ksp_greedy,1.511
n20_mix1L1M1S,47,ocs_eps_preset_greedy,2.666
n20_mix1L1M1S,47,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,47,pure_ocs_3hop_preset,1.112
n20_mix1L1M1S,47,pure_ocs_pruned,1.112
n20_mix1L1M1S,47,ocs_eps_pruned,1.192
n20_mix1L1M1S,48,ocs_eps_global_ksp,1.696
n20_mix1L1M1S,48,pure_ocs_ksp,1.182
