scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,95.000000,2564.261872,1.840737,2564.261872,1.840737,80,0
pure_ocs_ksp,95.000000,1570.798534,1.127587,1570.798534,1.127587,80,0
eps_ecmp,95.000000,1399.958410,1.004950,1399.958410,1.004950,80,0
ocs_eps_large_small,95.000000,1718.528341,1.233633,1718.528341,1.233633,80,0
pure_ocs_ksp_greedy,95.000000,1437.887370,1.032177,1437.887370,1.032177,80,0
ocs_eps_preset_greedy,95.000000,1305.216775,0.936941,1305.216775,0.936941,80,0
ocs_eps_preset_dynamic_greedy,95.000000,1393.062434,1.000000,1393.062434,1.000000,80,0
pure_ocs_3hop_preset,95.000000,1376.911764,0.988406,1376.911764,0.988406,80,0
pure_ocs_pruned,95.000000,1376.911764,0.988406,1376.911764,0.988406,80,0
ocs_eps_pruned,95.000000,1314.803390,0.943822,1314.803390,0.943822,80,0
