scheduler,bytes,fct_ms,num_flows_in_bin
eps_ecmp,100.000000,0.007070,152
eps_ecmp,1000.000000,0.007149,128
eps_ecmp,10000.000000,0.065333,64
eps_ecmp,20000.000000,0.115837,208
eps_ecmp,30000.000000,0.158980,56
eps_ecmp,100000.000000,0.639787,456
eps_ecmp,200000.000000,1.385216,472
eps_ecmp,300000.000000,2.168452,608
eps_ecmp,400000.000000,3.200422,1064
eps_ecmp,800000.000000,47.870220,2968
eps_ecmp,1000000.000000,54.068002,1632
eps_ecmp,2000000.000000,66.276153,5032
eps_ecmp,3000000.000000,77.586679,3768
eps_ecmp,10000000.000000,104.859412,6304
eps_ecmp,20000000.000000,123.442830,4000
eps_ecmp,30000000.000000,128.891196,2040
eps_ecmp,100000000.000000,181.937245,1256
ocs_eps_global_ksp,100.000000,0.013167,152
ocs_eps_global_ksp,1000.000000,0.009812,128
ocs_eps_global_ksp,10000.000000,0.107355,64
ocs_eps_global_ksp,20000.000000,0.152842,208
ocs_eps_global_ksp,30000.000000,0.232710,56
ocs_eps_global_ksp,100000.000000,0.963958,456
ocs_eps_global_ksp,200000.000000,1.531780,472
ocs_eps_global_ksp,300000.000000,2.200532,608
ocs_eps_global_ksp,400000.000000,5.359542,1064
ocs_eps_global_ksp,800000.000000,42.656267,2968
ocs_eps_global_ksp,1000000.000000,47.929760,1632
ocs_eps_global_ksp,2000000.000000,64.258511,5032
ocs_eps_global_ksp,3000000.000000,77.595533,3768
ocs_eps_global_ksp,10000000.000000,138.967106,6304
ocs_eps_global_ksp,20000000.000000,193.397303,4000
ocs_eps_global_ksp,30000000.000000,223.097960,2040
ocs_eps_global_ksp,100000000.000000,334.296769,1256
ocs_eps_large_small,100.000000,0.007317,152
ocs_eps_large_small,1000.000000,0.007230,128
ocs_eps_large_small,10000.000000,0.189466,64
ocs_eps_large_small,20000.000000,0.191531,208
ocs_eps_large_small,30000.000000,0.225411,56
ocs_eps_large_small,100000.000000,0.821227,456
ocs_eps_large_small,200000.000000,11.354461,472
ocs_eps_large_small,300000.000000,3.135521,608
ocs_eps_large_small,400000.000000,21.606022,1064
ocs_eps_large_small,800000.000000,45.987620,2968
ocs_eps_large_small,1000000.000000,49.378270,1632
ocs_eps_large_small,2000000.000000,61.231012,5032
ocs_eps_large_small,3000000.000000,73.654019,3768
ocs_eps_large_small,10000000.000000,103.496417,6304
ocs_eps_large_small,20000000.000000,117.997139,4000
ocs_eps_large_small,30000000.000000,136.212310,2040
ocs_eps_large_small,100000000.000000,228.910428,1256
ocs_eps_preset_dynamic_greedy,100.000000,0.009083,152
ocs_eps_preset_dynamic_greedy,1000.000000,0.008408,128
ocs_eps_preset_dynamic_greedy,10000.000000,0.070220,64
ocs_eps_preset_dynamic_greedy,20000.000000,0.124495,208
ocs_eps_preset_dynamic_greedy,30000.000000,0.181552,56
ocs_eps_preset_dynamic_greedy,100000.000000,0.721607,456
ocs_eps_preset_dynamic_greedy,200000.000000,1.523741,472
ocs_eps_preset_dynamic_greedy,300000.000000,2.224923,608
ocs_eps_preset_dynamic_greedy,400000.000000,2.733281,1064
ocs_eps_preset_dynamic_greedy,800000.000000,34.531413,2968
ocs_eps_preset_dynamic_greedy,1000000.000000,42.415891,1632
ocs_eps_preset_dynamic_greedy,2000000.000000,56.822694,5032
ocs_eps_preset_dynamic_greedy,3000000.000000,68.011094,3768
ocs_eps_preset_dynamic_greedy,10000000.000000,100.435424,6304
ocs_eps_preset_dynamic_greedy,20000000.000000,133.567278,4000
ocs_eps_preset_dynamic_greedy,30000000.000000,148.023589,2040
ocs_eps_preset_dynamic_greedy,100000000.000000,203.822744,1256
ocs_eps_preset_greedy,100.000000,0.009397,152
ocs_eps_preset_greedy,1000.000000,0.008878,128
ocs_eps_preset_greedy,10000.000000,0.082770,64
ocs_eps_preset_greedy,20000.000000,0.147314,208
ocs_eps_preset_greedy,30000.000000,0.187364,56
ocs_eps_preset_greedy,100000.000000,0.798091,456
ocs_eps_preset_greedy,200000.000000,1.541864,472
ocs_eps_preset_greedy,300000.000000,2.103962,608
ocs_eps_preset_greedy,400000.000000,3.039670,1064
ocs_eps_preset_greedy,800000.000000,34.239607,2968
ocs_eps_preset_greedy,1000000.000000,37.436366,1632
ocs_eps_preset_greedy,2000000.000000,53.683421,5032
ocs_eps_preset_greedy,3000000.000000,65.364703,3768
ocs_eps_preset_greedy,10000000.000000,104.744561,6304
ocs_eps_preset_greedy,20000000.000000,134.127355,4000
ocs_eps_preset_greedy,30000000.000000,147.230679,2040
ocs_eps_preset_greedy,100000000.000000,209.406854,1256
ocs_eps_pruned,100.000000,0.007911,152
ocs_eps_pruned,1000.000000,0.009226,128
ocs_eps_pruned,10000.000000,0.090633,64
ocs_eps_pruned,20000.000000,0.125629,208
ocs_eps_pruned,30000.000000,0.156507,56
ocs_eps_pruned,100000.000000,0.781308,456
ocs_eps_pruned,200000.000000,1.527972,472
ocs_eps_pruned,300000.000000,2.174791,608
