scheduler,bytes,fct_ms,num_flows_in_bin
eps_ecmp,1024.000000,0.007177,288
eps_ecmp,30720.000000,0.191619,488
eps_ecmp,49152.000000,0.331229,416
eps_ecmp,71680.000000,0.466858,136
eps_ecmp,228352.000000,1.735669,80
eps_ecmp,342016.000000,2.707854,368
eps_ecmp,480256.000000,53.034225,488
eps_ecmp,569344.000000,57.897029,1672
eps_ecmp,856064.000000,63.960875,2416
eps_ecmp,1286144.000000,84.429142,2368
eps_ecmp,1472512.000000,93.276971,1384
eps_ecmp,1867776.000000,105.129471,1008
eps_ecmp,2368512.000000,105.076362,648
eps_ecmp,3003392.000000,110.296794,1672
eps_ecmp,3559424.000000,113.340784,3664
eps_ecmp,4997120.000000,127.718248,1128
eps_ecmp,6336512.000000,132.920530,672
eps_ecmp,7768064.000000,138.109475,1792
eps_ecmp,9522176.000000,157.789008,3544
eps_ecmp,14307328.000000,150.640304,408
eps_ecmp,18143232.000000,183.858156,504
eps_ecmp,25474048.000000,200.824368,184
eps_ecmp,32303104.000000,245.696489,176
eps_ecmp,36919680.000000,198.138943,2016
eps_ecmp,43677440.000000,195.405341,2688
ocs_eps_global_ksp,1024.000000,0.009330,288
ocs_eps_global_ksp,30720.000000,0.303203,488
ocs_eps_global_ksp,49152.000000,0.432420,416
ocs_eps_global_ksp,71680.000000,0.609841,136
ocs_eps_global_ksp,228352.000000,2.235359,80
ocs_eps_global_ksp,342016.000000,2.690116,368
ocs_eps_global_ksp,480256.000000,6.343113,488
ocs_eps_global_ksp,569344.000000,51.098739,1672
ocs_eps_global_ksp,856064.000000,61.591563,2416
ocs_eps_global_ksp,1286144.000000,69.480279,2368
ocs_eps_global_ksp,1472512.000000,83.228626,1384
ocs_eps_global_ksp,1867776.000000,100.725863,1008
ocs_eps_global_ksp,2368512.000000,106.790014,648
ocs_eps_global_ksp,3003392.000000,112.614693,1672
ocs_eps_global_ksp,3559424.000000,117.248452,3664
ocs_eps_global_ksp,4997120.000000,118.194016,1128
ocs_eps_global_ksp,6336512.000000,175.450184,672
ocs_eps_global_ksp,7768064.000000,159.511398,1792
ocs_eps_global_ksp,9522176.000000,169.303032,3544
ocs_eps_global_ksp,14307328.000000,192.439964,408
ocs_eps_global_ksp,18143232.000000,213.851182,504
ocs_eps_global_ksp,25474048.000000,235.285483,184
ocs_eps_global_ksp,32303104.000000,290.449227,176
ocs_eps_global_ksp,36919680.000000,284.545728,2016
ocs_eps_global_ksp,43677440.000000,299.139210,2688
ocs_eps_large_small,1024.000000,0.009123,288
ocs_eps_large_small,30720.000000,0.283849,488
ocs_eps_large_small,49152.000000,0.393099,416
ocs_eps_large_small,71680.000000,0.815963,136
ocs_eps_large_small,228352.000000,3.260494,80
ocs_eps_large_small,342016.000000,2.868064,368
ocs_eps_large_small,480256.000000,5.145196,488
ocs_eps_large_small,569344.000000,44.064390,1672
ocs_eps_large_small,856064.000000,60.424855,2416
ocs_eps_large_small,1286144.000000,68.091212,2368
ocs_eps_large_small,1472512.000000,94.360312,1384
ocs_eps_large_small,1867776.000000,105.601579,1008
ocs_eps_large_small,2368512.000000,91.435316,648
ocs_eps_large_small,3003392.000000,107.485482,1672
ocs_eps_large_small,3559424.000000,107.040378,3664
ocs_eps_large_small,4997120.000000,110.391158,1128
ocs_eps_large_small,6336512.000000,118.486072,672
ocs_eps_large_small,7768064.000000,124.709629,1792
ocs_eps_large_small,9522176.000000,117.496405,3544
ocs_eps_large_small,14307328.000000,129.092288,408
ocs_eps_large_small,18143232.000000,124.345610,504
ocs_eps_large_small,25474048.000000,152.279526,184
ocs_eps_large_small,32303104.000000,149.089656,176
ocs_eps_large_small,36919680.000000,176.437081,2016
ocs_eps_large_small,43677440.000000,176.508706,2688
ocs_eps_preset_dynamic_greedy,1024.000000,0.008390,288
ocs_eps_preset_dynamic_greedy,30720.000000,0.216870,488
ocs_eps_preset_dynamic_greedy,49152.000000,0.341859,416
ocs_eps_preset_dynamic_greedy,71680.000000,0.582988,136
ocs_eps_preset_dynamic_greedy,228352.000000,1.767818,80
ocs_eps_preset_dynamic_greedy,342016.000000,2.515206,368
ocs_eps_preset_dynamic_greedy,480256.000000,38.515430,488
ocs_eps_preset_dynamic_greedy,569344.000000,47.144027,1672
ocs_eps_preset_dynamic_greedy,856064.000000,61.015665,2416
ocs_eps_preset_dynamic_greedy,1286144.000000,64.578934,2368
ocs_eps_preset_dynamic_greedy,1472512.000000,79.355120,1384
ocs_eps_preset_dynamic_greedy,1867776.000000,99.285769,1008
ocs_eps_preset_dynamic_greedy,2368512.000000,104.539175,648
ocs_eps_preset_dynamic_greedy,3003392.000000,106.347696,1672
ocs_eps_preset_dynamic_greedy,3559424.000000,110.444959,3664
ocs_eps_preset_dynamic_greedy,4997120.000000,116.453206,1128
ocs_eps_preset_dynamic_greedy,6336512.000000,141.945685,672
ocs_eps_preset_dynamic_greedy,7768064.000000,125.436512,1792
ocs_eps_preset_dynamic_greedy,9522176.000000,132.474390,3544
ocs_eps_preset_dynamic_greedy,14307328.000000,180.657740,408
ocs_eps_preset_dynamic_greedy,18143232.000000,171.150125,504
ocs_eps_preset_dynamic_greedy,25474048.000000,172.188795,184
ocs_eps_preset_dynamic_greedy,32303104.000000,246.737122,176
ocs_eps_preset_dynamic_greedy,36919680.000000,198.534179,2016
ocs_eps_preset_dynamic_greedy,43677440.000000,201.520456,2688
ocs_eps_preset_greedy,1024.000000,0.008249,288
ocs_eps_preset_greedy,30720.000000,0.231506,488
ocs_eps_preset_greedy,49152.000000,0.364811,416
ocs_eps_preset_greedy,71680.000000,0.552674,136
ocs_eps_preset_greedy,228352.000000,1.585799,80
ocs_eps_preset_greedy,342016.000000,2.385124,368
ocs_eps_preset_greedy,480256.000000,3.985743,488
ocs_eps_preset_greedy,569344.000000,42.224807,1672
ocs_eps_preset_greedy,856064.000000,57.179369,2416
ocs_eps_preset_greedy,1286144.000000,64.618303,2368
ocs_eps_preset_greedy,1472512.000000,78.394359,1384
ocs_eps_preset_greedy,1867776.000000,83.787867,1008
ocs_eps_preset_greedy,2368512.000000,104.782715,648
ocs_eps_preset_greedy,3003392.000000,110.346824,1672
ocs_eps_preset_greedy,3559424.000000,108.054357,3664
ocs_eps_preset_greedy,4997120.000000,116.865437,1128
ocs_eps_preset_greedy,6336512.000000,124.491101,672
ocs_eps_preset_greedy,7768064.000000,126.479538,1792
ocs_eps_preset_greedy,9522176.000000,132.429872,3544
ocs_eps_preset_greedy,14307328.000000,154.436361,408
ocs_eps_preset_greedy,18143232.000000,159.364579,504
ocs_eps_preset_greedy,25474048.000000,220.114083,184
ocs_eps_preset_greedy,32303104.000000,178.331427,176
ocs_eps_preset_greedy,36919680.000000,197.768733,2016
ocs_eps_preset_greedy,43677440.000000,219.688209,2688
ocs_eps_pruned,1024.000000,0.008288,288
ocs_eps_pruned,30720.000000,0.210759,488
ocs_eps_pruned,49152.000000,0.344909,416
ocs_eps_pruned,71680.000000,0.511838,136
ocs_eps_pruned,228352.000000,1.612725,80
ocs_eps_pruned,342016.000000,2.773419,368
ocs_eps_pruned,480256.000000,3.758857,488
ocs_eps_pruned,569344.000000,44.542321,1672
ocs_eps_pruned,856064.000000,58.810116,2416
ocs_eps_pruned,1286144.000000,65.951473,2368
ocs_eps_pruned,1472512.000000,79.103723,1384
ocs_eps_pruned,1867776.000000,84.984689,1008
ocs_eps_pruned,2368512.000000,101.776814,648
ocs_eps_pruned,3003392.000000,104.119476,1672
ocs_eps_pruned,3559424.000000,107.254005,3664
ocs_eps_pruned,4997120.000000,114.993459,1128
ocs_eps_pruned,6336512.000000,114.732662,672
ocs_eps_pruned,7768064.000000,119.847247,1792
ocs_eps_pruned,9522176.000000,128.027696,3544
ocs_eps_pruned,14307328.000000,140.622926,408
ocs_eps_pruned,18143232.000000,142.826245,504
ocs_eps_pruned,25474048.000000,138.187019,184
ocs_eps_pruned,32303104.000000,239.232039,176
ocs_eps_pruned,36919680.000000,193.915271,2016
ocs_eps_pruned,43677440.000000,190.931928,2688
pure_ocs_3hop_preset,1024.000000,0.008328,288
pure_ocs_3hop_preset,30720.000000,0.220006,488
pure_ocs_3hop_preset,49152.000000,0.341106,416
pure_ocs_3hop_preset,71680.000000,0.494607,136
pure_ocs_3hop_preset,228352.000000,1.656476,80
pure_ocs_3hop_preset,342016.000000,2.623847,368
pure_ocs_3hop_preset,480256.000000,3.526290,488
pure_ocs_3hop_preset,569344.000000,44.328928,1672
pure_ocs_3hop_preset,856064.000000,59.458368,2416
pure_ocs_3hop_preset,1286144.000000,66.095266,2368
pure_ocs_3hop_preset,1472512.000000,76.804568,1384
pure_ocs_3hop_preset,1867776.000000,89.612479,1008
pure_ocs_3hop_preset,2368512.000000,103.068255,648
pure_ocs_3hop_preset,3003392.000000,105.175525,1672
pure_ocs_3hop_preset,3559424.000000,108.365398,3664
pure_ocs_3hop_preset,4997120.000000,113.979894,1128
pure_ocs_3hop_preset,6336512.000000,116.034848,672
pure_ocs_3hop_preset,7768064.000000,129.484172,1792
pure_ocs_3hop_preset,9522176.000000,134.364091,3544
pure_ocs_3hop_preset,14307328.000000,135.941620,408
pure_ocs_3hop_preset,18143232.000000,162.023295,504
pure_ocs_3hop_preset,25474048.000000,200.733161,184
pure_ocs_3hop_preset,32303104.000000,215.831104,176
pure_ocs_3hop_preset,36919680.000000,197.537102,2016
pure_ocs_3hop_preset,43677440.000000,203.189545,2688
pure_ocs_ksp,1024.000000,0.008710,288
pure_ocs_ksp,30720.000000,0.209703,488
pure_ocs_ksp,49152.000000,0.344240,416
pure_ocs_ksp,71680.000000,0.531506,136
pure_ocs_ksp,228352.000000,1.517680,80
pure_ocs_ksp,342016.000000,2.503178,368
pure_ocs_ksp,480256.000000,4.070495,488
pure_ocs_ksp,569344.000000,46.686711,1672
pure_ocs_ksp,856064.000000,59.189968,2416
pure_ocs_ksp,1286144.000000,65.835910,2368
pure_ocs_ksp,1472512.000000,83.905891,1384
pure_ocs_ksp,1867776.000000,91.862060,1008
pure_ocs_ksp,2368512.000000,106.332034,648
pure_ocs_ksp,3003392.000000,105.769160,1672
pure_ocs_ksp,3559424.000000,111.596871,3664
pure_ocs_ksp,4997120.000000,117.535595,1128
pure_ocs_ksp,6336512.000000,143.625088,672
pure_ocs_ksp,7768064.000000,145.786700,1792
pure_ocs_ksp,9522176.000000,134.453946,3544
pure_ocs_ksp,14307328.000000,166.586110,408
pure_ocs_ksp,18143232.000000,192.758478,504
pure_ocs_ksp,25474048.000000,221.766628,184
pure_ocs_ksp,32303104.000000,257.363668,176
pure_ocs_ksp,36919680.000000,226.656300,2016
pure_ocs_ksp,43677440.000000,240.465463,2688
pure_ocs_ksp_greedy,1024.000000,0.008181,288
