model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,64,36,0.500000,"[1,4,5,8,9,12,20,24,25,27,28,30,32,38,39,42,45,46,48,50,52,54,58,59,62,63,64,65,66,68,70,72,74,75,78,79]","[78,167,519,375,501,510,231,607]|[525,77,566,407,222,527,311,103]|[15,479,518,79,423,478,477,437]|[39,207,366,598,367,638,502,206]|[263,599,38,421,317,47,526,630]|[471,71,567,631,319,102,247,503]|[343,422,318,511,551,583,391,246]|[535,199,310,438,639,439,223,374]"
L2,L,64,8,64,36,0.500000,"[9,10,11,13,15,18,22,23,25,26,28,31,33,36,38,39,41,43,45,47,50,52,53,56,57,58,59,61,65,66,67,68,75,76,78,79]","[494,629,150,614,383,430,205,419]|[523,382,271,229,365,462,95,541]|[364,127,111,470,476,550,549,86]|[351,191,151,149,190,542,87,495]|[431,94,455,406,420,255,469,294]|[615,461,524,316,110,315,463,606]|[76,335,475,637,126,533,230,183]|[309,534,182,543,254,295,215,293]"
L3,L,64,8,64,36,0.500000,"[0,2,6,9,12,13,15,16,18,20,21,22,23,24,25,26,32,34,37,39,40,43,44,48,51,54,57,59,62,63,68,69,72,74,75,78]","[180,134,558,165,55,314,125,74]|[581,175,628,359,412,132,326,187]|[7,203,559,548,597,415,109,54]|[509,413,188,6,279,327,23,133]|[474,204,107,198,101,302,108,313]|[582,459,500,414,435,166,390,135]|[605,214,303,213,262,436,53,458]|[596,460,148,358,350,181,75,189]"
L4,L,64,8,64,36,0.500000,"[0,1,3,7,8,10,11,16,17,18,20,22,24,25,26,28,32,33,35,37,38,39,40,41,44,46,49,59,60,61,65,67,68,70,71,78]","[4,398,268,522,333,287,164,69]|[312,228,565,142,332,197,261,93]|[539,31,62,308,212,3,493,397]|[486,334,85,270,307,147,574,30]|[626,373,396,12,299,300,61,14]|[473,63,202,269,163,301,179,487]|[547,372,575,540,286,399,357,70]|[564,325,627,324,13,131,5,143]"
M1,M,40,5,40,22,0.485714,"[2,4,7,11,12,13,16,17,28,33,35,36,42,50,51,57,61,63,66,67,71,79]","[35,92,572,99,100]|[341,405,404,508,227]|[457,410,130,106,21]|[226,285,411,267,492]|[266,636,342,538,340]|[59,60,284,292,36]|[22,531,37,573,141]|[91,291,140,532,635]"
M2,M,40,5,40,22,0.485714,"[0,2,4,5,8,10,12,15,23,26,29,30,32,40,44,45,52,63,66,71,74,78]","[260,34,505,83,571]|[1,595,44,18,418]|[570,323,124,355,362]|[123,506,67,625,19]|[239,68,624,356,20]|[238,507,593,245,2]|[45,530,211,46,361]|[84,186,98,594,363]"
M3,M,40,5,40,22,0.485714,"[2,7,12,13,19,22,24,25,34,36,42,56,60,64,66,68,69,73,74,75,76,79]","[517,16,454,612,290]|[105,194,58,201,278]|[453,557,178,159,452]|[555,546,177,17,556]|[484,613,633,516,339]|[97,482,196,529,634]|[277,275,591,604,592]|[603,276,483,485,195]"
S1,S,32,5,32,18,0.481481,"[5,8,9,13,14,16,21,30,33,36,43,44,49,50,52,65,66,76]","[43,73,118,115]|[354,403,610,172]|[174,244,116,611]|[521,42,129,528]|[264,289,119,416]|[66,243,520,417]|[117,173,395,265]|[104,72,348,349]"
S2,S,32,5,32,18,0.481481,"[4,14,19,21,28,32,34,36,41,44,53,58,60,64,69,72,73,76]","[258,429,158,590]|[609,330,171,288]|[33,579,428,114]|[259,466,427,273]|[426,553,580,331]|[468,225,589,515]|[274,113,467,353]|[329,552,554,481]"
S3,S,32,5,32,18,0.481481,"[1,12,17,24,25,26,30,32,37,38,42,45,55,58,61,63,68,73]","[360,200,588,504]|[242,210,465,9]|[464,209,338,10]|[306,544,305,240]|[445,257,490,193]|[11,298,241,545]|[447,587,96,491]|[446,139,304,138]"
