scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,1935.602741,1.627925,1935.602741,1.627925,80,0
pure_ocs_ksp,100.000000,1352.137609,1.137206,1352.137609,1.137206,80,0
eps_ecmp,100.000000,1174.128406,0.987493,1174.128406,0.987493,80,0
ocs_eps_large_small,100.000000,1138.020542,0.957124,1138.020542,0.957124,80,0
pure_ocs_ksp_greedy,100.000000,1227.279476,1.032195,1227.279476,1.032195,80,0
ocs_eps_preset_greedy,100.000000,1191.426729,1.002041,1191.426729,1.002041,80,0
ocs_eps_preset_dynamic_greedy,100.000000,1188.999798,1.000000,1188.999798,1.000000,80,0
pure_ocs_3hop_preset,100.000000,1087.029512,0.914239,1087.029512,0.914239,80,0
pure_ocs_pruned,100.000000,1087.029512,0.914239,1087.029512,0.914239,80,0
ocs_eps_pruned,100.000000,1165.920658,0.980589,1165.920658,0.980589,80,0
