scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,99.000000,3409.675261,1.226322,3409.675261,1.226322,80,0
pure_ocs_ksp,99.000000,3532.441823,1.270477,3532.441823,1.270477,80,0
eps_ecmp,99.000000,2655.537926,0.955090,2655.537926,0.955090,80,0
ocs_eps_large_small,99.000000,2454.221898,0.882684,2454.221898,0.882684,80,0
pure_ocs_ksp_greedy,99.000000,2424.327739,0.871933,2424.327739,0.871933,80,0
ocs_eps_preset_greedy,99.000000,2545.846263,0.915638,2545.846263,0.915638,80,0
ocs_eps_preset_dynamic_greedy,99.000000,2780.406950,1.000000,2780.406950,1.000000,80,0
pure_ocs_3hop_preset,99.000000,2448.161033,0.880505,2448.161033,0.880505,80,0
pure_ocs_pruned,99.000000,2448.161033,0.880505,2448.161033,0.880505,80,0
ocs_eps_pruned,99.000000,2200.484905,0.791425,2200.484905,0.791425,80,0
