seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.742
42,pure_ocs_ksp,1.137
42,eps_ecmp,1.098
42,ocs_eps_large_small,1.055
42,pure_ocs_ksp_greedy,1.045
42,ocs_eps_preset_greedy,1.024
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_3hop_preset,1.008
42,pure_ocs_pruned,1.008
42,ocs_eps_pruned,1.056
43,ocs_eps_global_ksp,1.818
43,pure_ocs_ksp,1.308
43,eps_ecmp,1.097
43,ocs_eps_large_small,1.032
43,pure_ocs_ksp_greedy,1.085
43,ocs_eps_preset_greedy,1.066
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_3hop_preset,1.054
43,pure_ocs_pruned,1.054
43,ocs_eps_pruned,0.972
44,ocs_eps_global_ksp,1.981
44,pure_ocs_ksp,1.234
44,eps_ecmp,0.997
44,ocs_eps_large_small,1.279
44,pure_ocs_ksp_greedy,1.200
44,ocs_eps_preset_greedy,1.107
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_3hop_preset,1.034
44,pure_ocs_pruned,1.034
44,ocs_eps_pruned,0.960
45,ocs_eps_global_ksp,1.927
45,pure_ocs_ksp,1.185
45,eps_ecmp,1.008
45,ocs_eps_large_small,1.063
45,pure_ocs_ksp_greedy,1.059
45,ocs_eps_preset_greedy,0.965
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_3hop_preset,1.004
45,pure_ocs_pruned,1.004
45,ocs_eps_pruned,0.976
46,ocs_eps_global_ksp,1.822
46,pure_ocs_ksp,1.154
46,eps_ecmp,1.016
46,ocs_eps_large_small,0.952
46,pure_ocs_ksp_greedy,1.091
46,ocs_eps_preset_greedy,0.905
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_3hop_preset,0.958
46,pure_ocs_pruned,0.958
46,ocs_eps_pruned,0.980
47,ocs_eps_global_ksp,1.958
47,pure_ocs_ksp,1.198
47,eps_ecmp,1.082
47,ocs_eps_large_small,1.126
47,pure_ocs_ksp_greedy,1.010
47,ocs_eps_preset_greedy,1.097
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_3hop_preset,1.055
47,pure_ocs_pruned,1.055
47,ocs_eps_pruned,1.032
48,ocs_eps_global_ksp,1.897
48,pure_ocs_ksp,1.201
48,eps_ecmp,1.008
48,ocs_eps_large_small,1.100
48,pure_ocs_ksp_greedy,1.026
48,ocs_eps_preset_greedy,1.063
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_3hop_preset,0.991
48,pure_ocs_pruned,0.991
48,ocs_eps_pruned,0.978
49,ocs_eps_global_ksp,1.628
49,pure_ocs_ksp,1.137
49,eps_ecmp,0.987
49,ocs_eps_large_small,0.957
49,pure_ocs_ksp_greedy,1.032
49,ocs_eps_preset_greedy,1.002
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_3hop_preset,0.914
49,pure_ocs_pruned,0.914
49,ocs_eps_pruned,0.981
50,ocs_eps_global_ksp,2.021
50,pure_ocs_ksp,1.169
50,eps_ecmp,1.017
50,ocs_eps_large_small,1.182
50,pure_ocs_ksp_greedy,1.192
50,ocs_eps_preset_greedy,1.102
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_3hop_preset,1.156
50,pure_ocs_pruned,1.156
50,ocs_eps_pruned,1.034
51,ocs_eps_global_ksp,1.949
51,pure_ocs_ksp,1.201
51,eps_ecmp,1.088
51,ocs_eps_large_small,1.111
51,pure_ocs_ksp_greedy,1.192
51,ocs_eps_preset_greedy,1.040
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_3hop_preset,1.015
51,pure_ocs_pruned,1.015
51,ocs_eps_pruned,0.956
