seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.509
42,pure_ocs_ksp,1.043
42,eps_ecmp,1.131
42,ocs_eps_large_small,0.953
42,pure_ocs_ksp_greedy,0.951
42,ocs_eps_preset_greedy,0.971
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_3hop_preset,1.062
42,pure_ocs_pruned,1.062
42,ocs_eps_pruned,1.199
43,ocs_eps_global_ksp,1.400
43,pure_ocs_ksp,1.204
43,eps_ecmp,1.140
43,ocs_eps_large_small,0.872
43,pure_ocs_ksp_greedy,0.927
43,ocs_eps_preset_greedy,0.970
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_3hop_preset,1.205
43,pure_ocs_pruned,1.205
43,ocs_eps_pruned,0.929
44,ocs_eps_global_ksp,1.803
44,pure_ocs_ksp,1.206
44,eps_ecmp,1.340
44,ocs_eps_large_small,1.161
44,pure_ocs_ksp_greedy,1.431
44,ocs_eps_preset_greedy,1.080
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_3hop_preset,1.087
44,pure_ocs_pruned,1.087
44,ocs_eps_pruned,0.984
45,ocs_eps_global_ksp,1.547
45,pure_ocs_ksp,1.247
45,eps_ecmp,1.118
45,ocs_eps_large_small,1.018
45,pure_ocs_ksp_greedy,1.062
45,ocs_eps_preset_greedy,0.977
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_3hop_preset,1.020
45,pure_ocs_pruned,1.020
45,ocs_eps_pruned,1.031
46,ocs_eps_global_ksp,1.402
46,pure_ocs_ksp,1.134
46,eps_ecmp,1.160
46,ocs_eps_large_small,0.810
46,pure_ocs_ksp_greedy,1.020
46,ocs_eps_preset_greedy,0.728
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_3hop_preset,0.992
46,pure_ocs_pruned,0.992
46,ocs_eps_pruned,1.001
47,ocs_eps_global_ksp,1.670
47,pure_ocs_ksp,1.102
47,eps_ecmp,1.273
47,ocs_eps_large_small,1.228
47,pure_ocs_ksp_greedy,0.999
47,ocs_eps_preset_greedy,1.283
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_3hop_preset,1.207
47,pure_ocs_pruned,1.207
47,ocs_eps_pruned,1.253
48,ocs_eps_global_ksp,1.401
48,pure_ocs_ksp,1.083
48,eps_ecmp,1.102
48,ocs_eps_large_small,0.912
48,pure_ocs_ksp_greedy,0.898
48,ocs_eps_preset_greedy,0.971
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_3hop_preset,0.905
48,pure_ocs_pruned,0.905
48,ocs_eps_pruned,0.972
49,ocs_eps_global_ksp,1.151
49,pure_ocs_ksp,0.996
49,eps_ecmp,0.946
49,ocs_eps_large_small,0.866
49,pure_ocs_ksp_greedy,0.884
49,ocs_eps_preset_greedy,0.939
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_3hop_preset,0.868
49,pure_ocs_pruned,0.868
49,ocs_eps_pruned,0.881
50,ocs_eps_global_ksp,1.579
50,pure_ocs_ksp,1.018
50,eps_ecmp,1.067
50,ocs_eps_large_small,1.157
50,pure_ocs_ksp_greedy,1.033
50,ocs_eps_preset_greedy,1.035
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_3hop_preset,0.945
50,pure_ocs_pruned,0.945
50,ocs_eps_pruned,0.973
51,ocs_eps_global_ksp,1.412
51,pure_ocs_ksp,0.879
51,eps_ecmp,1.216
51,ocs_eps_large_small,1.125
51,pure_ocs_ksp_greedy,0.851
51,ocs_eps_preset_greedy,1.037
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_3hop_preset,0.843
51,pure_ocs_pruned,0.843
51,ocs_eps_pruned,0.691
