seed,scheduler,avg_relative_fct_vs_dynamic
42,ocs_eps_global_ksp,1.131
42,pure_ocs_ksp,0.991
42,eps_ecmp,1.048
42,ocs_eps_large_small,0.980
42,pure_ocs_ksp_greedy,0.972
42,ocs_eps_preset_greedy,0.938
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_3hop_preset,0.931
42,pure_ocs_pruned,0.931
42,ocs_eps_pruned,0.908
43,ocs_eps_global_ksp,1.307
43,pure_ocs_ksp,1.040
43,eps_ecmp,1.199
43,ocs_eps_large_small,0.972
43,pure_ocs_ksp_greedy,0.995
43,ocs_eps_preset_greedy,1.088
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_3hop_preset,0.970
43,pure_ocs_pruned,0.970
43,ocs_eps_pruned,0.974
44,ocs_eps_global_ksp,1.463
44,pure_ocs_ksp,1.034
44,eps_ecmp,1.004
44,ocs_eps_large_small,1.477
44,pure_ocs_ksp_greedy,0.987
44,ocs_eps_preset_greedy,1.002
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_3hop_preset,1.002
44,pure_ocs_pruned,1.002
44,ocs_eps_pruned,0.969
45,ocs_eps_global_ksp,1.371
45,pure_ocs_ksp,1.001
45,eps_ecmp,1.206
45,ocs_eps_large_small,1.449
45,pure_ocs_ksp_greedy,0.998
45,ocs_eps_preset_greedy,1.032
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_3hop_preset,1.015
45,pure_ocs_pruned,1.015
45,ocs_eps_pruned,1.060
46,ocs_eps_global_ksp,1.341
46,pure_ocs_ksp,1.029
46,eps_ecmp,1.144
46,ocs_eps_large_small,1.368
46,pure_ocs_ksp_greedy,0.997
46,ocs_eps_preset_greedy,0.998
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_3hop_preset,0.995
46,pure_ocs_pruned,0.995
46,ocs_eps_pruned,1.009
47,ocs_eps_global_ksp,1.349
47,pure_ocs_ksp,1.191
47,eps_ecmp,1.262
47,ocs_eps_large_small,1.412
47,pure_ocs_ksp_greedy,1.059
47,ocs_eps_preset_greedy,1.033
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_3hop_preset,1.044
47,pure_ocs_pruned,1.044
47,ocs_eps_pruned,1.015
48,ocs_eps_global_ksp,1.361
48,pure_ocs_ksp,1.017
48,eps_ecmp,1.277
48,ocs_eps_large_small,1.219
48,pure_ocs_ksp_greedy,0.982
48,ocs_eps_preset_greedy,1.003
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_3hop_preset,0.986
48,pure_ocs_pruned,0.986
48,ocs_eps_pruned,0.986
49,ocs_eps_global_ksp,1.306
49,pure_ocs_ksp,1.005
49,eps_ecmp,1.246
49,ocs_eps_large_small,1.289
49,pure_ocs_ksp_greedy,0.952
49,ocs_eps_preset_greedy,0.976
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_3hop_preset,0.948
49,pure_ocs_pruned,0.948
49,ocs_eps_pruned,0.986
50,ocs_eps_global_ksp,1.705
50,pure_ocs_ksp,1.042
50,eps_ecmp,1.174
50,ocs_eps_large_small,1.282
50,pure_ocs_ksp_greedy,1.113
50,ocs_eps_preset_greedy,1.053
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_3hop_preset,0.986
50,pure_ocs_pruned,0.986
50,ocs_eps_pruned,1.023
51,ocs_eps_global_ksp,1.490
51,pure_ocs_ksp,1.064
51,eps_ecmp,1.122
51,ocs_eps_large_small,2.409
51,pure_ocs_ksp_greedy,1.184
51,ocs_eps_preset_greedy,1.033
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_3hop_preset,1.061
51,pure_ocs_pruned,1.061
51,ocs_eps_pruned,1.025
