scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,95.000000,1762.267257,1.450845,1762.267257,1.450845,80,0
pure_ocs_ksp,95.000000,1337.790936,1.101381,1337.790936,1.101381,80,0
eps_ecmp,95.000000,1630.043142,1.341987,1630.043142,1.341987,80,0
ocs_eps_large_small,95.000000,1411.493162,1.162059,1411.493162,1.162059,80,0
pure_ocs_ksp_greedy,95.000000,1270.214094,1.045746,1270.214094,1.045746,80,0
ocs_eps_preset_greedy,95.000000,1609.954137,1.325448,1609.954137,1.325448,80,0
ocs_eps_preset_dynamic_greedy,95.000000,1214.648689,1.000000,1214.648689,1.000000,80,0
pure_ocs_3hop_preset,95.000000,1235.578204,1.017231,1235.578204,1.017231,80,0
pure_ocs_pruned,95.000000,1235.578204,1.017231,1235.578204,1.017231,80,0
ocs_eps_pruned,95.000000,1641.413628,1.351348,1641.413628,1.351348,80,0
