scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,795.258217,1.623102,795.258217,1.623102,80,0
pure_ocs_ksp,100.000000,544.586806,1.111488,544.586806,1.111488,80,0
eps_ecmp,100.000000,543.514420,1.109299,543.514420,1.109299,80,0
ocs_eps_large_small,100.000000,515.355760,1.051828,515.355760,1.051828,80,0
pure_ocs_ksp_greedy,100.000000,501.012925,1.022555,501.012925,1.022555,80,0
ocs_eps_preset_greedy,100.000000,485.832034,0.991571,485.832034,0.991571,80,0
ocs_eps_preset_dynamic_greedy,100.000000,489.961903,1.000000,489.961903,1.000000,80,0
pure_ocs_3hop_preset,100.000000,473.634111,0.966675,473.634111,0.966675,80,0
pure_ocs_pruned,100.000000,473.634111,0.966675,473.634111,0.966675,80,0
ocs_eps_pruned,100.000000,490.728187,1.001564,490.728187,1.001564,80,0
