scheduler,bytes,fct_ms,num_flows_in_bin
eps_ecmp,229056.000000,1.708530,496
eps_ecmp,475136.000000,30.411393,1184
eps_ecmp,605184.000000,38.111457,216
eps_ecmp,694272.000000,38.616470,1440
eps_ecmp,796672.000000,50.280437,1368
eps_ecmp,979968.000000,57.626650,1496
eps_ecmp,1335296.000000,60.053322,1448
eps_ecmp,1480704.000000,63.267905,4632
eps_ecmp,1950720.000000,57.716043,400
eps_ecmp,2569216.000000,83.293522,464
eps_ecmp,3159040.000000,78.274000,2896
eps_ecmp,4021248.000000,84.789205,1424
eps_ecmp,4307968.000000,77.038898,2640
eps_ecmp,4943872.000000,94.771339,1568
eps_ecmp,6291456.000000,95.113020,1216
eps_ecmp,6739968.000000,90.653106,1392
eps_ecmp,8287232.000000,104.287054,1624
eps_ecmp,9189376.000000,97.652792,1544
eps_ecmp,18940928.000000,107.392449,848
eps_ecmp,22019392.000000,113.384852,1912
ocs_eps_global_ksp,229056.000000,1.890289,496
ocs_eps_global_ksp,475136.000000,12.683972,1184
ocs_eps_global_ksp,605184.000000,34.674932,216
ocs_eps_global_ksp,694272.000000,34.035315,1440
ocs_eps_global_ksp,796672.000000,46.535102,1368
ocs_eps_global_ksp,979968.000000,48.674640,1496
ocs_eps_global_ksp,1335296.000000,50.518164,1448
ocs_eps_global_ksp,1480704.000000,56.265019,4632
ocs_eps_global_ksp,1950720.000000,51.842788,400
ocs_eps_global_ksp,2569216.000000,71.287830,464
ocs_eps_global_ksp,3159040.000000,74.539068,2896
ocs_eps_global_ksp,4021248.000000,75.525033,1424
ocs_eps_global_ksp,4307968.000000,77.710725,2640
ocs_eps_global_ksp,4943872.000000,85.944161,1568
ocs_eps_global_ksp,6291456.000000,98.940199,1216
ocs_eps_global_ksp,6739968.000000,85.351248,1392
ocs_eps_global_ksp,8287232.000000,109.777251,1624
ocs_eps_global_ksp,9189376.000000,101.572385,1544
ocs_eps_global_ksp,18940928.000000,134.881050,848
ocs_eps_global_ksp,22019392.000000,140.399247,1912
ocs_eps_large_small,229056.000000,1.918954,496
ocs_eps_large_small,475136.000000,4.396714,1184
ocs_eps_large_small,605184.000000,26.213196,216
ocs_eps_large_small,694272.000000,31.356120,1440
ocs_eps_large_small,796672.000000,36.789704,1368
ocs_eps_large_small,979968.000000,42.873622,1496
ocs_eps_large_small,1335296.000000,46.581694,1448
ocs_eps_large_small,1480704.000000,47.294915,4632
ocs_eps_large_small,1950720.000000,41.534672,400
ocs_eps_large_small,2569216.000000,59.881417,464
ocs_eps_large_small,3159040.000000,57.550407,2896
ocs_eps_large_small,4021248.000000,60.579334,1424
ocs_eps_large_small,4307968.000000,59.678005,2640
ocs_eps_large_small,4943872.000000,65.384580,1568
ocs_eps_large_small,6291456.000000,80.036059,1216
ocs_eps_large_small,6739968.000000,69.735045,1392
ocs_eps_large_small,8287232.000000,82.774435,1624
ocs_eps_large_small,9189376.000000,71.333978,1544
ocs_eps_large_small,18940928.000000,97.056658,848
ocs_eps_large_small,22019392.000000,88.518376,1912
